surface,reading,romaji,pos,frequency
辰,シン,tatsu,記号-一般,3
千鳥,チドリ,chidori,名詞-普通名詞-一般,3
唱える,トナエル,tonae,動詞-一般,3
カウンター,カウンター,kauntaa,名詞-普通名詞-一般,2
活性,カッセー,kassei,名詞-普通名詞-サ変可能,2
殻,カラ,kara,名詞-普通名詞-一般,2
フワフワ,フワフワ,fuwafuwa,副詞,2
独特,ドクトク,dokutoku,形状詞-一般,1
狙い,ネライ,nerai,動詞-一般,1
突っ込む,ツッコム,tsukkomu,動詞-一般,1
由来,ユライ,yurai,名詞-普通名詞-サ変可能,1
いかが,イカガ,ikaga,形状詞-一般,1
技師,ギシ,gishi,名詞-普通名詞-一般,1
温かい,アタタカイ,atatakai,形容詞-一般,1
範ちゅう,ハンチュー,han,名詞-普通名詞-一般,1
飛躍,ヒヤク,hiyaku,名詞-普通名詞-サ変可能,1
高め,タカメ,takame,動詞-一般,1
順調,ジュンチョー,junchou,形状詞-一般,1
集約,シューヤク,shuuyaku,名詞-普通名詞-サ変可能,1
あれ～,アレー,are,感動詞-一般,1
チッチッチッ,チッチッチッ,chitchitchitsu,名詞-普通名詞-一般,1
中隊,チュータイ,chuutai,名詞-普通名詞-一般,1
万端,バンタン,bantan,名詞-普通名詞-一般,1
ちぎっ,チギッ,chigitsu,動詞-一般,1
むちゃくちゃ,ムチャクチャ,muchakucha,名詞-普通名詞-形状詞可能,1
まさしく,マサシク,masashiku,副詞,1
やがら,ヤガラ,yagara,名詞-普通名詞-一般,1
奏でる,カナデル,kanade,動詞-一般,1
地鳴き,ジナキ,chi,名詞-普通名詞-一般,1
ひび,ヒビ,hibi,名詞-普通名詞-一般,1
強大,キョーダイ,kyoudai,名詞-普通名詞-形状詞可能,1
引きこもり,ヒキコモリ,hiki,動詞-一般,1
傷つい,キズツイ,kizutsu,動詞-一般,1
作業,サギョー,sagyou,名詞-普通名詞-サ変可能,1
千,セン,sen,名詞-固有名詞-人名-名,1
助走,ジョソー,josou,名詞-普通名詞-サ変可能,1
