surface,reading,romaji,pos,frequency
ﾐﾉｼﾞ,ﾐﾉｼﾞ,minoji,名詞-普通名詞-一般,5
ｼﾋﾞﾚ,ｼﾋﾞﾚ,shibire,名詞-普通名詞-一般,4
ﾀﾝｿﾞｳ,ﾀﾝｿﾞｳ,tanzou,名詞-普通名詞-一般,3
マニュアル,マニュアル,manyuaru,名詞-普通名詞-一般,2
ラスト,ラスト,rasuto,名詞-普通名詞-一般,2
コレクター,コレクター,korekutaa,名詞-普通名詞-一般,2
有利,ユーリ,yuuri,形状詞-一般,2
歓迎,カンゲー,kangei,名詞-普通名詞-サ変可能,2
熱烈,ネツレツ,netsuretsu,形状詞-一般,2
進む,ススム,susumu,動詞-一般,2
救い,スクイ,sukui,動詞-一般,1
徹し,テッシ,tesshi,動詞-一般,1
横たわる,ヨコタワル,yoko,動詞-一般,1
標的,ヒョーテキ,hyouteki,名詞-普通名詞-一般,1
必殺,ヒッサツ,hissatsu,名詞-普通名詞-一般,1
待とう,マトー,mato,動詞-一般,1
昼すぎ,ヒルスギ,hiru,名詞-普通名詞-副詞可能,1
比べ,クラベ,kurabe,動詞-一般,1
歩かさ,アルカサ,aruka,動詞-一般,1
挑む,イドム,idomu,動詞-一般,1
暴れろ,アバレロ,abare,動詞-一般,1
慢心,マンシン,manshin,名詞-普通名詞-サ変可能,1
提供,テーキョー,teikyou,名詞-普通名詞-サ変可能,1
望む,ノゾム,nozomu,動詞-一般,1
有力,ユーリョク,yuuryoku,形状詞-一般,1
集めよう,アツメヨー,atsume,動詞-一般,1
警告,ケーコク,keikoku,名詞-普通名詞-サ変可能,1
遠,エン,en,接頭辞,1
進める,ススメル,susume,動詞-一般,1
追撃,ツイゲキ,tsuigeki,名詞-普通名詞-サ変可能,1
追い込ま,オイコマ,oikoma,動詞-一般,1
返事,ヘンジ,henji,名詞-普通名詞-サ変可能,1
迎え撃とう,ムカエウトー,mukae,動詞-一般,1
豪,ゴー,gou,接頭辞,1
