surface,reading,romaji,pos,frequency
サクラ,サクラ,sakura,名詞-普通名詞-一般,12
ウザい,ウザイ,uza,形容詞-一般,7
あたし,アタシ,atashi,代名詞,5
ｶｶｼ,ｶｶｼ,kakashi,名詞-普通名詞-一般,5
クッソ,クッソ,kusso,名詞-普通名詞-一般,5
おなか,オナカ,onaka,名詞-普通名詞-一般,4
せっかく,セッカク,sekkaku,副詞,4
おはよう,オハヨー,ohayou,感動詞-一般,4
ドベ,ドベ,dobe,名詞-普通名詞-一般,4
痛い,イタイ,itai,形容詞-一般,3
たく,タク,taku,助動詞,3
ごはん,ゴハン,gohan,名詞-普通名詞-一般,3
ｻｸﾗ,ｻｸﾗ,sakura,名詞-普通名詞-一般,3
組む,クム,kumu,動詞-一般,3
デコ,デコ,deko,名詞-普通名詞-一般,3
もらい,モライ,morai,動詞-非自立可能,3
下る,クダル,kudaru,動詞-一般,3
女,オンナ,onna,名詞-普通名詞-一般,3
組,クミ,kumi,名詞-普通名詞-助数詞可能,2
腹,ハラ,hara,名詞-普通名詞-一般,2
チッ,チッ,chitsu,副詞,2
チャーミング,チャーミング,chaamingu,形状詞-一般,2
行こう,イコー,iko,動詞-非自立可能,2
シャイ,シャイ,shai,形状詞-一般,2
でしょ,デショ,desho,助動詞,2
とこ,トコ,toko,名詞-普通名詞-一般,2
フフッ,フフッ,fufutsu,感動詞-一般,2
うぅ,ウー,uu,感動詞-一般,2
広い,ヒロイ,hiroi,形容詞-一般,2
スマイル,スマイル,sumairu,名詞-普通名詞-一般,2
一族,イチゾク,ichizoku,名詞-普通名詞-一般,2
カカシ,カカシ,kakashi,名詞-普通名詞-一般,2
やっ,ヤッ,yatsu,助動詞,2
やっと,ヤット,yatto,副詞,2
わがまま,ワガママ,wagamama,名詞-普通名詞-形状詞可能,2
シカマル,シカマル,shikamaru,名詞-固有名詞-人名-名,2
急,キュー,kyuu,名詞-普通名詞-形状詞可能,2
キス,キス,kisu,名詞-普通名詞-サ変可能,2
戻る,モドル,modoru,動詞-一般,2
準備,ジュンビ,junbi,名詞-普通名詞-サ変可能,2
んて,ンテ,nte,接続詞,2
危ねぇ,アブネー,abune,形容詞-一般,2
並み,ナミ,nami,接尾辞-名詞的-一般,2
食べよう,タベヨー,tabe,動詞-一般,2
く,ク,ku,記号-一般,2
メルヘン,メルヘン,meruhen,名詞-普通名詞-一般,2
事故,ジコ,jiko,名詞-普通名詞-一般,2
上忍,ジョーニン,jounin,名詞-普通名詞-一般,2
足,アシ,ashi,名詞-普通名詞-一般,2
ﾁｮｳｼﾞ,ﾁｮｳｼﾞ,chouji,名詞-普通名詞-一般,2
入っ,ハイッ,itsutsu,動詞-一般,2
均等,キントー,kintou,名詞-普通名詞-形状詞可能,2
分け,ワケ,wake,名詞-普通名詞-助数詞可能,1
出かけ,デカケ,deka,動詞-一般,1
愛,アイ,ai,名詞-普通名詞-一般,1
春野,ハルノ,haruno,名詞-固有名詞-地名-一般,1
入ん,ハイン,hain,動詞-一般,1
新米,シンマイ,shinmai,名詞-普通名詞-一般,1
八,ハチ,hachi,名詞-数詞,1
成績,セーセキ,seiseki,名詞-普通名詞-一般,1
扱い,アツカイ,atsukai,名詞-普通名詞-一般,1
八苦,ハック,hakku,名詞-普通名詞-一般,1
承知,ショーチ,shouchi,名詞-普通名詞-サ変可能,1
日向,ヒナタ,hyuuga,名詞-普通名詞-一般,1
早い,ハヤイ,hayai,形容詞-一般,1
指示,シジ,shiji,名詞-普通名詞-サ変可能,1
放題,ホーダイ,houdai,名詞-普通名詞-一般,1
早かっ,ハヤカッ,hayaka,形容詞-一般,1
変わら,カワラ,kawa,動詞-一般,1
悲しい,カナシー,kanashii,形容詞-一般,1
垂れ,タレ,tare,動詞-一般,1
少し,スコシ,sukoshi,副詞,1
尋常,ジンジョー,jinjou,形状詞-一般,1
孤独,コドク,kodoku,名詞-普通名詞-形状詞可能,1
四苦,シク,shiku,名詞-普通名詞-一般,1
増える,フエル,fue,動詞-一般,1
広,ヒロ,kou,形容詞-一般,1
嫌わ,キラワ,kirawa,動詞-一般,1
壊す,コワス,kowasu,動詞-一般,1
嫌,イヤ,iya,形状詞-一般,1
変,ヘン,hen,名詞-普通名詞-形状詞可能,1
好き,スキ,suki,形状詞-一般,1
奈良,ナラ,nara,名詞-固有名詞-人名-姓,1
山中,ヤマナカ,sanchuu,名詞-固有名詞-人名-姓,1
座っ,スワッ,suwatsu,動詞-一般,1
恋路,コイジ,koiji,名詞-普通名詞-一般,1
思う,オモウ,omou,動詞-一般,1
怒ら,オコラ,ikara,動詞-一般,1
必死,ヒッシ,hisshi,形状詞-一般,1
十,ジュー,juu,名詞-数詞,1
従っ,シタガッ,shitagatsu,動詞-一般,1
後戻り,アトモドリ,atomodori,名詞-普通名詞-サ変可能,1
午後,ゴゴ,gogo,名詞-普通名詞-副詞可能,1
