surface,reading,romaji,pos,frequency
ｶｹﾞﾛｳ,ｶｹﾞﾛｳ,kagerou,名詞-普通名詞-一般,8
ｼﾞｸﾞﾓ,ｼﾞｸﾞﾓ,jigumo,名詞-普通名詞-一般,6
ﾊﾝｻﾞｷ,ﾊﾝｻﾞｷ,hanzaki,名詞-普通名詞-一般,6
ｶﾐｷﾘ,ｶﾐｷﾘ,kamikiri,名詞-普通名詞-一般,4
カゲロウ,カゲロー,kagerou,名詞-普通名詞-一般,2
白銀,ハクギン,hakugin,名詞-普通名詞-一般,2
かけりゃ,カケリャ,kakerya,動詞-非自立可能,1
絡ん,カラン,karan,動詞-一般,1
空蝉,ウツセミ,utsusemi,名詞-普通名詞-一般,1
破傷,ハショー,hashou,名詞-普通名詞-一般,1
知らせ,シラセ,shirase,名詞-普通名詞-一般,1
探し出す,サガシダス,sagashi,動詞-一般,1
惑う,マドウ,madou,動詞-一般,1
潜み,ヒソミ,hisomi,動詞-一般,1
没落,ボツラク,botsuraku,名詞-普通名詞-サ変可能,1
日の入り,ヒノイリ,nichi,名詞-普通名詞-一般,1
本領,ホンリョー,honryou,名詞-普通名詞-一般,1
本格,ホンカク,honkaku,名詞-普通名詞-一般,1
日の出,ヒノデ,hinode,名詞-普通名詞-一般,1
ざ,ザ,za,接尾辞-名詞的-一般,1
関わっ,カカワッ,kakawa,動詞-一般,1
領土,リョード,ryoudo,名詞-普通名詞-一般,1
連れ帰ん,ツレカエン,tsure,動詞-一般,1
かわゆい,カワユイ,kawayui,形容詞-一般,1
願え,ネガエ,negae,動詞-非自立可能,1
街外れ,マチハズレ,machi,名詞-普通名詞-一般,1
行く手,ユクテ,iku,名詞-普通名詞-一般,1
すきっ腹,スキッパラ,sukitsu,名詞-普通名詞-一般,1
見それ,ミソレ,miso,動詞-一般,1
追い出さ,オイダサ,oidasa,動詞-一般,1
近隣,キンリン,kinrin,名詞-普通名詞-一般,1
転がり落ちる,コロガリオチル,koroga,動詞-一般,1
路地,ロジ,roji,名詞-普通名詞-一般,1
起こり,オコリ,oko,名詞-普通名詞-一般,1
負け戦,マケイクサ,make,名詞-普通名詞-一般,1
調べよう,シラベヨー,shirabe,動詞-一般,1
聞き捨て,キキズテ,kikizute,名詞-普通名詞-一般,1
にぎやか,ニギヤカ,nigiyaka,形状詞-一般,1
ジグ,ジグ,jigu,名詞-普通名詞-一般,1
ササメ,ササメ,sasame,名詞-普通名詞-一般,1
ササメ,ササメ,sasame,名詞-固有名詞-一般,1
ササ,ササ,sasa,名詞-普通名詞-一般,1
なじみ,ナジミ,najimi,名詞-普通名詞-一般,1
ヤダ,ヤダ,yada,名詞-固有名詞-人名-姓,1
やり手,ヤリテ,yari,名詞-普通名詞-一般,1
ぼったくり,ボッタクリ,bottakuri,動詞-一般,1
やしょう,ヤショー,yashou,助動詞,1
エヘッヘヘヘヘ,エヘッヘヘヘヘ,ehehhehehehe,名詞-普通名詞-一般,1
ウヘ,ウヘ,uhe,感動詞-一般,1
よろしけれ,ヨロシケレ,yoroshikere,形容詞-一般,1
あるじ,アルジ,aruji,名詞-普通名詞-一般,1
大物,オーモノ,oomono,名詞-普通名詞-一般,1
多,タ,ta,接頭辞,1
小さい,チーサイ,chiisai,形容詞-一般,1
弾む,ハズム,hazumu,動詞-一般,1
強い,シー,tsuyoi,名詞-普通名詞-一般,1
張り,バリ,hari,名詞-普通名詞-助数詞可能,1
広げよう,ヒロゲヨー,hiroge,動詞-一般,1
幸い,サイワイ,saiwai,名詞-普通名詞-サ変形状詞可能,1
屋敷,ヤシキ,yashiki,名詞-普通名詞-一般,1
分け合っ,ワケアッ,wake,動詞-一般,1
作ろう,ツクロー,tsukuro,動詞-一般,1
口惜しい,クチオシー,kuchioshii,形容詞-一般,1
去る,サル,saru,動詞-非自立可能,1
助から,タスカラ,tasuka,動詞-一般,1
