surface,reading,romaji,pos,frequency
星影,ホシカゲ,hoshikage,名詞-普通名詞-一般,6
ｱｶﾎｼ,ｱｶﾎｼ,akahoshi,名詞-普通名詞-一般,3
スマル,スマル,sumaru,名詞-普通名詞-一般,3
妙法,ミョーホー,myouhou,名詞-普通名詞-一般,3
孔雀,クジャク,kujaku,名詞-普通名詞-一般,3
ｽﾏﾙ,ｽﾏﾙ,sumaru,名詞-普通名詞-一般,3
五大,ゴダイ,godai,名詞-固有名詞-人名-姓,2
ホクト,ホクト,hokuto,名詞-普通名詞-一般,2
ヅラ,ズラ,zura,名詞-普通名詞-一般,2
代理,ダイリ,dairi,名詞-普通名詞-サ変可能,2
エリア,エリア,eria,名詞-普通名詞-一般,2
オマル,オマル,omaru,名詞-普通名詞-一般,2
ﾐﾂﾞﾗ,ﾐﾂﾞﾗ,mizura,名詞-普通名詞-一般,2
ﾎｸﾄ,ﾎｸﾄ,hokuto,名詞-普通名詞-一般,2
星団,セーダン,seidan,名詞-普通名詞-一般,1
飛べん,トベン,tobe,動詞-一般,1
梅干し,ウメボシ,umeboshi,名詞-普通名詞-一般,1
蛟,ミズチ,mizuchi,名詞-普通名詞-一般,1
要塞,ヨーサイ,yousai,名詞-普通名詞-一般,1
持てん,モテン,mote,動詞-一般,1
祭ら,マツラ,matsura,動詞-一般,1
金ぱく,キンパク,kin,名詞-普通名詞-一般,1
連星,レンセー,rensei,名詞-普通名詞-一般,1
翼,ツバサ,tsubasa,名詞-普通名詞-一般,1
迷信,メーシン,meishin,名詞-普通名詞-一般,1
身辺,シンペン,shinpen,名詞-普通名詞-一般,1
甘栗,アマグリ,amaguri,名詞-普通名詞-一般,1
聞き出す,キキダス,kiki,動詞-一般,1
番場,バンバ,banba,名詞-固有名詞-地名-一般,1
つつく,ツツク,tsutsuku,動詞-一般,1
アカホシ,アカホシ,akahoshi,名詞-普通名詞-一般,1
ようかん,ヨーカン,youkan,名詞-普通名詞-一般,1
もんちゃく,モンチャク,monchaku,名詞-普通名詞-サ変可能,1
くせ者,クセモノ,kuse,名詞-普通名詞-一般,1
うらやむ,ウラヤム,urayamu,動詞-一般,1
うたぐり深い,ウタグリブカイ,utaguri,形容詞-一般,1
すばる,スバル,subaru,名詞-普通名詞-一般,1
務める,ツトメル,tsutome,動詞-一般,1
名乗れる,ナノレル,nanore,動詞-一般,1
実績,ジッセキ,jisseki,名詞-普通名詞-一般,1
入り,イリ,iri,接尾辞-名詞的-一般,1
ミス,ミス,misu,名詞-普通名詞-サ変可能,1
プライド,プライド,puraido,名詞-普通名詞-一般,1
先行,センコー,senkou,名詞-普通名詞-サ変可能,1
充満,ジューマン,juuman,名詞-普通名詞-サ変可能,1
付き添い,ツキソイ,tsuki,名詞-普通名詞-一般,1
並ぶ,ナラブ,narabu,動詞-一般,1
