surface,reading,romaji,pos,frequency
輪,リン,wa,接尾辞-名詞的-一般,12
写,ウツシ,sha,名詞-普通名詞-一般,12
眼,ガン,me,接尾辞-名詞的-一般,12
コピー,コピー,kopii,名詞-普通名詞-サ変可能,5
霧,キリ,kiri,名詞-普通名詞-一般,5
ガトー,ガトー,gatoo,名詞-普通名詞-一般,5
瞳,ヒトミ,hitomi,名詞-普通名詞-一般,4
ユキウサギ,ユキウサギ,yukiusagi,名詞-普通名詞-一般,2
会社,カイシャ,kaisha,名詞-普通名詞-一般,2
恨ん,ウラン,uran,動詞-一般,2
殺人,サツジン,satsujin,名詞-普通名詞-一般,2
カジ,カジ,kaji,記号-一般,2
海運,カイウン,kaiun,名詞-普通名詞-一般,2
ウサ,ウサ,usa,名詞-普通名詞-一般,2
海,ウミ,umi,名詞-普通名詞-一般,2
抜け,ヌケ,nuke,動詞-非自立可能,2
手配,テハイ,tehai,名詞-普通名詞-サ変可能,2
８,８,8,名詞-数詞,2
舟,フネ,fune,名詞-普通名詞-一般,2
しまう,シマウ,shimau,動詞-非自立可能,2
感覚,カンカク,kankaku,名詞-普通名詞-サ変可能,1
情報,ジョーホー,jouhou,名詞-普通名詞-一般,1
陣,ジン,jin,名詞-普通名詞-一般,1
隠し,カクシ,kakushi,動詞-一般,1
喉頭,コートー,koutou,名詞-普通名詞-一般,1
悪い,ワルイ,warui,形容詞-一般,1
恨み,ウラミ,urami,動詞-一般,1
囲ま,カコマ,kakoma,動詞-一般,1
静か,シズカ,shizuka,形状詞-一般,1
静寂,セージャク,seijaku,名詞-普通名詞-形状詞可能,1
戦い,タタカイ,tatakai,名詞-普通名詞-一般,1
戦え,タタカエ,tatakae,動詞-一般,1
部隊,ブタイ,butai,名詞-普通名詞-一般,1
運搬,ウンパン,unpan,名詞-普通名詞-サ変可能,1
達人,タツジン,tatsujin,名詞-普通名詞-一般,1
違い,チガイ,chigai,名詞-普通名詞-一般,1
名答,メートー,meitou,名詞-普通名詞-一般,1
呼吸,コキュー,kokyuu,名詞-普通名詞-サ変可能,1
金持ち,カネモチ,kanemochi,名詞-普通名詞-一般,1
品,ヒン,hin,接尾辞-名詞的-一般,1
唯一,ユイイツ,yuiitsu,名詞-普通名詞-副詞可能,1
銃声,ジューセー,juusei,名詞-普通名詞-一般,1
商売,ショーバイ,shoubai,名詞-普通名詞-サ変可能,1
手の者,テノモノ,teno,名詞-普通名詞-一般,1
鎖骨,サコツ,sakotsu,名詞-普通名詞-一般,1
静脈,ジョーミャク,joumyaku,名詞-普通名詞-一般,1
恐らく,オソラク,osora,副詞,1
帳,チョー,chou,接尾辞-名詞的-一般,1
島,シマ,shima,名詞-普通名詞-一般,1
小,ショー,shou,接尾辞-名詞的-一般,1
大名,ダイミョー,daimyou,名詞-普通名詞-一般,1
富豪,フゴー,fugou,名詞-普通名詞-一般,1
富,トミ,tomi,名詞-普通名詞-一般,1
密売,ミツバイ,mitsubai,名詞-普通名詞-サ変可能,1
寂しく,サビシク,sabishiku,形容詞-一般,1
娘,ムスメ,musume,名詞-普通名詞-一般,1
室内,シツナイ,shitsunai,名詞-普通名詞-一般,1
守れ,マモレ,mamore,動詞-一般,1
実,ジツ,mi,名詞-普通名詞-一般,1
建設,ケンセツ,kensetsu,名詞-普通名詞-サ変可能,1
地,ジ,chi,記号-一般,1
忍法,ニンポー,ninpou,名詞-普通名詞-一般,1
心臓,シンゾー,shinzou,名詞-普通名詞-一般,1
麻薬,マヤク,mayaku,名詞-普通名詞-一般,1
当たら,アタラ,ata,動詞-一般,1
強い,ツヨイ,tsuyoi,形容詞-一般,1
急所,キューショ,kyuusho,名詞-普通名詞-一般,1
眼光,ガンコー,gankou,名詞-普通名詞-一般,1
送り届け,オクリトドケ,okuri,動詞-一般,1
無事,ブジ,buji,名詞-普通名詞-副詞可能,1
続け,ツズケ,tsuzuke,動詞-非自立可能,1
線,セン,sen,名詞-普通名詞-一般,1
練り込ん,ネリコン,neri,動詞-一般,1
濃く,コク,koku,形容詞-一般,1
肝臓,カンゾー,kanzou,名詞-普通名詞-一般,1
消え,キエ,kie,動詞-一般,1
握ら,ニギラ,nigira,動詞-一般,1
肺,ハイ,hai,名詞-普通名詞-一般,1
海上,カイジョー,kaijou,名詞-普通名詞-一般,1
脊柱,セキチュー,sekichuu,名詞-普通名詞-一般,1
腎臓,ジンゾー,jinzou,名詞-普通名詞-一般,1
泣き,ナキ,naki,動詞-一般,1
紛らわしい,マギラワシー,magirawashii,形容詞-一般,1
無音,ムオン,muon,名詞-普通名詞-一般,1
牛耳っ,ギュージッ,gyuuji,動詞-一般,1
盾,タテ,tate,名詞-普通名詞-一般,1
眼球,ガンキュー,gankyuu,名詞-普通名詞-一般,1
瞬時,シュンジ,shunji,名詞-普通名詞-副詞可能,1
白い,シロイ,shiroi,形容詞-一般,1
短い,ミジカイ,mijikai,形容詞-一般,1
発する,ハッスル,hassu,動詞-一般,1
確実,カクジツ,kakujitsu,形状詞-一般,1
社長,シャチョー,shachou,名詞-普通名詞-一般,1
禁制,キンセー,kinsei,名詞-普通名詞-サ変可能,1
用,ヨー,you,接尾辞-名詞的-一般,1
生み出し,ウミダシ,umidashi,動詞-一般,1
種類,シュルイ,shurui,名詞-普通名詞-一般,1
特有,トクユー,tokuyuu,形状詞-一般,1
空気,クーキ,kuuki,名詞-普通名詞-一般,1
牛耳る,ギュージル,gyuujiru,動詞-一般,1
表向き,オモテムキ,omotemuki,名詞-普通名詞-一般,1
沿い,ソイ,soi,接尾辞-名詞的-一般,1
楽,ラク,raku,名詞-普通名詞-形状詞可能,1
桟橋,サンバシ,sanbashi,名詞-普通名詞-一般,1
桃,モモ,momo,名詞-固有名詞-人名-姓,1
桃,モモ,momo,名詞-固有名詞-人名-名,1
桁,ケタ,keta,名詞-普通名詞-助数詞可能,1
果て,ハテ,hate,名詞-普通名詞-一般,1
有数,ユースー,yuusuu,形状詞-一般,1
暴力,ボーリョク,bouryoku,名詞-普通名詞-一般,1
財力,ザイリョク,zairyoku,名詞-普通名詞-一般,1
暗部,アンブ,anbu,名詞-普通名詞-一般,1
貧しい,マズシー,mazushii,形容詞-一般,1
超出,チョーシュツ,choushutsu,名詞-普通名詞-一般,1
眼力,ガンリキ,ganriki,名詞-普通名詞-一般,1
日照,ニッショー,nisshou,名詞-普通名詞-一般,1
政治,セージ,seiji,名詞-普通名詞-一般,1
載っ,ノッ,notsu,動詞-一般,1
携帯,ケータイ,keitai,名詞-普通名詞-サ変可能,1
話す,ハナス,hanasu,動詞-一般,1
襲う,オソウ,osou,動詞-一般,1
襲っ,オソッ,osotsu,動詞-一般,1
気取ら,キドラ,kidora,動詞-一般,1
見える,ミエル,mie,動詞-一般,1
毛色,ケイロ,keiro,名詞-普通名詞-一般,1
毛並み,ケナミ,kenami,名詞-普通名詞-一般,1
殺意,サツイ,satsui,名詞-普通名詞-一般,1
見受ける,ミウケル,miuke,動詞-一般,1
見極め,ミキワメ,mikiwame,動詞-一般,1
見通し,ミトーシ,mitooshi,動詞-一般,1
歳,サイ,toshi,接尾辞-名詞的-助数詞,1
けい,ケー,kei,名詞-普通名詞-一般,1
こぎ,コギ,kogi,名詞-普通名詞-一般,1
か所,カショ,ka,名詞-普通名詞-助数詞可能,1
かねて,カネテ,kanete,副詞,1
かね,カネ,kane,接尾辞-動詞的,1
かなっ,カナッ,kanatsu,動詞-一般,1
おっ,オッ,otsu,感動詞-一般,1
おか,オカ,oka,動詞-非自立可能,1
っけ,ッケ,kke,助詞-終助詞,1
たどりつく,タドリツク,tadoritsuku,動詞-一般,1
ぜひ,ゼヒ,zehi,副詞,1
すま,スマ,suma,動詞-一般,1
しかたない,シカタナイ,shikatanai,形容詞-一般,1
いっそ,イッソ,isso,副詞,1
ありがたい,アリガタイ,arigatai,形容詞-一般,1
あの世,アノヨ,ano,名詞-普通名詞-一般,1
あくどい,アクドイ,akudoi,形容詞-一般,1
取りやめれ,トリヤメレ,tori,動詞-一般,1
乗っ取り,ノットリ,nottori,名詞-普通名詞-一般,1
交通,コーツー,koutsuu,名詞-普通名詞-サ変可能,1
人影,ヒトカゲ,hitokage,名詞-普通名詞-一般,1
てろ,テロ,tero,助動詞,1
付けろ,ツケロ,tsuke,動詞-非自立可能,1
一部,イチブ,ichibu,名詞-普通名詞-副詞可能,1
一瞬,イッシュン,isshun,名詞-普通名詞-副詞可能,1
一生,イッショー,isshou,名詞-普通名詞-副詞可能,1
一同,イチドー,ichidou,名詞-普通名詞-一般,1
ホ,ホ,ho,名詞-普通名詞-一般,1
フハ,フハ,fuha,名詞-普通名詞-一般,1
フ,フ,fu,名詞-普通名詞-一般,1
ハマっ,ハマッ,hama,動詞-一般,1
ネズミ,ネズミ,nezumi,名詞-普通名詞-一般,1
ドン,ドン,don,名詞-固有名詞-人名-一般,1
企業,キギョー,kigyou,名詞-普通名詞-一般,1
卍,マンジ,manji,名詞-普通名詞-一般,1
勝っ,カッ,katsu,動詞-一般,1
動脈,ドーミャク,doumyaku,名詞-普通名詞-一般,1
加わる,クワワル,kuwawa,動詞-一般,1
冬,フユ,fuyu,名詞-普通名詞-副詞可能,1
再,サイ,sai,記号-一般,1
入り込ん,ハイリコン,iri,動詞-一般,1
光栄,コーエー,kouei,名詞-普通名詞-形状詞可能,1
備え持つ,ソナエモツ,sonae,動詞-一般,1
倒さ,タオサ,taosa,動詞-一般,1
使い手,ツカイテ,tsukai,名詞-普通名詞-一般,1
使い,ツカイ,tsukai,名詞-普通名詞-一般,1
作っ,ツクッ,tsukutsu,動詞-一般,1
何に,ナンニ,nani,代名詞,1
体質,タイシツ,taishitsu,名詞-普通名詞-一般,1
サイレン,サイレン,sairen,名詞-普通名詞-一般,1
ましょ,マショ,masho,助動詞,1
まくる,マクル,makuru,動詞-非自立可能,1
まくっ,マクッ,makutsu,動詞-非自立可能,1
ほ,ホ,ho,名詞-普通名詞-一般,1
べ,ベ,be,助詞-終助詞,1
ぶつかり合い,ブツカリアイ,butsukari,動詞-一般,1
はね返し,ハネカエシ,hane,動詞-一般,1
なりわい,ナリワイ,nariwai,名詞-普通名詞-一般,1
なけれ,ナケレ,nakere,形容詞-非自立可能,1
とこう,トコー,tokou,助動詞,1
キツい,キチー,kitsu,形容詞-一般,1
カンパニー,カンパニー,kanpanii,名詞-普通名詞-一般,1
エンジン,エンジン,enjin,名詞-普通名詞-一般,1
ウサギ,ウサギ,usagi,名詞-普通名詞-一般,1
わぁ,ワー,waa,感動詞-一般,1
やたらめったら,ヤタラメッタラ,yataramettara,副詞,1
やすい,ヤスイ,yasui,接尾辞-形容詞的,1
やがる,ヤガル,yagaru,助動詞,1
や,ヤ,ya,感動詞-一般,1
や,ヤ,ya,助動詞,1
