surface,reading,romaji,pos,frequency
圧,アツ,atsu,名詞-普通名詞-一般,3
ヤベェ,ヤベェ,yabee,名詞-普通名詞-一般,2
基礎,キソ,kiso,名詞-普通名詞-一般,2
後ろ姿,ウシロスガタ,ushirosugata,名詞-普通名詞-一般,2
リーン,リーン,riin,名詞-普通名詞-一般,2
音波,オンパ,onpa,名詞-普通名詞-一般,2
鼓膜,コマク,komaku,名詞-普通名詞-一般,2
衝撃,ショーゲキ,shougeki,名詞-普通名詞-一般,2
拳,ケン,kobushi,接尾辞-名詞的-一般,1
振動,シンドー,shindou,名詞-普通名詞-サ変可能,1
手短,テミジカ,temijika,形状詞-一般,1
揺れ,ユレ,yure,動詞-一般,1
幽霊,ユーレー,yuurei,名詞-普通名詞-一般,1
布陣,フジン,fujin,名詞-普通名詞-サ変可能,1
左耳,ヒダリミミ,hidarimimi,名詞-普通名詞-一般,1
守ん,マモン,shu,動詞-一般,1
思い出し,オモイダシ,omoidashi,動詞-一般,1
奥深く,オクフカク,okufukaku,形容詞-一般,1
面影,オモカゲ,omokage,名詞-普通名詞-一般,1
破壊,ハカイ,hakai,名詞-普通名詞-サ変可能,1
破れる,ヤブレル,yabure,動詞-一般,1
近接,キンセツ,kinsetsu,名詞-普通名詞-サ変可能,1
送り込ん,オクリコン,okuri,動詞-一般,1
逃げよう,ニゲヨー,nige,動詞-一般,1
背,セ,se,名詞-普通名詞-一般,1
規管,キカン,kikan,名詞-普通名詞-一般,1
経,ヘ,kei,動詞-一般,1
計算,ケーサン,keisan,名詞-普通名詞-サ変可能,1
明るく,アカルク,akaruku,形容詞-一般,1
集束,シューソク,shuusoku,名詞-普通名詞-サ変可能,1
方向,ホーコー,houkou,名詞-普通名詞-一般,1
づき,ズキ,zuki,接尾辞-名詞的-一般,1
せん光,センコー,sen,名詞-普通名詞-一般,1
はね返さ,ハネカエサ,hane,動詞-一般,1
ね,ネ,ne,記号-一般,1
とらわれ,トラワレ,toraware,動詞-一般,1
いじめ,イジメ,ijime,動詞-一般,1
かしこまっ,カシコマッ,kashikomatsu,動詞-一般,1
かわし,カワシ,kawashi,動詞-非自立可能,1
まくり,マクリ,makuri,動詞-非自立可能,1
仕掛け,シカケ,shikake,名詞-普通名詞-一般,1
仕上げ,シアゲ,shiage,動詞-一般,1
入ら,ハイラ,ira,動詞-一般,1
全身,ゼンシン,zenshin,名詞-普通名詞-一般,1
増幅,ゾーフク,zoufuku,名詞-普通名詞-サ変可能,1
古く,フルク,furuku,形容詞-一般,1
十分,ジューブン,juubun,形状詞-一般,1
前髪,マエガミ,maegami,名詞-普通名詞-一般,1
出力,シュツリョク,shutsuryoku,名詞-普通名詞-サ変可能,1
内部,ナイブ,naibu,名詞-普通名詞-一般,1
ボコら,ボコラ,boko,動詞-一般,1
ホン,ホン,hon,名詞-普通名詞-助数詞可能,1
キン,キン,kin,副詞,1
キン,キン,kin,名詞-固有名詞-一般,1
ネイバーフッド,ネイバーフッド,neibaafuddo,名詞-普通名詞-一般,1
ツヤ,ツヤ,tsuya,名詞-普通名詞-一般,1
スピーカー,スピーカー,supiikaa,名詞-普通名詞-一般,1
クッション,クッション,kusshon,名詞-普通名詞-一般,1
ﾘｰ,ﾘｰ,ri゜,名詞-普通名詞-一般,1
