surface,reading,romaji,pos,frequency
めっちゃくちゃ,メッチャクチャ,metchakucha,名詞-普通名詞-形状詞可能,2
かよわい,カヨワイ,kayowai,形容詞-一般,2
押し返し,オシカエシ,oshi,動詞-一般,1
天性,テンセー,tensei,名詞-普通名詞-一般,1
国内外,コクナイガイ,kokunaigai,名詞-普通名詞-一般,1
柔軟,ジューナン,juunan,形状詞-一般,1
待ちわび,マチワビ,machi,動詞-一般,1
酒瓶,サカビン,sakabin,名詞-普通名詞-一般,1
酔,ヨイ,sui,名詞-普通名詞-一般,1
落ちよう,オチヨー,ochi,動詞-一般,1
酒乱,シュラン,shuran,名詞-普通名詞-一般,1
薬瓶,クスリビン,kusuribin,名詞-普通名詞-一般,1
沈黙,チンモク,chinmoku,名詞-普通名詞-サ変可能,1
飯屋,メシヤ,meshiya,名詞-普通名詞-一般,1
碧き,アオキ,heki,形容詞-一般,1
向かわ,ムカワ,muka,動詞-一般,1
むちゃくちゃ,ムチャクチャ,muchakucha,副詞,1
取得,シュトク,shutoku,名詞-普通名詞-サ変可能,1
くちゃ,クチャ,kucha,副詞,1
ヤバッ,ヤバッ,yabatsu,名詞-普通名詞-一般,1
動員,ドーイン,douin,名詞-普通名詞-サ変可能,1
先延ばし,サキノバシ,saki,名詞-普通名詞-一般,1
ゲス,ゲス,gesu,名詞-普通名詞-一般,1
ゲ,ゲ,ge,名詞-普通名詞-一般,1
ガイバテバテ,ガイバテバテ,gaibatebate,名詞-普通名詞-一般,1
ウヒヒ,ウヒヒ,uhihi,名詞-普通名詞-一般,1
ウヒ,ウヒ,uhi,名詞-普通名詞-一般,1
ウエッ,ウエッ,uetsu,名詞-普通名詞-一般,1
ポリシー,ポリシー,porishii,名詞-普通名詞-一般,1
よみがえり,ヨミガエリ,yomigaeri,動詞-一般,1
コルァ,コルァ,korua,名詞-普通名詞-一般,1
ありさま,アリサマ,arisama,名詞-普通名詞-一般,1
ホイ,ホイ,hoi,名詞-固有名詞-一般,1
