surface,reading,romaji,pos,frequency
網,アミ,ami,名詞-普通名詞-一般,2
父母,フボ,fubo,名詞-普通名詞-一般,1
湿らす,シメラス,shimera,動詞-一般,1
気温,キオン,kion,名詞-普通名詞-一般,1
持ち込む,モチコム,mochikomu,動詞-一般,1
話し合い,ハナシアイ,hanashiai,動詞-一般,1
話し合え,ハナシアエ,hanashiae,動詞-一般,1
言語,ゲンゴ,gengo,名詞-普通名詞-一般,1
目撃,モクゲキ,mokugeki,名詞-普通名詞-サ変可能,1
道断,ドーダン,doudan,名詞-普通名詞-一般,1
緩む,ユルム,yurumu,動詞-一般,1
もろとも,モロトモ,morotomo,名詞-普通名詞-一般,1
みなしご,ミナシゴ,minashigo,名詞-普通名詞-一般,1
ドンリャ,ドンリャ,donrya,名詞-普通名詞-一般,1
かくまっ,カクマッ,kakumatsu,動詞-一般,1
そうすりゃ,ソースリャ,sousurya,動詞-一般,1
小さかっ,チーサカッ,chiisaka,形容詞-一般,1
叫ん,サケン,saken,動詞-一般,1
信じよう,シンジヨー,shinji,動詞-一般,1
おだ,オダ,oda,名詞-普通名詞-一般,1
分かり合える,ワカリアエル,waka,動詞-一般,1
冷やせ,ヒヤセ,hiyase,動詞-一般,1
