surface,reading,romaji,pos,frequency
ばかげ,バカゲ,bakage,動詞-一般,2
沼,ヌマ,numa,名詞-普通名詞-一般,2
盛ら,モラ,mora,動詞-一般,1
沈め,シズメ,shizume,動詞-一般,1
毒霧,ドクギリ,dokugiri,名詞-普通名詞-一般,1
恵まれ,メグマレ,meguma,動詞-一般,1
忍び,シノビ,shinobi,動詞-一般,1
当たん,アタン,ata,動詞-一般,1
広筋,コーキン,koukin,名詞-普通名詞-一般,1
断ち切っ,タチキッ,tachi,動詞-一般,1
えぞ,エゾ,ezo,名詞-固有名詞-地名-一般,1
放っ,ホーッ,houtsutsu,動詞-一般,1
相違,ソーイ,soui,名詞-普通名詞-サ変可能,1
追い求め,オイモトメ,oi,動詞-一般,1
身動き,ミウゴキ,miugoki,名詞-普通名詞-一般,1
黄泉,コーセン,yomi,名詞-普通名詞-一般,1
骨,コツ,hone,接尾辞-名詞的-一般,1
耐える,タエル,tae,動詞-一般,1
見解,ケンカイ,kenkai,名詞-普通名詞-一般,1
見抜く,ミヌク,minuku,動詞-一般,1
見抜か,ミヌカ,minuka,動詞-一般,1
わ,ワ,wa,記号-一般,1
もろう,モロー,morou,動詞-非自立可能,1
わし,ワシ,washi,名詞-普通名詞-一般,1
テッヘヘ,テッヘヘ,tehhehe,名詞-普通名詞-一般,1
はしゃげる,ハシャゲル,hashageru,動詞-一般,1
のちのち,ノチノチ,nochinochi,名詞-普通名詞-副詞可能,1
なっ,ナッ,natsu,名詞-固有名詞-人名-一般,1
みっともない,ミットモナイ,mittomonai,形容詞-一般,1
否,イナ,hi,名詞-普通名詞-一般,1
右脚,ミギアシ,migiashi,名詞-普通名詞-一般,1
かばう,カバウ,kabau,動詞-一般,1
奔走,ホンソー,honsou,名詞-普通名詞-サ変可能,1
地蔵,ジゾー,jizou,名詞-普通名詞-一般,1
両手,リョーテ,ryoute,名詞-普通名詞-一般,1
モーション,モーション,mooshon,名詞-普通名詞-一般,1
メンバー,メンバー,menbaa,名詞-普通名詞-一般,1
凶器,キョーキ,kyouki,名詞-普通名詞-一般,1
凡庸,ボンヨー,bonyou,名詞-普通名詞-形状詞可能,1
