surface,reading,romaji,pos,frequency
！,,!,補助記号-句点,193
),,),補助記号-括弧閉,186
(,,(,補助記号-括弧開,178
｡,｡,｡,記号-一般,112
？,,？,補助記号-句点,81
～,,~,補助記号-一般,75
…,,…,補助記号-一般,71
ｶｶｼ,ｶｶｼ,kakashi,名詞-普通名詞-一般,62
の,ノ,no,助詞-格助詞,60
た,タ,ta,助動詞,53
て,テ,te,助詞-接続助詞,48
♬,,♬,補助記号-一般,48
だ,ダ,da,助動詞,45
＞,,＞,補助記号-括弧閉,43
･,･,･,記号-一般,42
＜,,＜,補助記号-括弧開,42
よ,ヨ,yo,助詞-終助詞,40
は,ワ,ha,助詞-係助詞,39
を,オ,wo,助詞-格助詞,39
に,ニ,ni,助詞-格助詞,38
何,ナン,nani,代名詞,36
も,モ,mo,助詞-係助詞,35
ｱﾆｷ,ｱﾆｷ,aniki,名詞-普通名詞-一般,34
が,ガ,ga,助詞-格助詞,30
って,ッテ,tte,助詞-副助詞,29
手下,テシタ,teshita,名詞-普通名詞-一般,28
か,カ,ka,助詞-終助詞,25
で,デ,de,助詞-格助詞,25
し,シ,shi,動詞-非自立可能,25
《,,<<,補助記号-括弧開,23
と,ト,to,助詞-格助詞,23
》,,>>,補助記号-括弧閉,23
ば,バ,ba,助詞-接続助詞,22
ん,ン,n,助詞-準体助詞,22
!,,!,補助記号-句点,21
?,,?,補助記号-句点,21
ﾅﾙﾄ,ﾅﾙﾄ,naruto,名詞-普通名詞-一般,20
か,カ,ka,助詞-副助詞,19
それ,ソレ,sore,代名詞,18
ｻｽｹ,ｻｽｹ,sasuke,名詞-普通名詞-一般,18
ｻｸﾗ,ｻｸﾗ,sakura,名詞-普通名詞-一般,18
１,１,1,名詞-数詞,17
の,ノ,no,助詞-準体助詞,17
お前,オマエ,o,代名詞,17
…｡,…｡,…,記号-一般,17
ない,ナイ,nai,形容詞-非自立可能,17
俺,オレ,ore,代名詞,16
な,ナ,na,助詞-終助詞,16
お,オ,o,接頭辞,15
ん,ン,n,助詞-格助詞,14
たち,タチ,tachi,接尾辞-名詞的-一般,14
じゃ,ジャ,ja,助動詞,14
２,２,2,名詞-数詞,13
いい,イー,ii,形容詞-非自立可能,13
の,ノ,no,助詞-終助詞,12
Right,Right,Right,名詞-普通名詞-一般,12
～,カラ,~,助詞-格助詞,12
こと,コト,koto,名詞-普通名詞-一般,12
カカシ,カカシ,kakashi,名詞-普通名詞-一般,12
ね,ネ,ne,助詞-終助詞,12
で,デ,de,助詞-接続助詞,12
もう,モー,mou,副詞,11
てる,テル,teru,助動詞,11
に,ニ,ni,助動詞,11
アホ,アホ,aho,名詞-普通名詞-形状詞可能,11
どう,ドー,dou,副詞,11
な,ナ,na,助動詞,10
マスク,マスク,masuku,名詞-普通名詞-一般,10
その,ソノ,sono,連体詞,10
｡(,｡(,(,記号-一般,9
ら,ラ,ra,接尾辞-名詞的-一般,9
先生,センセー,sensei,名詞-普通名詞-一般,9
～｡,～｡,~,記号-一般,9
嫌,イヤ,iya,形状詞-一般,9
はぁ,ハー,haa,感動詞-一般,9
あ,ア,a,感動詞-一般,9
見,ミ,ken,動詞-非自立可能,9
