surface,reading,pos,frequency
｡,｡,記号-一般,120
♬,,補助記号-一般,69
！,,補助記号-句点,64
),,補助記号-括弧閉,63
(,,補助記号-括弧開,62
の,ノ,助詞-格助詞,58
は,ワ,助詞-係助詞,48
だ,ダ,助動詞,46
～,,補助記号-一般,45
に,ニ,助詞-格助詞,40
を,オ,助詞-格助詞,38
て,テ,助詞-接続助詞,38
…,,補助記号-一般,33
が,ガ,助詞-格助詞,29
よ,ヨ,助詞-終助詞,29
た,タ,助動詞,26
ぜ,ゼ,助詞-終助詞,25
ネジ,ネジ,名詞-普通名詞-一般,23
と,ト,助詞-格助詞,21
丸,マル,接尾辞-名詞的-一般,21
で,デ,助詞-格助詞,20
》,,補助記号-括弧閉,20
《,,補助記号-括弧開,20
童,ワラベ,名詞-普通名詞-一般,19
鬼,オニ,名詞-普通名詞-一般,19
も,モ,助詞-係助詞,18
し,シ,動詞-非自立可能,18
に,ニ,助動詞,17
俺,オレ,代名詞,15
？,,補助記号-句点,14
の,ノ,助詞-準体助詞,14
な,ナ,助詞-終助詞,13
チャクラ,チャクラ,名詞-普通名詞-一般,12
何,ナン,代名詞,12
それ,ソレ,代名詞,11
ない,ナイ,助動詞,10
ヤツ,ヤツ,名詞-普通名詞-一般,9
糸,イト,名詞-普通名詞-一般,9
な,ナ,助動詞,9
どう,ドー,副詞,8
から,カラ,助詞-格助詞,8
だけ,ダケ,助詞-副助詞,8
!,,補助記号-句点,8
この,コノ,連体詞,8
よう,ヨー,形状詞-助動詞語幹,8
ん,ン,助詞-準体助詞,8
いる,イル,動詞-非自立可能,8
?,,補助記号-句点,8
か,カ,助詞-副助詞,7
ねえ,ネー,助動詞,7
やる,ヤル,動詞-非自立可能,7
か,カ,助詞-終助詞,7
…｡,…｡,記号-一般,7
から,カラ,助詞-接続助詞,7
その,ソノ,連体詞,6
見える,ミエル,動詞-一般,6
ヤマ,ヤマ,名詞-普通名詞-一般,6
じゃ,ジャ,助動詞,6
あ,ア,感動詞-フィラー,6
てる,テル,助動詞,6
てめぇ,テメー,代名詞,6
て,テ,助動詞,6
って,ッテ,助詞-副助詞,6
ｼｶﾏﾙ,ｼｶﾏﾙ,名詞-普通名詞-一般,5
ぞ,ゾ,助詞-終助詞,5
赤丸,アカマル,名詞-普通名詞-一般,5
ほえ声,ホエゴエ,名詞-普通名詞-一般,5
次郎,ジロー,名詞-固有名詞-人名-名,5
で,デ,助詞-接続助詞,5
ナルト,ナルト,名詞-固有名詞-人名-名,5
ゲーム,ゲーム,名詞-普通名詞-一般,5
ん,ン,助詞-格助詞,5
ら,ラ,接尾辞-名詞的-一般,5
ない,ナイ,形容詞-非自立可能,5
これ,コレ,代名詞,5
坊,ボー,接尾辞-名詞的-一般,5
人,ヒト,名詞-普通名詞-一般,5
お前,オマエ,代名詞,5
うわっ,ウワッ,感動詞-一般,5
やっ,ヤッ,動詞-非自立可能,4
あの,アノ,感動詞-フィラー,4
１,１,名詞-数詞,4
そう,ソー,副詞,4
あっ,アッ,感動詞-一般,4
まで,マデ,助詞-副助詞,4
くる,クル,動詞-非自立可能,4
なる,ナル,動詞-非自立可能,4
する,スル,動詞-非自立可能,4
たち,タチ,接尾辞-名詞的-一般,4
大切,タイセツ,形状詞-一般,4
いい,イー,形容詞-非自立可能,4
中,ナカ,名詞-普通名詞-副詞可能,4
こいつ,コイツ,代名詞,4
蜘蛛,クモ,名詞-普通名詞-一般,4
＜,,補助記号-括弧開,4
や,ヤ,助詞-副助詞,4
＞,,補助記号-括弧閉,4
フフ,フフ,感動詞-一般,4
サスケ,サスケ,名詞-固有名詞-人名-名,4
今,イマ,名詞-普通名詞-副詞可能,4
ねえ,ネー,形容詞-非自立可能,4
ヘッ,ヘッ,感動詞-一般,4
デブ,デブ,名詞-普通名詞-形状詞可能,3
分身,ブンシン,名詞-普通名詞-一般,3
穴,アナ,名詞-普通名詞-一般,3
なっ,ナッ,動詞-非自立可能,3
ちまっ,チマッ,助動詞,3
もの,モノ,名詞-普通名詞-サ変可能,3
多,オーノ,名詞-固有名詞-人名-姓,3
時,トキ,名詞-普通名詞-副詞可能,3
ナメ,ナメ,動詞-一般,3
い,イ,動詞-非自立可能,3
目,メ,接尾辞-名詞的-一般,3
僕,ボク,代名詞,3
いちばん,イチバン,副詞,3
拳,ケン,接尾辞-名詞的-一般,3
あいつ,アイツ,代名詞,3
が,ガ,助詞-接続助詞,3
まず,マズ,副詞,3
くっ,クッ,感動詞-一般,3
キバ,キバ,名詞-固有名詞-一般,3
柔,ヤワラ,名詞-普通名詞-一般,3
わけ,ワケ,名詞-普通名詞-一般,3
様,サマ,接尾辞-名詞的-一般,3
持っ,モッ,動詞-一般,3
チッ,チッ,副詞,3
２,２,名詞-数詞,3
由也,ヨシヤ,名詞-固有名詞-人名-名,3
そして,ソシテ,接続詞,3
ぇ,,補助記号-一般,3
たら,タラ,助動詞,3
ムダ,ムダ,名詞-普通名詞-形状詞可能,3
ハッ,ハッ,感動詞-一般,3
やら,ヤラ,助詞-副助詞,3
左近,サコン,名詞-普通名詞-一般,3
強い,ツヨイ,形容詞-一般,3
さっき,サッキ,名詞-普通名詞-副詞可能,3
られ,ラレ,助動詞,3
所,トコロ,名詞-普通名詞-副詞可能,3
忍法,ニンポー,名詞-普通名詞-一般,3
ある,アル,動詞-非自立可能,3
ため,タメ,名詞-普通名詞-副詞可能,3
気,キ,名詞-普通名詞-一般,3
ば,バ,助詞-接続助詞,2
棺おけ,カンオケ,名詞-普通名詞-一般,2
者,モノ,名詞-普通名詞-一般,2
一緒,イッショ,名詞-普通名詞-サ変可能,2
今度,コンド,名詞-普通名詞-副詞可能,2
絶対,ゼッタイ,名詞-普通名詞-副詞可能,2
フン,フン,感動詞-一般,2
ひと,ヒト,名詞-普通名詞-一般,2
ね,ネ,助詞-終助詞,2
より,ヨリ,助詞-格助詞,2
本体,ホンタイ,名詞-普通名詞-一般,2
ほど,ホド,助詞-副助詞,2
へ,エ,助詞-格助詞,2
まま,ママ,名詞-普通名詞-副詞可能,2
カケラ,カケラ,名詞-普通名詞-一般,2
行け,イケ,動詞-非自立可能,2
死,シ,名詞-普通名詞-一般,2
術,ジュツ,名詞-普通名詞-一般,2
等,トー,接尾辞-名詞的-一般,2
もう,モー,副詞,2
簡単,カンタン,形状詞-一般,2
イルカ,イルカ,名詞-普通名詞-一般,2
次,ツギ,名詞-普通名詞-一般,2
ん,ン,感動詞-一般,2
粘,ネン,接頭辞,2
まだ,マダ,副詞,2
やら,ヤラ,動詞-非自立可能,2
任務,ニンム,名詞-普通名詞-一般,2
先,サキ,名詞-普通名詞-副詞可能,2
ゆく,ユク,動詞-非自立可能,2
行か,イカ,動詞-非自立可能,2
フフフフ,フフフフ,名詞-普通名詞-一般,2
なるほど,ナルホド,副詞,2
そりゃ,ソリャ,代名詞,2
夢,ユメ,名詞-普通名詞-一般,2
ちょっと,チョット,副詞,2
ちまう,チマウ,助動詞,2
大蛇,オロチ,名詞-普通名詞-一般,2
だっ,ダッ,助動詞,2
音,オト,名詞-普通名詞-一般,2
手,テ,名詞-普通名詞-助数詞可能,2
たまに,タマニ,副詞,2
いか,イカ,動詞-非自立可能,2
ハッハハハ,ハッハハハ,名詞-普通名詞-一般,2
ここ,ココ,代名詞,2
こそ,コソ,助詞-係助詞,2
鳴き声,ナキゴエ,名詞-普通名詞-一般,2
トラップ,トラップ,名詞-普通名詞-一般,2
あ,,補助記号-一般,2
こと,コト,名詞-普通名詞-一般,2
せ,セ,助動詞,2
想い,オモイ,名詞-普通名詞-一般,2
ヘッヘヘヘ,ヘッヘヘヘ,名詞-普通名詞-一般,2
バイ,バイ,名詞-普通名詞-一般,2
ｲﾙｶ,ｲﾙｶ,名詞-普通名詞-一般,2
しかし,シカシ,接続詞,2
思っ,オモッ,動詞-一般,2
ｼｪｲｸ,ｼｪｲｸ,名詞-普通名詞-一般,2
強度,キョード,名詞-普通名詞-一般,2
影,カゲ,名詞-普通名詞-一般,2
けど,ケド,助詞-接続助詞,2
ったく,ッタク,副詞,2
終了,シューリョー,名詞-普通名詞-サ変可能,2
一手,イッテ,名詞-普通名詞-一般,2
逃がす,ニガス,動詞-一般,2
一人,ヒトリ,名詞-普通名詞-副詞可能,2
こんな,コンナ,連体詞,2
匹,ヒキ,接尾辞-名詞的-助数詞,2
鋭い,スルドイ,形容詞-一般,2
どんどん,ドンドン,副詞,2
放出,ホーシュツ,名詞-普通名詞-サ変可能,2
攻撃,コーゲキ,名詞-普通名詞-サ変可能,2
運,ウン,名詞-普通名詞-一般,2
なく,ナク,助動詞,2
同じ,オナジ,連体詞,2
切れ,キレ,動詞-非自立可能,2
捕まえ,ツカマエ,動詞-一般,2
てん,テン,助動詞,2
牙,キバ,名詞-普通名詞-一般,2
野郎,ヤロー,名詞-普通名詞-一般,2
金,キン,名詞-普通名詞-一般,2
チクショ,チクショ,名詞-普通名詞-一般,2
渡す,ワタス,動詞-一般,1
流れる,ナガレル,動詞-一般,1
河,カワ,名詞-普通名詞-一般,1
特殊,トクシュ,形状詞-一般,1
涙,ナミダ,名詞-普通名詞-サ変可能,1
物質,ブッシツ,名詞-普通名詞-一般,1
法,ホー,名詞-普通名詞-一般,1
泣い,ナイ,動詞-一般,1
流れ,ナガレ,動詞-一般,1
流し込ん,ナガシコン,動詞-一般,1
渦,ウズ,名詞-普通名詞-一般,1
溶け合う,トケアウ,動詞-一般,1
点,テン,名詞-普通名詞-助数詞可能,1
注意,チューイ,名詞-普通名詞-サ変可能,1
混ぜ,マゼ,動詞-一般,1
特別,トクベツ,形状詞-一般,1
こん,コン,代名詞,1
永続,エーゾク,名詞-普通名詞-サ変可能,1
手,シュ,接尾辞-名詞的-一般,1
揺れる,ユレル,動詞-一般,1
探そう,サガソー,動詞-一般,1
掌,テノヒラ,名詞-普通名詞-一般,1
拳法,ケンポー,名詞-普通名詞-一般,1
扱い,アツカイ,名詞-普通名詞-一般,1
打つ,ウツ,動詞-一般,1
打ち捨て,ウチステ,動詞-一般,1
手間取っ,テマドッ,動詞-一般,1
手元,テモト,名詞-普通名詞-一般,1
手の内,テノウチ,名詞-普通名詞-一般,1
戻っ,モドッ,動詞-一般,1
気付か,キズカ,動詞-一般,1
戦争,センソー,名詞-普通名詞-サ変可能,1
戦い,タタカイ,名詞-普通名詞-一般,1
成さ,ナサ,動詞-一般,1
懸け,カケ,動詞-非自立可能,1
意味,イミ,名詞-普通名詞-サ変可能,1
悲しみ,カナシミ,名詞-普通名詞-一般,1
恐らく,オソラク,副詞,1
恋人,コイビト,名詞-普通名詞-一般,1
性,セー,接尾辞-名詞的-一般,1
忍,シノブ,名詞-固有名詞-人名-名,1
攻略,コーリャク,名詞-普通名詞-サ変可能,1
教え,オシエ,動詞-一般,1
日,ヒ,名詞-普通名詞-副詞可能,1
早,ハヤ,副詞,1
殺す,コロス,動詞-一般,1
段取り,ダンドリ,名詞-普通名詞-一般,1
段,ダン,名詞-普通名詞-助数詞可能,1
残ら,ノコラ,動詞-一般,1
残っ,ノコッ,動詞-一般,1
