surface,reading,pos,frequency
｡,｡,記号-一般,98
),,補助記号-括弧閉,87
(,,補助記号-括弧開,83
♬,,補助記号-一般,65
の,ノ,助詞-格助詞,64
は,ワ,助詞-係助詞,54
を,オ,助詞-格助詞,47
！,,補助記号-句点,46
～,,補助記号-一般,36
に,ニ,助詞-格助詞,34
だ,ダ,助動詞,32
て,テ,助詞-接続助詞,31
？,,補助記号-句点,28
が,ガ,助詞-格助詞,26
た,タ,助動詞,26
も,モ,助詞-係助詞,25
…,,補助記号-一般,19
丸,マル,接尾辞-名詞的-一般,19
お前,オマエ,代名詞,19
この,コノ,連体詞,18
か,カ,助詞-終助詞,18
》,,補助記号-括弧閉,16
と,ト,助詞-格助詞,16
《,,補助記号-括弧開,16
大蛇,オロチ,名詞-普通名詞-一般,16
の,ノ,助詞-準体助詞,15
猿飛,サルトビ,名詞-固有名詞-人名-姓,15
し,シ,動詞-非自立可能,15
ハァ,ハー,感動詞-一般,15
術,ジュツ,名詞-普通名詞-一般,14
よ,ヨ,助詞-終助詞,12
俺,オレ,代名詞,12
な,ナ,助動詞,11
…｡,…｡,記号-一般,11
な,ナ,助詞-終助詞,10
何,ナン,代名詞,10
か,カ,助詞-副助詞,9
ない,ナイ,助動詞,9
じゃ,ジャ,助動詞,9
です,デス,助動詞,9
也,ナリ,助動詞,8
封印,フーイン,名詞-普通名詞-サ変可能,8
ない,ナイ,形容詞-非自立可能,8
ば,バ,助詞-接続助詞,8
ｶﾝｸﾛｳ,ｶﾝｸﾛｳ,名詞-普通名詞-一般,8
自来,ジライ,名詞-普通名詞-一般,8
こと,コト,名詞-普通名詞-一般,8
者,モノ,名詞-普通名詞-一般,8
で,デ,助詞-格助詞,8
そう,ソー,副詞,7
シノ,シノ,名詞-普通名詞-一般,7
から,カラ,助詞-格助詞,7
する,スル,動詞-非自立可能,7
におい,ニオイ,名詞-普通名詞-一般,7
≪,,補助記号-一般,7
もう,モー,副詞,7
ノ,ノ,助詞-格助詞,6
に,ニ,助動詞,6
自分,ジブン,名詞-普通名詞-一般,6
いい,イー,形容詞-非自立可能,6
ぬ,ヌ,助動詞,6
猿,サル,名詞-普通名詞-一般,6
魂,タマシー,名詞-普通名詞-一般,6
木,キ,名詞-普通名詞-一般,6
お,オ,接頭辞,6
その,ソノ,連体詞,6
葉,ハ,名詞-普通名詞-一般,6
代,ダイ,名詞-普通名詞-助数詞可能,5
目,メ,接尾辞-名詞的-一般,5
これ,コレ,代名詞,5
死に神,シニガミ,名詞-普通名詞-一般,5
ヤツ,ヤツ,名詞-普通名詞-一般,5
って,ッテ,助詞-副助詞,5
だけ,ダケ,助詞-副助詞,5
前,マエ,名詞-普通名詞-副詞可能,5
行け,イケ,動詞-非自立可能,5
サスケ,サスケ,名詞-固有名詞-人名-名,5
やる,ヤル,動詞-非自立可能,5
ん,ン,助詞-準体助詞,5
魔,マ,名詞-普通名詞-一般,5
じゃん,ジャン,助詞-終助詞,4
で,デ,助動詞,4
で,デ,助詞-接続助詞,4
＞,,補助記号-括弧閉,4
たち,タチ,接尾辞-名詞的-一般,4
いる,イル,動詞-非自立可能,4
うわ,ウワ,感動詞-一般,4
ねえ,ネー,助動詞,4
様,サマ,接尾辞-名詞的-一般,4
なぜ,ナゼ,副詞,4
うち,ウチ,名詞-普通名詞-副詞可能,4
相手,アイテ,名詞-普通名詞-一般,4
我,ワガ,連体詞,4
貴様,キサマ,代名詞,4
愛,アイ,名詞-普通名詞-一般,4
さ,サ,接尾辞-名詞的-一般,4
れ,レ,助動詞,4
いつ,イツ,代名詞,4
羅,ラ,名詞-普通名詞-一般,4
＜,,補助記号-括弧開,4
大丈夫,ダイジョーブ,形状詞-一般,3
の,ノ,助詞-終助詞,3
命,イノチ,名詞-普通名詞-一般,3
まま,ママ,名詞-普通名詞-副詞可能,3
初代,ショダイ,名詞-普通名詞-一般,3
チッ,チッ,副詞,3
出し,ダシ,動詞-非自立可能,3
傷,キズ,名詞-普通名詞-一般,3
なら,ナラ,助動詞,3
テマリ,テマリ,名詞-普通名詞-一般,3
体,カラダ,名詞-普通名詞-一般,3
れる,レル,助動詞,3
ん,ン,助動詞,3
コレ,コレ,名詞-普通名詞-一般,3
二,ニ,名詞-数詞,3
三,サン,名詞-数詞,3
一,イチ,名詞-数詞,3
い,イ,動詞-非自立可能,3
忍,シノブ,名詞-固有名詞-人名-名,3
手,テ,名詞-普通名詞-助数詞可能,3
雌,メス,名詞-普通名詞-一般,3
さ,サ,動詞-非自立可能,3
火影,ホカゲ,名詞-普通名詞-一般,3
里,サト,名詞-普通名詞-一般,3
部下,ブカ,名詞-普通名詞-一般,3
男性,ダンセー,名詞-普通名詞-一般,3
死ぬ,シヌ,動詞-一般,3
が,ガ,助詞-接続助詞,3
知ら,シラ,動詞-一般,3
音,オト,名詞-普通名詞-一般,3
音,オン,名詞-普通名詞-一般,3
｡(,｡(,記号-一般,3
爆発,バクハツ,名詞-普通名詞-サ変可能,3
ｲﾋﾞｷ,ｲﾋﾞｷ,名詞-普通名詞-一般,3
誰,ダレ,代名詞,3
いや,イヤ,感動詞-一般,3
ﾃﾏﾘ,ﾃﾏﾘ,名詞-普通名詞-一般,3
それ,ソレ,代名詞,3
ここ,ココ,代名詞,3
まだ,マダ,副詞,3
うっ,ウッ,感動詞-一般,3
こいつ,コイツ,代名詞,3
ぞ,ゾ,助詞-終助詞,3
ﾊﾟｯｸﾝ,ﾊﾟｯｸﾝ,名詞-普通名詞-一般,3
悲しみ,カナシミ,名詞-普通名詞-一般,3
無駄,ムダ,名詞-普通名詞-形状詞可能,3
迷い,マヨイ,動詞-一般,2
追え,オエ,動詞-一般,2
進ん,ススン,動詞-一般,2
恐怖,キョーフ,名詞-普通名詞-サ変可能,2
雄,オス,名詞-普通名詞-一般,2
ん,ン,感動詞-フィラー,2
蛇,ヘビ,名詞-普通名詞-一般,2
静か,シズカ,形状詞-一般,2
わし,ワシ,代名詞,2
顔,カオ,名詞-普通名詞-一般,2
らし,ラシ,接尾辞-形容詞的,2
ｲﾙｶ,ｲﾙｶ,名詞-普通名詞-一般,2
やさし,ヤサシ,形容詞-一般,2
もらっ,モラッ,動詞-非自立可能,2
みんな,ミンナ,名詞-普通名詞-副詞可能,2
行けれ,イケレ,動詞-非自立可能,2
一部,イチブ,名詞-普通名詞-副詞可能,2
フッ,フッ,副詞,2
フン,フン,名詞-普通名詞-一般,2
