surface,reading,pos,frequency
｡,｡,記号-一般,172
の,ノ,助詞-格助詞,93
だ,ダ,助動詞,92
),,補助記号-括弧閉,90
！,,補助記号-句点,87
(,,補助記号-括弧開,84
？,,補助記号-句点,63
は,ワ,助詞-係助詞,61
よ,ヨ,助詞-終助詞,61
て,テ,助詞-接続助詞,58
た,タ,助動詞,57
が,ガ,助詞-格助詞,55
に,ニ,助詞-格助詞,53
…,,補助記号-一般,42
って,ッテ,助詞-副助詞,42
♬,,補助記号-一般,40
キバ,キバ,名詞-固有名詞-一般,40
～,,補助記号-一般,37
ば,バ,助詞-接続助詞,34
で,デ,助詞-格助詞,33
を,オ,助詞-格助詞,30
と,ト,助詞-格助詞,28
も,モ,助詞-係助詞,28
ん,ン,助詞-準体助詞,27
し,シ,動詞-非自立可能,26
ナルト,ナルト,名詞-固有名詞-人名-名,26
の,ノ,助詞-準体助詞,25
か,カ,助詞-終助詞,24
何,ナン,代名詞,21
君,クン,接尾辞-名詞的-一般,21
ﾋﾅﾀ,ﾋﾅﾀ,名詞-普通名詞-一般,20
俺,オレ,代名詞,19
赤丸,アカマル,名詞-普通名詞-一般,17
ない,ナイ,助動詞,17
な,ナ,助動詞,17
お前,オマエ,代名詞,16
に,ニ,助動詞,15
〉,,補助記号-括弧閉,13
ない,ナイ,形容詞-非自立可能,13
な,ナ,助詞-終助詞,13
綱手,ツナデ,名詞-普通名詞-一般,13
じゃ,ジャ,助動詞,13
から,カラ,助詞-接続助詞,13
＞,,補助記号-括弧閉,13
＜,,補助記号-括弧開,13
任務,ニンム,名詞-普通名詞-一般,13
あっ,アッ,感動詞-一般,13
〈,,補助記号-括弧開,13
ヒナ,ヒナ,名詞-普通名詞-一般,12
てる,テル,助動詞,12
たち,タチ,接尾辞-名詞的-一般,12
か,カ,助詞-副助詞,12
ら,ラ,接尾辞-名詞的-一般,11
…｡,…｡,記号-一般,11
だろ,ダロ,助動詞,10
ほえ声,ホエゴエ,名詞-普通名詞-一般,10
顔,カオ,名詞-普通名詞-一般,10
て,テ,助動詞,10
それ,ソレ,代名詞,10
ここ,ココ,代名詞,10
ねえ,ネー,形容詞-非自立可能,10
《,,補助記号-括弧開,9
私,ワタクシ,代名詞,9
ぜ,ゼ,助詞-終助詞,9
ある,アル,動詞-非自立可能,9
》,,補助記号-括弧閉,9
こと,コト,名詞-普通名詞-一般,9
あ,,補助記号-一般,8
ﾅﾙﾄ,ﾅﾙﾄ,名詞-普通名詞-一般,8
失敗,シッパイ,名詞-普通名詞-サ変可能,8
大丈夫,ダイジョーブ,形状詞-一般,8
修業,シュギョー,名詞-普通名詞-サ変可能,7
が,ガ,助詞-接続助詞,7
言っ,イッ,動詞-一般,7
もう,モー,副詞,7
いる,イル,動詞-非自立可能,7
タ,タ,代名詞,7
キバ,キバ,名詞-普通名詞-一般,7
どう,ドー,副詞,7
っ,,補助記号-一般,7
この,コノ,連体詞,7
じゃ,ジャ,助詞-格助詞,6
アカデミー,アカデミー,名詞-普通名詞-一般,6
人,ニン,接尾辞-名詞的-一般,6
こんな,コンナ,連体詞,6
足,アシ,名詞-普通名詞-一般,6
偽,ニセ,名詞-普通名詞-一般,6
｡(,｡(,記号-一般,6
です,デス,助動詞,6
･,･,記号-一般,6
ねえ,ネー,助動詞,6
えっ,エッ,感動詞-一般,6
先,サキ,名詞-普通名詞-副詞可能,6
たら,タラ,助動詞,6
里,サト,名詞-普通名詞-一般,6
まで,マデ,助詞-副助詞,6
よう,ヨー,形状詞-助動詞語幹,6
れ,レ,助動詞,6
３,３,名詞-数詞,5
そう,ソー,形状詞-助動詞語幹,5
だっ,ダッ,助動詞,5
なんて,ナンテ,助詞-副助詞,5
なら,ナラ,助動詞,5
タ,タ,助動詞,5
１人,ヒトリ,名詞-普通名詞-副詞可能,5
から,カラ,助詞-格助詞,5
これ,コレ,代名詞,5
成功,セーコー,名詞-普通名詞-サ変可能,5
本物,ホンモノ,名詞-普通名詞-一般,5
地図,チズ,名詞-普通名詞-一般,5
宝,タカラ,名詞-普通名詞-一般,5
鍾乳,ショーニュー,名詞-普通名詞-一般,5
男,オトコ,名詞-普通名詞-一般,5
早く,ハヤク,形容詞-一般,5
一,イチ,名詞-数詞,5
洞,ドー,接尾辞-名詞的-一般,5
待て,マテ,動詞-一般,4
山,ヤマ,名詞-普通名詞-一般,4
はず,ハズ,名詞-普通名詞-一般,4
そんな,ソンナ,連体詞,4
し,シ,助詞-接続助詞,4
お,オ,接頭辞,4
バカ,バカ,名詞-普通名詞-形状詞可能,4
映し,ウツシ,動詞-一般,4
ね,ネ,助詞-終助詞,4
もし,モシ,副詞,4
だろう,ダロー,助動詞,4
火影,ホカゲ,名詞-普通名詞-一般,4
なっ,ナッ,動詞-非自立可能,4
簡単,カンタン,形状詞-一般,4
絶対,ゼッタイ,名詞-普通名詞-副詞可能,4
とき,トキ,名詞-普通名詞-副詞可能,4
見つけ,ミツケ,動詞-一般,4
責任,セキニン,名詞-普通名詞-一般,4
時,トキ,名詞-普通名詞-副詞可能,4
人間,ニンゲン,名詞-普通名詞-一般,4
ヒナタ,ヒナタ,名詞-普通名詞-一般,4
いい,イー,形容詞-非自立可能,4
ハァ,ハー,感動詞-一般,4
２人,フタリ,名詞-普通名詞-副詞可能,4
やっ,ヤッ,動詞-非自立可能,4
こそ,コソ,助詞-係助詞,4
する,スル,動詞-非自立可能,4
そう,ソー,副詞,4
回,カイ,名詞-普通名詞-助数詞可能,4
ケガ,ケガ,名詞-普通名詞-サ変可能,4
フフフ,フフフ,感動詞-一般,3
一緒,イッショ,名詞-普通名詞-サ変可能,3
なんか,ナンカ,助詞-副助詞,3
シノ,シノ,名詞-普通名詞-一般,3
率,リツ,名詞-普通名詞-一般,3
もん,モン,名詞-普通名詞-一般,3
痛,ツー,接尾辞-名詞的-一般,3
木,キ,名詞-普通名詞-一般,3
２,２,名詞-数詞,3
葉隠れ,ハガクレ,名詞-普通名詞-一般,3
どっち,ドッチ,代名詞,3
行か,イカ,動詞-非自立可能,3
ノ,ノ,助詞-格助詞,3
行く,イク,動詞-非自立可能,3
術,ジュツ,名詞-普通名詞-一般,3
中,ナカ,名詞-普通名詞-副詞可能,3
ん,ン,感動詞-一般,3
普通,フツー,名詞-普通名詞-形状詞可能,3
んな,ンナ,連体詞,3
金,キン,接尾辞-名詞的-一般,3
場所,バショ,名詞-普通名詞-一般,3
みたい,ミタイ,形状詞-助動詞語幹,3
埋蔵,マイゾー,名詞-普通名詞-サ変可能,3
み,ミ,動詞-非自立可能,3
変化,ヘンカ,名詞-普通名詞-サ変可能,3
やる,ヤル,動詞-非自立可能,3
～｡,～｡,記号-一般,3
ばあ,バー,名詞-普通名詞-一般,3
より,ヨリ,助詞-格助詞,3
度,ド,名詞-普通名詞-助数詞可能,3
前,マエ,名詞-普通名詞-副詞可能,3
分かっ,ワカッ,動詞-一般,3
わけ,ワケ,名詞-普通名詞-一般,3
戻っ,モドッ,動詞-一般,3
数,スー,名詞-数詞,3
全然,ゼンゼン,副詞,3
ます,マス,助動詞,3
!,,補助記号-句点,3
あいつ,アイツ,代名詞,3
ぇ,,補助記号-一般,3
ぞ,ゾ,助詞-終助詞,3
ちゃん,チャン,接尾辞-名詞的-一般,3
あ,ア,感動詞-フィラー,3
こう,コー,副詞,3
あぁ,アー,感動詞-一般,3
え,エ,感動詞-一般,3
い,イ,動詞-非自立可能,3
き,キ,動詞-非自立可能,3
?,,補助記号-句点,3
一族,イチゾク,名詞-普通名詞-一般,2
さ,サ,動詞-非自立可能,2
さて,サテ,接続詞,2
しかも,シカモ,接続詞,2
フン,フン,名詞-固有名詞-人名-一般,2
終わら,オワラ,動詞-非自立可能,2
二,ニ,名詞-数詞,2
知ら,シラ,動詞-一般,2
こっち,コッチ,代名詞,2
人,ヒト,名詞-普通名詞-一般,2
今,イマ,名詞-普通名詞-副詞可能,2
今回,コンカイ,名詞-普通名詞-副詞可能,2
班,ハン,名詞-普通名詞-一般,2
こいつ,コイツ,代名詞,2
犬塚,イヌズカ,名詞-固有名詞-人名-姓,2
犬,ケン,接尾辞-名詞的-一般,2
依頼,イライ,名詞-普通名詞-サ変可能,2
しょっちゅう,ショッチュー,副詞,2
家,イエ,名詞-普通名詞-一般,2
しろ,シロ,動詞-非自立可能,2
ゴール,ゴール,名詞-普通名詞-サ変可能,2
いう,ユー,動詞-一般,2
そこ,ソコ,代名詞,2
やれ,ヤレ,感動詞-一般,2
言わ,イワ,動詞-一般,2
せ,セ,助動詞,2
られ,ラレ,助動詞,2
られる,ラレル,助動詞,2
