surface,reading,romaji,pos,frequency
！,,!,補助記号-句点,158
｡,｡,｡,記号-一般,125
の,ノ,no,助詞-格助詞,117
),,),補助記号-括弧閉,113
(,,(,補助記号-括弧開,106
た,タ,ta,助動詞,83
て,テ,te,助詞-接続助詞,75
…,,…,補助記号-一般,72
？,,？,補助記号-句点,71
は,ワ,ha,助詞-係助詞,70
が,ガ,ga,助詞-格助詞,59
に,ニ,ni,助詞-格助詞,59
を,オ,wo,助詞-格助詞,55
リー,リー,rii,名詞-固有名詞-人名-一般,53
だ,ダ,da,助動詞,50
よ,ヨ,yo,助詞-終助詞,44
と,ト,to,助詞-格助詞,43
道場,ドージョー,doujou,名詞-普通名詞-一般,43
ば,バ,ba,助詞-接続助詞,42
♬,,♬,補助記号-一般,37
ﾅﾅﾌｼ,ﾅﾅﾌｼ,nanafushi,名詞-普通名詞-一般,37
って,ッテ,tte,助詞-副助詞,35
～,,~,補助記号-一般,33
です,デス,desu,助動詞,31
》,,>>,補助記号-括弧閉,31
し,シ,shi,動詞-非自立可能,31
《,,<<,補助記号-括弧開,31
ガイ,ガイ,gai,名詞-普通名詞-一般,30
も,モ,mo,助詞-係助詞,30
で,デ,de,助詞-格助詞,29
か,カ,ka,助詞-終助詞,29
何,ナン,nani,代名詞,26
の,ノ,no,助詞-準体助詞,26
か,カ,ka,助詞-副助詞,25
ん,ン,n,助詞-準体助詞,24
破り,ヤブリ,yaburi,名詞-普通名詞-一般,22
な,ナ,na,助詞-終助詞,21
:,,:,補助記号-一般,19
声,コエ,koe,名詞-普通名詞-一般,18
な,ナ,na,助動詞,18
…｡,…｡,…,記号-一般,17
先生,センセー,sensei,名詞-普通名詞-一般,15
!,,!,補助記号-句点,14
?,,?,補助記号-句点,14
あっ,アッ,atsu,感動詞-一般,13
この,コノ,kono,連体詞,13
て,テ,te,助動詞,13
俺,オレ,ore,代名詞,13
ない,ナイ,nai,助動詞,12
そう,ソー,sou,副詞,12
ナルト,ナルト,naruto,名詞-固有名詞-人名-名,11
これ,コレ,kore,代名詞,11
ない,ナイ,nai,形容詞-非自立可能,11
えっ,エッ,etsu,感動詞-一般,10
僕,ボク,boku,代名詞,10
いう,ユー,iu,動詞-一般,10
綱手,ツナデ,tsunade,名詞-普通名詞-一般,10
まし,マシ,mashi,助動詞,10
が,ガ,ga,助詞-接続助詞,9
それ,ソレ,sore,代名詞,9
お,オ,o,接頭辞,9
ぞ,ゾ,zo,助詞-終助詞,9
する,スル,suru,動詞-非自立可能,9
ね,ネ,ne,助詞-終助詞,9
ん,ン,n,助詞-格助詞,9
いる,イル,iru,動詞-非自立可能,8
里,サト,sato,名詞-普通名詞-一般,8
てる,テル,teru,助動詞,8
行く,イク,iku,動詞-非自立可能,8
ます,マス,masu,助動詞,8
君,クン,kun,接尾辞-名詞的-一般,8
に,ニ,ni,助動詞,8
っ,,tsu,補助記号-一般,8
だっ,ダッ,datsu,助動詞,8
どう,ドー,dou,副詞,8
