surface,reading,pos,frequency
！,,補助記号-句点,145
),,補助記号-括弧閉,97
｡,｡,記号-一般,91
(,,補助記号-括弧開,86
～,,補助記号-一般,64
だ,ダ,助動詞,58
て,テ,助詞-接続助詞,53
の,ノ,助詞-格助詞,50
♬,,補助記号-一般,43
雷,カミナリ,名詞-普通名詞-一般,42
を,オ,助詞-格助詞,41
…,,補助記号-一般,40
に,ニ,助詞-格助詞,39
牙,キバ,名詞-普通名詞-一般,39
た,タ,助動詞,39
は,ワ,助詞-係助詞,37
よ,ヨ,助詞-終助詞,35
？,,補助記号-句点,35
蘭丸,ランマル,名詞-固有名詞-人名-名,32
が,ガ,助詞-格助詞,30
ん,ン,助詞-準体助詞,29
あっ,アッ,感動詞-一般,25
さん,サン,接尾辞-名詞的-一般,25
さ,サ,助詞-終助詞,23
って,ッテ,助詞-副助詞,22
お前,オマエ,代名詞,21
何,ナン,代名詞,19
と,ト,助詞-格助詞,18
も,モ,助詞-係助詞,17
で,デ,助詞-格助詞,16
こりゃ,コリャ,代名詞,16
ばあ,バー,名詞-普通名詞-一般,16
山椒,サンショー,名詞-普通名詞-一般,15
ば,バ,助詞-接続助詞,15
!,,補助記号-句点,15
?,,補助記号-句点,15
…｡,…｡,記号-一般,15
ね,ネ,助詞-終助詞,14
カレー,カレー,名詞-普通名詞-一般,14
ネジ,ネジ,名詞-普通名詞-一般,13
な,ナ,助動詞,13
な,ナ,助詞-終助詞,12
から,カラ,助詞-接続助詞,12
ｶﾗｼ,ｶﾗｼ,名詞-普通名詞-一般,12
僕,ボク,代名詞,12
リー,リー,名詞-固有名詞-人名-一般,11
の,ノ,助詞-準体助詞,11
か,カ,助詞-終助詞,11
じゃ,ジャ,助動詞,11
｡(,｡(,記号-一般,10
命,イノチ,名詞-普通名詞-一般,10
ありゃ,アリャ,動詞-非自立可能,9
する,スル,動詞-非自立可能,9
もう,モー,副詞,9
し,シ,動詞-非自立可能,9
さ,サ,接尾辞-名詞的-一般,9
ﾃﾝﾃﾝ,ﾃﾝﾃﾝ,名詞-普通名詞-一般,9
か,カ,助詞-副助詞,9
て,テ,助動詞,8
これ,コレ,代名詞,8
てる,テル,助動詞,8
葬式,ソーシキ,名詞-普通名詞-一般,8
あぁ,アー,感動詞-一般,7
こと,コト,名詞-普通名詞-一般,7
この,コノ,連体詞,7
くれ,クレ,動詞-非自立可能,7
俺,オレ,代名詞,7
雷鳴,ライメー,名詞-普通名詞-一般,7
まで,マデ,助詞-副助詞,7
＞,,補助記号-括弧閉,6
あ,ア,感動詞-一般,6
＜,,補助記号-括弧開,6
ありゃ,アリャ,代名詞,6
そう,ソー,形状詞-助動詞語幹,6
行く,イク,動詞-非自立可能,6
ない,ナイ,助動詞,6
う,ウ,感動詞-一般,6
なっ,ナッ,動詞-非自立可能,5
へ,エ,助詞-格助詞,5
あの,アノ,感動詞-フィラー,5
ない,ナイ,形容詞-非自立可能,5
大丈夫,ダイジョーブ,形状詞-一般,5
だっ,ダッ,助動詞,5
食べ,タベ,動詞-一般,5
ある,アル,動詞-非自立可能,5
それ,ソレ,代名詞,5
ぞ,ゾ,助詞-終助詞,5
ん,ン,助詞-格助詞,5
一緒,イッショ,名詞-普通名詞-サ変可能,5
２人,フタリ,名詞-普通名詞-副詞可能,5
ナルト,ナルト,名詞-固有名詞-人名-名,5
ねえ,ネー,助動詞,5
いる,イル,動詞-非自立可能,5
うっ,ウッ,感動詞-一般,5
えっ,エッ,感動詞-一般,5
から,カラ,助詞-格助詞,4
なんか,ナンカ,助詞-副助詞,4
なきゃ,ナキャ,助動詞,4
１人,ヒトリ,名詞-普通名詞-副詞可能,4
ヤツ,ヤツ,名詞-普通名詞-一般,4
ハァ,ハー,感動詞-一般,4
忍刀,シノビガタナ,名詞-普通名詞-一般,4
先,サキ,名詞-普通名詞-副詞可能,4
ちゃん,チャン,接尾辞-名詞的-一般,4
分身,ブンシン,名詞-普通名詞-一般,4
ッ,,補助記号-一般,4
見,ミ,動詞-非自立可能,4
あいつ,アイツ,代名詞,4
挙げ,アゲ,動詞-非自立可能,4
に,ニ,助動詞,4
ねえ,ネー,形容詞-非自立可能,4
です,デス,助動詞,4
ら,ラ,接尾辞-名詞的-一般,4
どこ,ドコ,代名詞,3
七,ナナ,名詞-数詞,3
たら,タラ,助動詞,3
母,ハハ,名詞-普通名詞-一般,3
､,､,記号-一般,3
あ,,補助記号-一般,3
うん,ウン,感動詞-一般,3
お,オ,接頭辞,3
ハハ,ハハ,感動詞-一般,3
やら,ヤラ,動詞-非自立可能,3
アハハハ,アハハハ,感動詞-一般,3
やがっ,ヤガッ,助動詞,3
で,デ,助動詞,3
やる,ヤル,動詞-非自立可能,3
ガイ,ガイ,名詞-普通名詞-一般,3
う,ウ,記号-一般,3
目,メ,名詞-普通名詞-一般,3
あ,ア,記号-一般,3
だろう,ダロー,助動詞,3
生き,イキ,動詞-一般,3
ぇ,,補助記号-一般,3
また,マタ,副詞,3
ねえ,ネー,助詞-終助詞,3
させ,サセ,助動詞,3
言っ,イッ,動詞-一般,3
なる,ナル,動詞-非自立可能,3
･,･,記号-一般,3
みんな,ミンナ,名詞-普通名詞-副詞可能,3
出し,ダシ,動詞-非自立可能,3
いい,イー,形容詞-非自立可能,3
ずっと,ズット,副詞,3
子,コ,名詞-普通名詞-一般,3
なさい,ナサイ,動詞-非自立可能,3
様,サマ,接尾辞-名詞的-一般,3
ぜ,ゼ,助詞-終助詞,3
そう,ソー,副詞,3
ここ,ココ,代名詞,3
死ぬ,シヌ,動詞-一般,3
そば,ソバ,名詞-普通名詞-一般,3
人衆,ジンシュー,名詞-普通名詞-一般,3
そんな,ソンナ,連体詞,3
ぁ,,補助記号-一般,3
道,ミチ,名詞-普通名詞-一般,3
鎧,ヨロイ,名詞-普通名詞-一般,2
遠雷,エンライ,名詞-普通名詞-一般,2
よかっ,ヨカッ,形容詞-非自立可能,2
行っ,イッ,動詞-非自立可能,2
絶対,ゼッタイ,名詞-普通名詞-副詞可能,2
連れ,ツレ,動詞-一般,2
はい,ハイ,感動詞-一般,2
やっ,ヤッ,動詞-非自立可能,2
ます,マス,助動詞,2
自分,ジブン,名詞-普通名詞-一般,2
自由,ジユー,名詞-普通名詞-形状詞可能,2
見つめ,ミツメ,動詞-一般,2
待っ,マッ,動詞-一般,2
ア,ア,名詞-普通名詞-一般,2
アッ,アッ,感動詞-一般,2
本物,ホンモノ,名詞-普通名詞-一般,2
口,クチ,名詞-普通名詞-一般,2
君,キミ,代名詞,2
早く,ハヤク,形容詞-一般,2
君,クン,接尾辞-名詞的-一般,2
数え,カゾエ,動詞-一般,2
場合,バアイ,名詞-普通名詞-副詞可能,2
夢,ユメ,名詞-普通名詞-一般,2
大変,タイヘン,形状詞-一般,2
思っ,オモッ,動詞-一般,2
嫌い,キライ,名詞-普通名詞-形状詞可能,2
鮫,サメ,名詞-普通名詞-一般,2
崖,ガケ,名詞-普通名詞-一般,2
忍法,ニンポー,名詞-普通名詞-一般,2
影,カゲ,名詞-普通名詞-一般,2
元気,ゲンキ,名詞-普通名詞-形状詞可能,2
来,キ,動詞-非自立可能,2
仲間,ナカマ,名詞-普通名詞-一般,2
頑張り,ガンバリ,名詞-普通名詞-一般,2
笑っ,ワラッ,動詞-一般,2
私,ワタクシ,代名詞,2
カラシ,カラシ,名詞-普通名詞-一般,2
目覚め,メザメ,動詞-一般,2
ダメ,ダメ,名詞-普通名詞-形状詞可能,2
ハ,ハ,記号-一般,2
火影,ホカゲ,名詞-普通名詞-一般,2
死ん,シン,動詞-一般,2
涙,ナミダ,名詞-普通名詞-サ変可能,2
一人,ヒトリ,名詞-普通名詞-副詞可能,2
気,ゲ,接尾辞-形状詞的,2
世界,セカイ,名詞-普通名詞-一般,2
事,コト,名詞-普通名詞-一般,2
人,ニン,接尾辞-名詞的-一般,2
雷撃,ライゲキ,名詞-普通名詞-サ変可能,2
一同,イチドー,名詞-普通名詞-一般,2
ﾅﾙﾄ,ﾅﾙﾄ,名詞-普通名詞-一般,2
ちまっ,チマッ,助動詞,2
とこ,トコ,名詞-普通名詞-一般,2
しっかり,シッカリ,副詞,2
とい,トイ,助動詞,2
い,イ,動詞-非自立可能,2
でき,デキ,動詞-非自立可能,2
で,デ,助詞-接続助詞,2
てめぇ,テメー,代名詞,2
てく,テク,助動詞,2
つもり,ツモリ,名詞-普通名詞-一般,2
