surface,reading,romaji,pos,frequency
｡,｡,｡,記号-一般,147
！,,!,補助記号-句点,100
),,),補助記号-括弧閉,85
(,,(,補助記号-括弧開,85
の,ノ,no,助詞-格助詞,84
は,ワ,ha,助詞-係助詞,60
て,テ,te,助詞-接続助詞,59
だ,ダ,da,助動詞,59
た,タ,ta,助動詞,58
♬,,♬,補助記号-一般,51
に,ニ,ni,助詞-格助詞,46
～,,~,補助記号-一般,45
…,,…,補助記号-一般,44
を,オ,wo,助詞-格助詞,43
が,ガ,ga,助詞-格助詞,36
も,モ,mo,助詞-係助詞,36
羅,ラ,ra,名詞-普通名詞-一般,32
我,ワガ,ware,連体詞,32
愛,アイ,ai,名詞-普通名詞-一般,32
？,,？,補助記号-句点,30
で,デ,de,助詞-格助詞,30
と,ト,to,助詞-格助詞,30
よ,ヨ,yo,助詞-終助詞,24
って,ッテ,tte,助詞-副助詞,22
し,シ,shi,動詞-非自立可能,20
ん,ン,n,助詞-準体助詞,20
何,ナン,nani,代名詞,20
な,ナ,na,助動詞,18
から,カラ,kara,助詞-接続助詞,17
か,カ,ka,助詞-副助詞,17
?,,?,補助記号-句点,16
!,,!,補助記号-句点,16
の,ノ,no,助詞-準体助詞,15
か,カ,ka,助詞-終助詞,15
ナルト,ナルト,naruto,名詞-固有名詞-人名-名,14
お前,オマエ,o,代名詞,13
てる,テル,teru,助動詞,12
ね,ネ,ne,助詞-終助詞,12
こと,コト,koto,名詞-普通名詞-一般,12
ば,バ,ba,助詞-接続助詞,11
ない,ナイ,nai,助動詞,10
に,ニ,ni,助動詞,10
俺,オレ,ore,代名詞,10
それ,ソレ,sore,代名詞,9
ｼｶﾏﾙ,ｼｶﾏﾙ,shikamaru,名詞-普通名詞-一般,9
チャクラ,チャクラ,chakura,名詞-普通名詞-一般,9
鶴,ツル,tsuru,名詞-固有名詞-人名-名,9
あっ,アッ,atsu,感動詞-一般,9
う,ウ,u,感動詞-一般,9
やる,ヤル,yaru,動詞-非自立可能,8
い,イ,i,動詞-非自立可能,8
いる,イル,iru,動詞-非自立可能,8
先生,センセー,sensei,名詞-普通名詞-一般,8
守,マモル,shu,名詞-固有名詞-人名-名,8
力,チカラ,chikara,名詞-普通名詞-一般,8
なぜ,ナゼ,naze,副詞,7
だけ,ダケ,dake,助詞-副助詞,7
する,スル,suru,動詞-非自立可能,7
あいつ,アイツ,aitsu,代名詞,7
ネジ,ネジ,neji,名詞-普通名詞-一般,7
まで,マデ,made,助詞-副助詞,7
て,テ,te,助動詞,7
くれ,クレ,kure,動詞-非自立可能,7
な,ナ,na,助詞-終助詞,7
うっ,ウッ,utsu,感動詞-一般,7
これ,コレ,kore,代名詞,7
です,デス,desu,助動詞,6
なり,ナリ,nari,動詞-非自立可能,6
じゃ,ジャ,ja,助動詞,6
で,デ,de,助詞-接続助詞,6
ぞ,ゾ,zo,助詞-終助詞,6
この,コノ,kono,連体詞,6
れ,レ,re,助動詞,6
ない,ナイ,nai,形容詞-非自立可能,6
そう,ソー,sou,副詞,6
わ,ワ,wa,助詞-終助詞,6
う,ウ,u,感動詞-フィラー,6
ﾃﾏﾘ,ﾃﾏﾘ,temari,名詞-普通名詞-一般,6
ｾｲﾒｲ,ｾｲﾒｲ,seimei,名詞-普通名詞-一般,6
＞,,＞,補助記号-括弧閉,6
＜,,＜,補助記号-括弧開,6
あの,アノ,ano,感動詞-フィラー,6
あんた,アンタ,anta,代名詞,6
強い,ツヨイ,tsuyoi,形容詞-一般,6
砂,スナ,suna,名詞-普通名詞-一般,5
ヤツ,ヤツ,yatsu,名詞-普通名詞-一般,5
見,ミ,ken,動詞-非自立可能,5
自来,ジライ,jirai,名詞-普通名詞-一般,5
自分,ジブン,jibun,名詞-普通名詞-一般,5
里,サト,sato,名詞-普通名詞-一般,5
どう,ドー,dou,副詞,5
也,ナリ,ya,助動詞,5
リー,リー,rii,名詞-固有名詞-人名-一般,5
あたし,アタシ,atashi,代名詞,5
い,イ,i,記号-一般,5
心,ココロ,kokoro,名詞-普通名詞-サ変可能,5
ん,ン,n,助動詞,5
ああ,アー,aa,感動詞-一般,5
大丈夫,ダイジョーブ,daijoubu,形状詞-一般,5
フッ,フッ,futsu,副詞,5
あ,ア,a,感動詞-一般,5
なら,ナラ,nara,助動詞,5
なる,ナル,naru,動詞-非自立可能,5
たい,タイ,tai,助動詞,5
僕,ボク,boku,代名詞,5
ん,ン,n,助詞-格助詞,5
ねえ,ネー,nee,形容詞-非自立可能,5
から,カラ,kara,助詞-格助詞,5
その,ソノ,sono,連体詞,5
で,デ,de,助動詞,5
ちょっと,チョット,chotto,副詞,4
やっ,ヤッ,yatsu,動詞-非自立可能,4
ｲﾙｶ,ｲﾙｶ,iruka,名詞-普通名詞-一般,4
そう,ソー,sou,形状詞-助動詞語幹,4
へ,エ,he,助詞-格助詞,4
近く,チカク,chikaku,名詞-普通名詞-副詞可能,4
綱手,ツナデ,tsunade,名詞-普通名詞-一般,4
忍,オシ,nin,名詞-固有名詞-地名-一般,4
なく,ナク,naku,助動詞,4
大切,タイセツ,taisetsu,形状詞-一般,4
なっ,ナッ,natsu,動詞-非自立可能,4
など,ナド,nado,助詞-副助詞,4
