surface,reading,romaji,pos,frequency
),,),補助記号-括弧閉,126
｡,｡,｡,記号-一般,125
(,,(,補助記号-括弧開,121
！,,!,補助記号-句点,73
♬,,♬,補助記号-一般,71
は,ワ,ha,助詞-係助詞,63
を,オ,wo,助詞-格助詞,58
の,ノ,no,助詞-格助詞,56
に,ニ,ni,助詞-格助詞,51
だ,ダ,da,助動詞,50
～,,~,補助記号-一般,46
が,ガ,ga,助詞-格助詞,44
て,テ,te,助詞-接続助詞,37
？,,？,補助記号-句点,33
た,タ,ta,助動詞,31
…,,…,補助記号-一般,30
と,ト,to,助詞-格助詞,27
も,モ,mo,助詞-係助詞,25
な,ナ,na,助動詞,20
ん,ン,n,助詞-準体助詞,19
か,カ,ka,助詞-終助詞,19
忍,オシ,nin,名詞-固有名詞-地名-一般,19
羅,ラ,ra,名詞-普通名詞-一般,18
で,デ,de,助詞-格助詞,18
我,ワガ,ware,連体詞,18
ｶｶｼ,ｶｶｼ,kakashi,名詞-普通名詞-一般,18
愛,アイ,ai,名詞-普通名詞-一般,18
何,ナン,nani,代名詞,17
の,ノ,no,助詞-準体助詞,17
よ,ヨ,yo,助詞-終助詞,17
し,シ,shi,動詞-非自立可能,17
な,ナ,na,助詞-終助詞,15
丸,マル,maru,接尾辞-名詞的-一般,15
大蛇,オロチ,orochi,名詞-普通名詞-一般,13
ない,ナイ,nai,形容詞-非自立可能,13
こと,コト,koto,名詞-普通名詞-一般,13
そう,ソー,sou,副詞,12
ない,ナイ,nai,助動詞,12
ば,バ,ba,助詞-接続助詞,11
ノ,ノ,no,助詞-格助詞,11
木,キ,ki,名詞-普通名詞-一般,11
か,カ,ka,助詞-副助詞,11
火影,ホカゲ,hokage,名詞-普通名詞-一般,11
影,カゲ,kage,名詞-普通名詞-一般,10
様,サマ,sama,接尾辞-名詞的-一般,10
暗部,アンブ,anbu,名詞-普通名詞-一般,10
１,１,1,名詞-数詞,10
…｡,…｡,…,記号-一般,10
いる,イル,iru,動詞-非自立可能,10
葉,ハ,ha,名詞-普通名詞-一般,10
２,２,2,名詞-数詞,9
》,,>>,補助記号-括弧閉,9
する,スル,suru,動詞-非自立可能,9
です,デス,desu,助動詞,9
風,カゼ,kaze,名詞-普通名詞-一般,9
《,,<<,補助記号-括弧開,9
この,コノ,kono,連体詞,9
いい,イー,ii,形容詞-非自立可能,9
お前,オマエ,o,代名詞,9
に,ニ,ni,助動詞,9
うぅ,ウー,uu,感動詞-一般,8
それ,ソレ,sore,代名詞,8
から,カラ,kara,助詞-格助詞,8
たち,タチ,tachi,接尾辞-名詞的-一般,8
ここ,ココ,koko,代名詞,7
で,デ,de,助動詞,7
で,デ,de,助詞-接続助詞,7
!,,!,補助記号-句点,7
サスケ,サスケ,sasuke,名詞-固有名詞-人名-名,7
ガイ,ガイ,gai,名詞-普通名詞-一般,7
ﾃﾏﾘ,ﾃﾏﾘ,temari,名詞-普通名詞-一般,7
ｶﾝｸﾛｳ,ｶﾝｸﾛｳ,kankurou,名詞-普通名詞-一般,7
?,,?,補助記号-句点,7
って,ッテ,tte,助詞-副助詞,6
が,ガ,ga,助詞-接続助詞,6
｡(,｡(,(,記号-一般,6
試験,シケン,shiken,名詞-普通名詞-サ変可能,6
ん,ン,n,助詞-格助詞,6
て,テ,te,助動詞,6
ある,アル,aru,動詞-非自立可能,6
ナルト,ナルト,naruto,名詞-固有名詞-人名-名,6
よう,ヨー,you,形状詞-助動詞語幹,5
任務,ニンム,ninmu,名詞-普通名詞-一般,5
代,ダイ,dai,名詞-普通名詞-助数詞可能,5
っ,,tsu,補助記号-一般,5
いう,ユー,iu,動詞-一般,5
ｹﾞﾝﾏ,ｹﾞﾝﾏ,genma,名詞-普通名詞-一般,5
目,メ,me,接尾辞-名詞的-一般,5
もう,モー,mou,副詞,5
忍,シノブ,nin,名詞-固有名詞-人名-名,5
ｲﾙｶ,ｲﾙｶ,iruka,名詞-普通名詞-一般,5
ｲﾋﾞｷ,ｲﾋﾞｷ,ibiki,名詞-普通名詞-一般,5
･,･,･,記号-一般,5
中忍,チューニン,chuunin,名詞-普通名詞-一般,5
猿飛,サルトビ,sarutobi,名詞-固有名詞-人名-姓,5
自分,ジブン,jibun,名詞-普通名詞-一般,5
音,オト,oto,名詞-普通名詞-一般,5
なんて,ナンテ,nante,助詞-副助詞,5
俺,オレ,ore,代名詞,5
なら,ナラ,nara,助動詞,5
じゃ,ジャ,ja,助動詞,5
あっ,アッ,atsu,感動詞-一般,5
ぞ,ゾ,zo,助詞-終助詞,5
さ,サ,sa,接尾辞-名詞的-一般,5
傷,キズ,kizu,名詞-普通名詞-一般,5
砂,スナ,suna,名詞-普通名詞-一般,5
どう,ドー,dou,副詞,5
その,ソノ,sono,連体詞,4
幻術,ゲンジュツ,genjutsu,名詞-普通名詞-一般,4
思っ,オモッ,omotsu,動詞-一般,4
悲しみ,カナシミ,kanashimi,名詞-普通名詞-一般,4
先生,センセー,sensei,名詞-普通名詞-一般,4
ぜ,ゼ,ze,助詞-終助詞,4
君,クン,kun,接尾辞-名詞的-一般,4
だろう,ダロー,darou,助動詞,4
見,ミ,ken,動詞-非自立可能,4
ァ,,a,補助記号-一般,4
ん,ン,n,助動詞,4
D,D,D,名詞-普通名詞-一般,4
回,カイ,kai,名詞-普通名詞-助数詞可能,4
里,サト,sato,名詞-普通名詞-一般,4
班,ハン,han,名詞-普通名詞-一般,4
〈,,<,補助記号-括弧開,4
うわ,ウワ,uwa,感動詞-一般,4
もの,モノ,mono,名詞-普通名詞-サ変可能,4
てる,テル,teru,助動詞,4
三,サン,san,名詞-数詞,4
から,カラ,kara,助詞-接続助詞,4
まし,マシ,mashi,助動詞,4
やれ,ヤレ,yare,感動詞-一般,3
ほう,ホー,hou,名詞-普通名詞-一般,3
ね,ネ,ne,助詞-終助詞,3
そんな,ソンナ,sonna,連体詞,3
動く,ウゴク,ugoku,動詞-一般,3
フッ,フッ,futsu,副詞,3
バキ,バキ,baki,名詞-固有名詞-人名-名,3
人,ヒト,nin,名詞-普通名詞-一般,3
先,サキ,saki,名詞-普通名詞-副詞可能,3
フフフ,フフフ,fufufu,感動詞-一般,3
と,ト,to,助詞-接続助詞,3
ヤツ,ヤツ,yatsu,名詞-普通名詞-一般,3
作戦,サクセン,sakusen,名詞-普通名詞-一般,3
ランク,ランク,ranku,名詞-普通名詞-サ変可能,3
だけ,ダケ,dake,助詞-副助詞,3
だっ,ダッ,datsu,助動詞,3
フン,フン,fun,名詞-普通名詞-一般,3
ます,マス,masu,助動詞,3
いつ,イツ,itsu,代名詞,3
A,A,A,名詞-普通名詞-一般,3
こんな,コンナ,konna,連体詞,3
けど,ケド,kedo,助詞-接続助詞,3
見る,ミル,miru,動詞-非自立可能,3
〉,,>,補助記号-括弧閉,3
あいつ,アイツ,aitsu,代名詞,3
あっ,アッ,atsu,動詞-非自立可能,3
者,シャ,mono,接尾辞-名詞的-一般,3
殿,ドノ,dono,接尾辞-名詞的-一般,3
うわっ,ウワッ,uwatsu,感動詞-一般,3
無駄,ムダ,muda,名詞-普通名詞-形状詞可能,3
結界,ケッカイ,kekkai,名詞-普通名詞-一般,3
うち,ウチ,uchi,名詞-普通名詞-副詞可能,3
終わり,オワリ,owari,名詞-普通名詞-一般,3
目的,モクテキ,mokuteki,名詞-普通名詞-一般,3
いざ,イザ,iza,感動詞-一般,3
しろ,シロ,shiro,動詞-非自立可能,3
誰,ダレ,dare,代名詞,3
いか,イカ,ika,動詞-非自立可能,3
ず,ズ,zu,助動詞,3
待っ,マッ,matsu,動詞-一般,3
ｸﾅｲ,ｸﾅｲ,kunai,名詞-普通名詞-一般,3
風,フー,kaze,名詞-普通名詞-形状詞可能,3
ﾓｴｷﾞ,ﾓｴｷﾞ,moegi,名詞-普通名詞-一般,2
チャクラ,チャクラ,chakura,名詞-普通名詞-一般,2
コレ,コレ,kore,名詞-普通名詞-一般,2
サクラ,サクラ,sakura,名詞-普通名詞-一般,2
７,７,7,名詞-数詞,2
シカマル,シカマル,shikamaru,名詞-固有名詞-人名-名,2
タ,タ,ta,助動詞,2
Ａ,Ａ,A,名詞-普通名詞-一般,2
笑っ,ワラッ,waratsu,動詞-一般,2
ｳﾄﾞﾝ,ｳﾄﾞﾝ,udon,名詞-普通名詞-一般,2
ガキ,ガキ,gaki,名詞-普通名詞-一般,2
みんな,ミンナ,minna,名詞-普通名詞-副詞可能,2
まま,ママ,mama,名詞-普通名詞-副詞可能,2
まで,マデ,made,助詞-副助詞,2
チッ,チッ,chitsu,副詞,2
終わっ,オワッ,owa,動詞-非自立可能,2
ダメ,ダメ,dame,名詞-普通名詞-形状詞可能,2
より,ヨリ,yori,助詞-格助詞,2
行か,イカ,ika,動詞-非自立可能,2
起きる,オキル,oki,動詞-一般,2
間,アイダ,kan,名詞-普通名詞-副詞可能,2
ら,ラ,ra,接尾辞-名詞的-一般,2
進ん,ススン,susun,動詞-一般,2
迷い,マヨイ,mayoi,動詞-一般,2
らし,ラシ,rashi,接尾辞-形容詞的,2
られる,ラレル,rareru,助動詞,2
風車,カザグルマ,fuusha,名詞-普通名詞-一般,2
わし,ワシ,washi,代名詞,2
行けれ,イケレ,ike,動詞-非自立可能,2
童,ワラベ,warabe,名詞-普通名詞-一般,2
試合,シアイ,shiai,名詞-普通名詞-サ変可能,2
鬼,オニ,oni,名詞-普通名詞-一般,2
言っ,イッ,itsutsu,動詞-一般,2
解決,カイケツ,kaiketsu,名詞-普通名詞-サ変可能,2
やっぱり,ヤッパリ,yappari,副詞,2
やっと,ヤット,yatto,副詞,2
やさし,ヤサシ,yasashi,形容詞-一般,2
外,ガイ,soto,接尾辞-名詞的-一般,2
空,ソラ,sora,名詞-普通名詞-一般,2
戦,セン,sen,接尾辞-名詞的-一般,2
恐らく,オソラク,osora,副詞,2
怖い,コワイ,kowai,形容詞-一般,2
応援,オーエン,ouen,名詞-普通名詞-サ変可能,2
忍,シノブ,nin,名詞-固有名詞-人名-姓,2
まだ,マダ,mada,副詞,2
入れ,イレ,ire,動詞-一般,2
後手,ゴテ,gote,名詞-普通名詞-一般,2
再開,サイカイ,saikai,名詞-普通名詞-サ変可能,2
出,デ,shutsu,動詞-一般,2
出し,ダシ,dashi,動詞-非自立可能,2
分かっ,ワカッ,waka,動詞-一般,2
分から,ワカラ,waka,動詞-一般,2
形,カタチ,katachi,名詞-普通名詞-一般,2
強く,ツヨク,tsuyoku,形容詞-一般,2
刺さる,ササル,sasa,動詞-一般,2
少し,スコシ,sukoshi,副詞,2
力,チカラ,chikara,名詞-普通名詞-一般,2
完全,カンゼン,kanzen,形状詞-一般,2
失敗,シッパイ,shippai,名詞-普通名詞-サ変可能,2
勝っ,カッ,katsu,動詞-一般,2
大,ダイ,dai,接頭辞,2
恥ずかしい,ハズカシー,hazukashii,形容詞-一般,2
抜け,ヌケ,nuke,動詞-非自立可能,2
バキ,バキ,baki,名詞-固有名詞-人名-一般,2
授業,ジュギョー,jugyou,名詞-普通名詞-サ変可能,2
私,ワタクシ,watashi,代名詞,2
向かう,ムカウ,muka,動詞-一般,2
目,メ,me,名詞-普通名詞-一般,2
生徒,セート,seito,名詞-普通名詞-一般,2
ボーダー,ボーダー,boodaa,名詞-普通名詞-一般,2
気,キ,ki,名詞-普通名詞-一般,2
殺す,コロス,korosu,動詞-一般,2
死ん,シン,shin,動詞-一般,2
一,イチ,ichi,名詞-数詞,2
歩けれ,アルケレ,aruke,動詞-一般,2
歩き,アルキ,aruki,動詞-一般,2
東門,ヒガシモン,higashimon,名詞-普通名詞-一般,2
中,チュー,naka,接尾辞-名詞的-副詞可能,2
昔,ムカシ,mukashi,名詞-普通名詞-副詞可能,2
日,ヒ,nichi,名詞-普通名詞-副詞可能,2
敵,テキ,teki,名詞-普通名詞-一般,2
数,カズ,kazu,名詞-普通名詞-一般,2
教え,オシエ,oshie,動詞-一般,2
