surface,reading,romaji,pos,frequency
｡,｡,｡,記号-一般,127
！,,!,補助記号-句点,105
),,),補助記号-括弧閉,77
(,,(,補助記号-括弧開,71
だ,ダ,da,助動詞,71
は,ワ,ha,助詞-係助詞,64
♬,,♬,補助記号-一般,63
の,ノ,no,助詞-格助詞,60
～,,~,補助記号-一般,58
ｶｶｼ,ｶｶｼ,kakashi,名詞-普通名詞-一般,56
？,,？,補助記号-句点,55
を,オ,wo,助詞-格助詞,44
…,,…,補助記号-一般,43
に,ニ,ni,助詞-格助詞,40
て,テ,te,助詞-接続助詞,37
た,タ,ta,助動詞,33
よ,ヨ,yo,助詞-終助詞,31
って,ッテ,tte,助詞-副助詞,31
が,ガ,ga,助詞-格助詞,27
も,モ,mo,助詞-係助詞,25
で,デ,de,助詞-格助詞,24
と,ト,to,助詞-格助詞,23
《,,<<,補助記号-括弧開,23
》,,>>,補助記号-括弧閉,23
こと,コト,koto,名詞-普通名詞-一般,22
な,ナ,na,助動詞,21
何,ナン,nani,代名詞,20
の,ノ,no,助詞-準体助詞,20
ば,バ,ba,助詞-接続助詞,20
か,カ,ka,助詞-副助詞,18
サスケ,サスケ,sasuke,名詞-固有名詞-人名-名,18
し,シ,shi,動詞-非自立可能,18
か,カ,ka,助詞-終助詞,16
俺,オレ,ore,代名詞,16
に,ニ,ni,助動詞,16
君,クン,kun,接尾辞-名詞的-一般,16
ん,ン,n,助詞-準体助詞,15
忍者,ニンジャ,ninja,名詞-普通名詞-一般,14
…｡,…｡,…,記号-一般,14
な,ナ,na,助詞-終助詞,14
お前,オマエ,o,代名詞,14
鈴,スズ,suzu,名詞-普通名詞-一般,13
',',',記号-一般,13
それ,ソレ,sore,代名詞,13
ない,ナイ,nai,助動詞,12
.,,.,補助記号-句点,12
そう,ソー,sou,副詞,11
ない,ナイ,nai,形容詞-非自立可能,11
から,カラ,kara,助詞-接続助詞,11
あっ,アッ,atsu,感動詞-一般,10
!,,!,補助記号-句点,10
今,イマ,ima,名詞-普通名詞-副詞可能,10
ら,ラ,ra,接尾辞-名詞的-一般,10
?,,?,補助記号-句点,10
t,t,t,名詞-普通名詞-一般,10
ね,ネ,ne,助詞-終助詞,9
Don,Don,Don,名詞-普通名詞-一般,9
３,３,3,名詞-数詞,9
て,テ,te,助動詞,9
いい,イー,ii,形容詞-非自立可能,8
サクラ,サクラ,sakura,名詞-普通名詞-一般,8
人,ニン,nin,接尾辞-名詞的-一般,8
音,オト,oto,名詞-普通名詞-一般,8
裏,ウラ,ura,名詞-普通名詞-一般,8
フッ,フッ,futsu,副詞,7
たち,タチ,tachi,接尾辞-名詞的-一般,7
この,コノ,kono,連体詞,7
れ,レ,re,助動詞,7
先生,センセー,sensei,名詞-普通名詞-一般,7
任務,ニンム,ninmu,名詞-普通名詞-一般,6
you,you,you,名詞-普通名詞-一般,6
分かっ,ワカッ,waka,動詞-一般,6
私,ワタクシ,watashi,代名詞,6
だけ,ダケ,dake,助詞-副助詞,6
the,the,the,名詞-普通名詞-一般,6
英雄,エーユー,eiyuu,名詞-普通名詞-一般,6
いる,イル,iru,動詞-非自立可能,6
ヤツ,ヤツ,yatsu,名詞-普通名詞-一般,6
チームワーク,チームワーク,chiimuwaaku,名詞-普通名詞-一般,6
え,エ,e,感動詞-一般,6
れる,レル,reru,助動詞,6
まで,マデ,made,助詞-副助詞,6
so,so,so,名詞-普通名詞-一般,6
する,スル,suru,動詞-非自立可能,6
その,ソノ,sono,連体詞,5
もう,モー,mou,副詞,5
なく,ナク,naku,形容詞-非自立可能,5
から,カラ,kara,助詞-格助詞,5
なく,ナク,naku,助動詞,5
合格,ゴーカク,goukaku,名詞-普通名詞-サ変可能,5
to,to,to,名詞-普通名詞-一般,5
あ,ア,a,感動詞-一般,5
ぞ,ゾ,zo,助詞-終助詞,5
あぁ,アー,aa,感動詞-一般,5
あの,アノ,ano,感動詞-フィラー,5
あ,,a,補助記号-一般,5
てる,テル,teru,助動詞,5
てん,テン,ten,助動詞,5
これ,コレ,kore,代名詞,5
で,デ,de,助動詞,5
術,ジュツ,jutsu,名詞-普通名詞-一般,4
ある,アル,aru,動詞-非自立可能,4
だっ,ダッ,datsu,助動詞,4
仲間,ナカマ,nakama,名詞-普通名詞-一般,4
C,C,C,名詞-普通名詞-一般,4
ねえ,ネー,nee,助動詞,4
やめろ,ヤメロ,yamero,動詞-一般,4
ルール,ルール,ruuru,名詞-普通名詞-一般,4
うわ,ウワ,uwa,感動詞-一般,4
じゃ,ジャ,ja,助動詞,4
え,エ,e,助詞-終助詞,4
えっ,エッ,etsu,感動詞-一般,4
なんて,ナンテ,nante,助詞-副助詞,4
どう,ドー,dou,副詞,4
さ,サ,sa,助詞-終助詞,4
なる,ナル,naru,動詞-非自立可能,4
あいつ,アイツ,aitsu,代名詞,4
ｲﾙｶ,ｲﾙｶ,iruka,名詞-普通名詞-一般,4
どこ,ドコ,doko,代名詞,4
ここ,ココ,koko,代名詞,4
～,カラ,~,助詞-格助詞,4
ん,ン,n,助詞-格助詞,4
ん,ン,n,感動詞-フィラー,4
ナルト,ナルト,naruto,名詞-固有名詞-人名-名,4
よう,ヨー,you,形状詞-助動詞語幹,3
の,ノ,no,助詞-終助詞,3
さ,サ,sa,動詞-非自立可能,3
こんな,コンナ,konna,連体詞,3
食わ,クワ,kuwa,動詞-一般,3
１人,ヒトリ,1,名詞-普通名詞-副詞可能,3
さっき,サッキ,sakki,名詞-普通名詞-副詞可能,3
読む,ヨム,yomu,動詞-一般,3
試験,シケン,shiken,名詞-普通名詞-サ変可能,3
より,ヨリ,yori,助詞-格助詞,3
わな,ワナ,wana,名詞-普通名詞-一般,3
こいつ,コイツ,koitsu,代名詞,3
２,２,2,名詞-数詞,3
言っ,イッ,itsutsu,動詞-一般,3
やがっ,ヤガッ,yagatsu,助動詞,3
鳴る,ナル,naru,動詞-一般,3
ガキ,ガキ,gaki,名詞-普通名詞-一般,3
言う,イウ,iu,動詞-一般,3
I,I,I,名詞-普通名詞-一般,3
が,ガ,ga,助詞-接続助詞,3
１,１,1,名詞-数詞,3
ばかり,バカリ,bakari,助詞-副助詞,3
けど,ケド,kedo,助詞-接続助詞,3
で,デ,de,助詞-接続助詞,3
wise,wise,wise,名詞-普通名詞-一般,3
男,オトコ,otoko,名詞-普通名詞-一般,3
re,re,re,名詞-普通名詞-一般,3
…｡(,…｡(,…,記号-一般,3
無理,ムリ,muri,名詞-普通名詞-形状詞可能,3
演習,エンシュー,enshuu,名詞-普通名詞-サ変可能,3
A,A,A,名詞-普通名詞-一般,3
｡(,｡(,(,記号-一般,3
おなか,オナカ,onaka,名詞-普通名詞-一般,3
ちょっと,チョット,chotto,副詞,3
ｻｽｹ,ｻｽｹ,sasuke,名詞-普通名詞-一般,3
つ,ツ,tsu,接尾辞-名詞的-助数詞,3
try,try,try,名詞-普通名詞-一般,3
後ろ,ウシロ,ushiro,名詞-普通名詞-一般,3
気,キ,ki,名詞-普通名詞-一般,3
right,right,right,名詞-普通名詞-一般,3
思っ,オモッ,omotsu,動詞-一般,3
班,ハン,han,名詞-普通名詞-一般,3
取れ,トレ,tore,動詞-一般,3
昼,ヒル,hiru,名詞-普通名詞-副詞可能,3
答え,コタエ,kotae,名詞-普通名詞-一般,3
live,live,live,名詞-普通名詞-一般,3
なら,ナラ,nara,動詞-非自立可能,3
あの,アノ,ano,連体詞,3
たって,タッテ,tatte,助詞-接続助詞,3
ため,タメ,tame,名詞-普通名詞-副詞可能,3
確か,タシカ,tashika,形状詞-一般,3
dry,dry,dry,名詞-普通名詞-一般,3
い,イ,i,動詞-非自立可能,3
いう,ユー,iu,動詞-一般,3
たら,タラ,tara,助動詞,3
まっ,マッ,matsu,動詞-一般,3
べし,ベシ,beshi,助動詞,2
できる,デキル,dekiru,動詞-非自立可能,2
まだ,マダ,mada,副詞,2
ほど,ホド,hodo,助詞-副助詞,2
ほどき,ホドキ,hodoki,動詞-一般,2
