surface,reading,romaji,pos,frequency
｡,｡,｡,記号-一般,151
),,),補助記号-括弧閉,111
(,,(,補助記号-括弧開,109
の,ノ,no,助詞-格助詞,85
は,ワ,ha,助詞-係助詞,64
！,,!,補助記号-句点,61
に,ニ,ni,助詞-格助詞,53
♬,,♬,補助記号-一般,53
だ,ダ,da,助動詞,44
た,タ,ta,助動詞,43
て,テ,te,助詞-接続助詞,42
？,,？,補助記号-句点,37
…,,…,補助記号-一般,35
を,オ,wo,助詞-格助詞,35
が,ガ,ga,助詞-格助詞,33
も,モ,mo,助詞-係助詞,31
よ,ヨ,yo,助詞-終助詞,27
～,,~,補助記号-一般,23
し,シ,shi,動詞-非自立可能,23
で,デ,de,助詞-格助詞,22
丸,マル,maru,接尾辞-名詞的-一般,21
ない,ナイ,nai,形容詞-非自立可能,19
と,ト,to,助詞-格助詞,19
の,ノ,no,助詞-準体助詞,18
って,ッテ,tte,助詞-副助詞,18
ば,バ,ba,助詞-接続助詞,16
木,キ,ki,名詞-普通名詞-一般,16
か,カ,ka,助詞-終助詞,16
ノ,ノ,no,助詞-格助詞,16
お前,オマエ,o,代名詞,16
何,ナン,nani,代名詞,15
葉,ハ,ha,名詞-普通名詞-一般,15
俺,オレ,ore,代名詞,13
コレ,コレ,kore,名詞-普通名詞-一般,13
…｡,…｡,…,記号-一般,13
か,カ,ka,助詞-副助詞,12
な,ナ,na,助動詞,12
Right,Right,Right,名詞-普通名詞-一般,12
鮫,サメ,same,名詞-普通名詞-一般,12
ん,ン,n,助詞-準体助詞,11
里,サト,sato,名詞-普通名詞-一般,10
な,ナ,na,助詞-終助詞,10
じゃ,ジャ,ja,助動詞,10
です,デス,desu,助動詞,10
に,ニ,ni,助動詞,10
さん,サン,san,接尾辞-名詞的-一般,10
今,イマ,ima,名詞-普通名詞-副詞可能,10
てる,テル,teru,助動詞,10
で,デ,de,助動詞,9
鈴,スズ,suzu,名詞-普通名詞-一般,9
音,オト,oto,名詞-普通名詞-一般,9
大蛇,オロチ,orochi,名詞-普通名詞-一般,9
まで,マデ,made,助詞-副助詞,9
鬼,オニ,oni,名詞-普通名詞-一般,9
《,,<<,補助記号-括弧開,9
ｶｶｼ,ｶｶｼ,kakashi,名詞-普通名詞-一般,9
お,オ,o,接頭辞,8
度,ド,do,名詞-普通名詞-助数詞可能,8
１,１,1,名詞-数詞,8
紅,クレナイ,kurenai,名詞-普通名詞-一般,8
》,,>>,補助記号-括弧閉,8
から,カラ,kara,助詞-接続助詞,8
ちゃん,チャン,chan,接尾辞-名詞的-一般,8
こと,コト,koto,名詞-普通名詞-一般,8
この,コノ,kono,連体詞,8
自来,ジライ,jirai,名詞-普通名詞-一般,8
何,ナン,nani,名詞-数詞,8
也,ナリ,ya,助動詞,8
ん,ン,n,助詞-格助詞,7
ｱｽﾏ,ｱｽﾏ,asuma,名詞-普通名詞-一般,7
ない,ナイ,nai,助動詞,7
