surface,reading,pos,frequency
！,,補助記号-句点,132
｡,｡,記号-一般,121
),,補助記号-括弧閉,69
(,,補助記号-括弧開,65
は,ワ,助詞-係助詞,64
の,ノ,助詞-格助詞,62
…,,補助記号-一般,59
～,,補助記号-一般,57
♬,,補助記号-一般,54
た,タ,助動詞,53
て,テ,助詞-接続助詞,48
を,オ,助詞-格助詞,46
だ,ダ,助動詞,43
に,ニ,助詞-格助詞,41
ちゃん,チャン,接尾辞-名詞的-一般,37
よ,ヨ,助詞-終助詞,29
が,ガ,助詞-格助詞,28
も,モ,助詞-係助詞,28
ｱﾗｼ,ｱﾗｼ,名詞-普通名詞-一般,23
ば,バ,助詞-接続助詞,23
って,ッテ,助詞-副助詞,21
と,ト,助詞-格助詞,21
？,,補助記号-句点,20
何,ナン,代名詞,20
ナルト,ナルト,名詞-固有名詞-人名-名,19
こと,コト,名詞-普通名詞-一般,18
ん,ン,助詞-準体助詞,18
し,シ,動詞-非自立可能,16
ない,ナイ,助動詞,16
…｡,…｡,記号-一般,16
兄,アニ,名詞-普通名詞-一般,15
僕,ボク,代名詞,15
あっ,アッ,感動詞-一般,14
アラシ,アラシ,名詞-普通名詞-一般,14
いる,イル,動詞-非自立可能,13
で,デ,助詞-格助詞,12
の,ノ,助詞-準体助詞,11
な,ナ,助動詞,11
もう,モー,副詞,11
自来,ジライ,名詞-普通名詞-一般,11
也,ナリ,助動詞,11
サクラ,サクラ,名詞-固有名詞-人名-名,9
に,ニ,助動詞,9
ね,ネ,助詞-終助詞,9
この,コノ,連体詞,9
《,,補助記号-括弧開,9
》,,補助記号-括弧閉,9
私,ワタクシ,代名詞,9
ｻｻﾒ,ｻｻﾒ,名詞-普通名詞-一般,9
お,オ,接頭辞,9
サスケ,サスケ,名詞-固有名詞-人名-名,8
ない,ナイ,形容詞-非自立可能,8
ササメ,ササメ,名詞-普通名詞-一般,8
あ,ア,感動詞-一般,8
サクラ,サクラ,名詞-普通名詞-一般,8
だけ,ダケ,助詞-副助詞,8
ごめん,ゴメン,名詞-普通名詞-一般,7
言っ,イッ,動詞-一般,7
生き,イキ,動詞-一般,7
お前,オマエ,代名詞,7
綱手,ツナデ,名詞-普通名詞-一般,7
君,クン,接尾辞-名詞的-一般,7
なっ,ナッ,動詞-非自立可能,6
のう,ノー,助詞-終助詞,6
てる,テル,助動詞,6
死ん,シン,動詞-一般,6
こっち,コッチ,代名詞,6
から,カラ,助詞-接続助詞,6
俺,オレ,代名詞,6
か,カ,助詞-副助詞,6
う,ウ,感動詞-フィラー,6
う,ウ,感動詞-一般,6
～,カラ,助詞-格助詞,6
昔,ムカシ,名詞-普通名詞-副詞可能,6
でき,デキ,動詞-非自立可能,5
すべて,スベテ,名詞-普通名詞-副詞可能,5
ため,タメ,名詞-普通名詞-副詞可能,5
