surface,reading,romaji,pos,frequency
！,,!,補助記号-句点,116
｡,｡,｡,記号-一般,102
),,),補助記号-括弧閉,93
の,ノ,no,助詞-格助詞,86
(,,(,補助記号-括弧開,84
は,ワ,ha,助詞-係助詞,74
を,オ,wo,助詞-格助詞,70
♬,,♬,補助記号-一般,64
～,,~,補助記号-一般,56
て,テ,te,助詞-接続助詞,53
に,ニ,ni,助詞-格助詞,51
た,タ,ta,助動詞,46
…,,…,補助記号-一般,37
が,ガ,ga,助詞-格助詞,34
ガイ,ガイ,gai,名詞-普通名詞-一般,34
と,ト,to,助詞-格助詞,32
？,,？,補助記号-句点,30
リー,リー,rii,名詞-固有名詞-人名-一般,29
だ,ダ,da,助動詞,29
で,デ,de,助詞-格助詞,26
よ,ヨ,yo,助詞-終助詞,20
…｡,…｡,…,記号-一般,19
ない,ナイ,nai,助動詞,19
ば,バ,ba,助詞-接続助詞,19
も,モ,mo,助詞-係助詞,19
です,デス,desu,助動詞,18
の,ノ,no,助詞-準体助詞,18
し,シ,shi,動詞-非自立可能,17
か,カ,ka,助詞-終助詞,16
な,ナ,na,助動詞,16
ない,ナイ,nai,形容詞-非自立可能,15
先生,センセー,sensei,名詞-普通名詞-一般,15
こと,コト,koto,名詞-普通名詞-一般,14
〈,,<,補助記号-括弧開,14
〉,,>,補助記号-括弧閉,14
木人,モクジン,mokujin,名詞-普通名詞-一般,14
俺,オレ,ore,代名詞,13
将,ショー,shou,名詞-普通名詞-一般,13
幻,マボロシ,maboroshi,名詞-普通名詞-一般,13
ハァ,ハー,haa,感動詞-一般,13
いる,イル,iru,動詞-非自立可能,12
僕,ボク,boku,代名詞,12
って,ッテ,tte,助詞-副助詞,12
ﾃﾝﾃﾝ,ﾃﾝﾃﾝ,tenten,名詞-普通名詞-一般,11
何,ナン,nani,代名詞,11
なら,ナラ,nara,助動詞,11
い,イ,i,動詞-非自立可能,10
から,カラ,kara,助詞-格助詞,10
光,コー,hikari,接尾辞-名詞的-一般,10
術,ジュツ,jutsu,名詞-普通名詞-一般,9
ん,ン,n,助詞-準体助詞,9
ここ,ココ,koko,代名詞,9
か,カ,ka,助詞-副助詞,9
父,チチ,chichi,名詞-普通名詞-一般,9
この,コノ,kono,連体詞,9
お前,オマエ,o,代名詞,9
君,クン,kun,接尾辞-名詞的-一般,8
ヤグラ,ヤグラ,yagura,名詞-普通名詞-一般,8
その,ソノ,sono,連体詞,8
《,,<<,補助記号-括弧開,8
邪,ジャ,ja,名詞-普通名詞-一般,8
あっ,アッ,atsu,感動詞-一般,8
》,,>>,補助記号-括弧閉,8
これ,コレ,kore,代名詞,8
あの,アノ,ano,感動詞-フィラー,7
ネジ,ネジ,neji,名詞-普通名詞-一般,7
ノ,ノ,no,助詞-格助詞,7
木,キ,ki,名詞-普通名詞-一般,7
ます,マス,masu,助動詞,7
上,ジョー,ue,接尾辞-名詞的-副詞可能,7
ら,ラ,ra,接尾辞-名詞的-一般,7
たち,タチ,tachi,接尾辞-名詞的-一般,7
まで,マデ,made,助詞-副助詞,6
で,デ,de,助動詞,6
せ,セ,se,助動詞,6
ね,ネ,ne,助詞-終助詞,6
れ,レ,re,助動詞,6
今,イマ,ima,名詞-普通名詞-副詞可能,6
あの,アノ,ano,連体詞,6
･,･,･,記号-一般,6
時,トキ,toki,名詞-普通名詞-副詞可能,6
私,ワタクシ,watashi,代名詞,6
｡(,｡(,(,記号-一般,6
F,F,F,名詞-普通名詞-一般,6
ある,アル,aru,動詞-非自立可能,6
さん,サン,san,接尾辞-名詞的-一般,5
師匠,シショー,shishou,名詞-普通名詞-一般,5
くっ,クッ,kutsu,感動詞-一般,5
葉,ハ,ha,名詞-普通名詞-一般,5
六角,ロッカク,rokkaku,名詞-普通名詞-一般,5
どう,ドー,dou,副詞,5
でき,デキ,deki,動詞-非自立可能,5
だけ,ダケ,dake,助詞-副助詞,5
たら,タラ,tara,助動詞,5
そう,ソー,sou,副詞,5
｢,｢,｢,記号-一般,5
それ,ソレ,sore,代名詞,5
じゃ,ジャ,ja,助動詞,5
ぞ,ゾ,zo,助詞-終助詞,5
中,ナカ,naka,名詞-普通名詞-副詞可能,5
お,オ,o,接頭辞,5
動き,ウゴキ,ugoki,名詞-普通名詞-一般,5
ナルト,ナルト,naruto,名詞-固有名詞-人名-名,4
な,ナ,na,助詞-終助詞,4
ほど,ホド,hodo,助詞-副助詞,4
熱血,ネッケツ,nekketsu,名詞-普通名詞-一般,4
こんな,コンナ,konna,連体詞,4
相手,アイテ,aite,名詞-普通名詞-一般,4
チャクラ,チャクラ,chakura,名詞-普通名詞-一般,4
に,ニ,ni,助動詞,4
マイト,マイト,maito,名詞-普通名詞-一般,4
院,イン,in,接尾辞-名詞的-一般,4
三,サン,san,名詞-数詞,4
堂,ドー,dou,接尾辞-名詞的-一般,4
龍,リュー,ryuu,名詞-普通名詞-一般,4
て,テ,te,助動詞,4
つもり,ツモリ,tsumori,名詞-普通名詞-一般,4
