surface,reading,pos,frequency
｡,｡,記号-一般,157
の,ノ,助詞-格助詞,90
),,補助記号-括弧閉,82
(,,補助記号-括弧開,76
♬,,補助記号-一般,63
に,ニ,助詞-格助詞,58
は,ワ,助詞-係助詞,54
だ,ダ,助動詞,54
？,,補助記号-句点,52
て,テ,助詞-接続助詞,48
た,タ,助動詞,44
！,,補助記号-句点,39
～,,補助記号-一般,34
し,シ,動詞-非自立可能,33
も,モ,助詞-係助詞,33
を,オ,助詞-格助詞,31
よ,ヨ,助詞-終助詞,30
が,ガ,助詞-格助詞,28
って,ッテ,助詞-副助詞,26
で,デ,助詞-格助詞,25
な,ナ,助詞-終助詞,24
と,ト,助詞-格助詞,24
な,ナ,助動詞,23
ｶﾌﾞﾄ,ｶﾌﾞﾄ,名詞-普通名詞-一般,21
何,ナン,代名詞,21
か,カ,助詞-副助詞,19
…,,補助記号-一般,19
の,ノ,助詞-準体助詞,18
こと,コト,名詞-普通名詞-一般,18
ら,ラ,接尾辞-名詞的-一般,18
に,ニ,助動詞,18
か,カ,助詞-終助詞,17
たち,タチ,接尾辞-名詞的-一般,15
ね,ネ,助詞-終助詞,15
試験,シケン,名詞-普通名詞-サ変可能,14
受験,ジュケン,名詞-普通名詞-サ変可能,14
てる,テル,助動詞,14
',',記号-一般,13
ない,ナイ,形容詞-非自立可能,13
《,,補助記号-括弧開,13
ば,バ,助詞-接続助詞,13
》,,補助記号-括弧閉,13
俺,オレ,代名詞,12
ない,ナイ,助動詞,12
お前,オマエ,代名詞,12
.,,補助記号-句点,12
サスケ,サスケ,名詞-固有名詞-人名-名,12
君,クン,接尾辞-名詞的-一般,12
これ,コレ,代名詞,11
ヤツ,ヤツ,名詞-普通名詞-一般,11
ん,ン,助詞-準体助詞,11
ｶｶｼ,ｶｶｼ,名詞-普通名詞-一般,11
れ,レ,助動詞,10
この,コノ,連体詞,10
情報,ジョーホー,名詞-普通名詞-一般,10
t,t,名詞-普通名詞-一般,10
お,オ,接頭辞,9
バカ,バカ,名詞-普通名詞-形状詞可能,9
音,オト,名詞-普通名詞-一般,9
で,デ,助動詞,9
Don,Don,名詞-普通名詞-一般,9
ナルト,ナルト,名詞-固有名詞-人名-名,9
いる,イル,動詞-非自立可能,8
〉,,補助記号-括弧閉,8
ある,アル,動詞-非自立可能,8
〈,,補助記号-括弧開,8
が,ガ,助詞-接続助詞,8
下忍,ゲニン,名詞-普通名詞-一般,8
言っ,イッ,動詞-一般,8
新人,シンジン,名詞-普通名詞-一般,8
から,カラ,助詞-接続助詞,7
そう,ソー,副詞,7
です,デス,助動詞,7
中忍,チューニン,名詞-普通名詞-一般,7
じゃ,ジャ,助動詞,7
回,カイ,名詞-普通名詞-助数詞可能,7
年,ネン,名詞-普通名詞-助数詞可能,6
