surface,reading,pos,frequency
｡,｡,記号-一般,99
♬,,補助記号-一般,70
に,ニ,助詞-格助詞,52
！,,補助記号-句点,51
だ,ダ,助動詞,50
て,テ,助詞-接続助詞,49
は,ワ,助詞-係助詞,49
～,,補助記号-一般,49
…,,補助記号-一般,42
の,ノ,助詞-格助詞,41
),,補助記号-括弧閉,39
(,,補助記号-括弧開,38
を,オ,助詞-格助詞,35
た,タ,助動詞,33
が,ガ,助詞-格助詞,31
も,モ,助詞-係助詞,31
で,デ,助詞-格助詞,26
と,ト,助詞-格助詞,25
よ,ヨ,助詞-終助詞,24
？,,補助記号-句点,23
何,ナン,代名詞,21
って,ッテ,助詞-副助詞,20
サスケ,サスケ,名詞-固有名詞-人名-名,18
私,ワタクシ,代名詞,17
…｡,…｡,記号-一般,16
ん,ン,助詞-準体助詞,16
左近,サコン,名詞-普通名詞-一般,15
君,クン,接尾辞-名詞的-一般,15
し,シ,動詞-非自立可能,14
に,ニ,助動詞,14
お前,オマエ,代名詞,14
ない,ナイ,助動詞,13
＜,,補助記号-括弧開,12
＞,,補助記号-括弧閉,12
ば,バ,助詞-接続助詞,12
から,カラ,助詞-接続助詞,12
な,ナ,助動詞,12
こと,コト,名詞-普通名詞-一般,11
て,テ,助動詞,11
俺,オレ,代名詞,11
ぜ,ゼ,助詞-終助詞,11
の,ノ,助詞-準体助詞,9
丸,マル,接尾辞-名詞的-一般,9
様,サマ,接尾辞-名詞的-一般,8
ちゃん,チャン,接尾辞-名詞的-一般,8
!,,補助記号-句点,8
それ,ソレ,代名詞,8
?,,補助記号-句点,8
大蛇,オロチ,名詞-普通名詞-一般,7
よう,ヨー,形状詞-助動詞語幹,7
この,コノ,連体詞,7
ねえ,ネー,助動詞,7
だけ,ダケ,助詞-副助詞,7
やっ,ヤッ,動詞-非自立可能,6
ない,ナイ,形容詞-非自立可能,6
ヤマ,ヤマ,名詞-普通名詞-一般,6
ヤツ,ヤツ,名詞-普通名詞-一般,6
ナルト,ナルト,名詞-固有名詞-人名-名,6
あの,アノ,感動詞-フィラー,6
言っ,イッ,動詞-一般,6
か,カ,助詞-終助詞,6
か,カ,助詞-副助詞,6
なっ,ナッ,動詞-非自立可能,6
見える,ミエル,動詞-一般,6
あっ,アッ,感動詞-一般,6
お,オ,接頭辞,6
じゃ,ジャ,助動詞,6
どう,ドー,副詞,6
呪,シュ,名詞-普通名詞-一般,5
なる,ナル,動詞-非自立可能,5
し,シ,助詞-接続助詞,5
今,イマ,名詞-普通名詞-副詞可能,5
ここ,ココ,代名詞,5
てめぇ,テメー,代名詞,5
あぁ,アー,感動詞-一般,5
印,イン,名詞-普通名詞-一般,5
里,サト,名詞-普通名詞-一般,5
なら,ナラ,助動詞,5
ぇ,,補助記号-一般,5
時,トキ,名詞-普通名詞-副詞可能,5
い,イ,動詞-非自立可能,5
音,オト,名詞-普通名詞-一般,4
こんな,コンナ,連体詞,4
れ,レ,助動詞,4
サクラ,サクラ,名詞-普通名詞-一般,4
せ,セ,助動詞,4
《,,補助記号-括弧開,4
》,,補助記号-括弧閉,4
大丈夫,ダイジョーブ,形状詞-一般,4
いる,イル,動詞-非自立可能,4
で,デ,助動詞,4
孤独,コドク,名詞-普通名詞-形状詞可能,4
な,ナ,助詞-終助詞,4
人,ニン,接尾辞-名詞的-一般,4
ね,ネ,助詞-終助詞,4
き,キ,動詞-非自立可能,4
いい,イー,形容詞-非自立可能,4
の,ノ,助詞-終助詞,4
一緒,イッショ,名詞-普通名詞-サ変可能,4
くれ,クレ,動詞-非自立可能,4
道,ミチ,名詞-普通名詞-一般,4
たら,タラ,助動詞,3
絶対,ゼッタイ,名詞-普通名詞-副詞可能,3
やっぱり,ヤッパリ,副詞,3
僕,ボク,代名詞,3
なく,ナク,助動詞,3
たい,タイ,助動詞,3
なら,ナラ,動詞-非自立可能,3
やる,ヤル,動詞-非自立可能,3
なんて,ナンテ,助詞-副助詞,3
ぞ,ゾ,助詞-終助詞,3
行く,イク,動詞-非自立可能,3
なれ,ナレ,動詞-非自立可能,3
日,ヒ,名詞-普通名詞-副詞可能,3
ねえ,ネー,形容詞-非自立可能,3
気,キ,名詞-普通名詞-一般,3
復しゅう,フクシュー,名詞-普通名詞-サ変可能,3
てる,テル,助動詞,3
みてぇ,ミテー,形状詞-助動詞語幹,3
まま,ママ,名詞-普通名詞-副詞可能,3
まで,マデ,助詞-副助詞,3
彼女,カノジョ,代名詞,3
忘れる,ワスレル,動詞-非自立可能,3
目的,モクテキ,名詞-普通名詞-一般,3
どこ,ドコ,代名詞,3
なぁ,ナー,助詞-終助詞,3
また,マタ,副詞,3
ら,ラ,接尾辞-名詞的-一般,3
力,チカラ,名詞-普通名詞-一般,3
さ,サ,動詞-非自立可能,3
～,カラ,助詞-格助詞,3
ﾃｳﾁ,ﾃｳﾁ,名詞-普通名詞-一般,3
する,スル,動詞-非自立可能,3
けど,ケド,助詞-接続助詞,3
‼,,補助記号-一般,3
そう,ソー,副詞,3
あ,,補助記号-一般,3
から,カラ,助詞-格助詞,3
４,４,名詞-数詞,3
骨,ホネ,名詞-普通名詞-一般,2
親,オヤ,名詞-普通名詞-一般,2
状態,ジョータイ,名詞-普通名詞-一般,2
あの,アノ,連体詞,2
くれる,クレル,動詞-非自立可能,2
ウザい,ウザイ,形容詞-一般,2
これ,コレ,代名詞,2
あっ,アッ,動詞-非自立可能,2
あなた,アナタ,代名詞,2
あたし,アタシ,代名詞,2
連弾,レンダン,名詞-普通名詞-サ変可能,2
やがっ,ヤガッ,助動詞,2
連れ,ツレ,動詞-一般,2
な,ナ,記号-一般,2
あいつ,アイツ,代名詞,2
さ,サ,助詞-終助詞,2
どわっ,ドワッ,副詞,2
由也,ヨシヤ,名詞-固有名詞-人名-名,2
シェイク,シェーク,名詞-固有名詞-人名-一般,2
なん,ナン,代名詞,2
一,ヒト,名詞-数詞,2
もっと,モット,副詞,2
幸せ,シアワセ,名詞-普通名詞-形状詞可能,2
まし,マシ,助動詞,2
次郎,ジロー,名詞-固有名詞-人名-名,2
フッ,フッ,副詞,2
ほら,ホラ,感動詞-一般,2
食っ,クッ,動詞-一般,2
フン,フン,名詞-普通名詞-一般,2
食べ,タベ,動詞-一般,2
あんまり,アンマリ,副詞,2
決まっ,キマッ,動詞-一般,2
ひと,ヒト,名詞-普通名詞-一般,2
待ち,マチ,動詞-一般,2
ばあ,バー,名詞-普通名詞-一般,2
おり,オリ,動詞-非自立可能,2
ありがとう,アリガトー,感動詞-一般,2
はっ,ハッ,感動詞-一般,2
いう,ユー,動詞-一般,2
が,ガ,助詞-接続助詞,2
き,キ,記号-一般,2
強,キョー,名詞-普通名詞-一般,2
来い,コイ,動詞-非自立可能,2
さぁ,サー,助詞-終助詞,2
バイ,バイ,名詞-普通名詞-一般,2
覚え,オボエ,動詞-一般,2
ザク,ザク,名詞-固有名詞-一般,2
ため,タメ,名詞-普通名詞-副詞可能,2
坊,ボー,接尾辞-名詞的-一般,2
好き,スキ,形状詞-一般,2
１人,ヒトリ,名詞-普通名詞-副詞可能,2
すりゃ,スリャ,動詞-非自立可能,2
先生,センセー,名詞-普通名詞-一般,2
２人,フタリ,名詞-普通名詞-副詞可能,2
れる,レル,助動詞,2
自分,ジブン,名詞-普通名詞-一般,2
君,キミ,代名詞,2
ず,ズ,助動詞,2
同じ,オナジ,連体詞,2
多,オーノ,名詞-固有名詞-人名-姓,2
わ,ワ,助詞-終助詞,2
たまに,タマニ,副詞,2
カケラ,カケラ,名詞-普通名詞-一般,2
たち,タチ,接尾辞-名詞的-一般,2
カカシ,カカシ,名詞-普通名詞-一般,2
ん,ン,感動詞-一般,2
そんな,ソンナ,連体詞,2
初めて,ハジメテ,副詞,2
ァ,,補助記号-一般,2
そう,ソー,形状詞-助動詞語幹,2
より,ヨリ,助詞-格助詞,2
ハ,ハ,記号-一般,2
す,ス,動詞-非自立可能,2
話,ハナシ,名詞-普通名詞-サ変可能,2
侵食,シンショク,名詞-普通名詞-サ変可能,2
とっ,トッ,動詞-一般,2
想い,オモイ,名詞-普通名詞-一般,2
等,トー,接尾辞-名詞的-一般,2
うん,ウン,感動詞-一般,2
仲間,ナカマ,名詞-普通名詞-一般,2
サクラ,サクラ,名詞-固有名詞-人名-名,2
あ,ア,感動詞-一般,2
足音,アシオト,名詞-普通名詞-一般,2
で,デ,助詞-接続助詞,2
誰,ダレ,代名詞,2
じゃ,ジャ,助詞-格助詞,2
所,トコロ,名詞-普通名詞-副詞可能,1
手伝う,テツダウ,動詞-一般,1
心,ココロ,名詞-普通名詞-サ変可能,1
＞＜,,補助記号-ＡＡ-顔文字,1
意味,イミ,名詞-普通名詞-サ変可能,1
忍者,ニンジャ,名詞-普通名詞-一般,1
悲しみ,カナシミ,名詞-普通名詞-一般,1
急,キュー,名詞-普通名詞-形状詞可能,1
悲しい,カナシー,形容詞-一般,1
愛,アイ,名詞-普通名詞-一般,1
怒っ,オコッ,動詞-一般,1
思い,オモイ,名詞-普通名詞-一般,1
我,ワガ,連体詞,1
戦っ,タタカッ,動詞-一般,1
手,テ,名詞-普通名詞-助数詞可能,1
思おう,オモオー,動詞-一般,1
悪い,ワルイ,形容詞-一般,1
｡(,｡(,記号-一般,1
帰り,カエリ,動詞-一般,1
ｴﾝﾃﾞｨﾝｸﾞﾃｰﾏ,ｴﾝﾃﾞｨﾝｸﾞﾃｰﾏ,名詞-普通名詞-一般,1
ﾄﾞﾚﾐﾌｧｿﾗｼﾄﾞ,ﾄﾞﾚﾐﾌｧｿﾗｼﾄﾞ,名詞-普通名詞-一般,1
大蛇,ダイジャ,名詞-普通名詞-一般,1
ｻｽｹ,ｻｽｹ,名詞-普通名詞-一般,1
大変,タイヘン,形状詞-一般,1
大声,オーゴエ,名詞-普通名詞-一般,1
大事,ダイジ,形状詞-一般,1
夢,ユメ,名詞-普通名詞-一般,1
夜道,ヨミチ,名詞-普通名詞-一般,1
夜中,ヨナカ,名詞-普通名詞-副詞可能,1
場所,バショ,名詞-普通名詞-一般,1
吹き抜ける,フキヌケル,動詞-一般,1
得る,エル,動詞-非自立可能,1
吹き回し,フキマワシ,名詞-普通名詞-一般,1
ﾅﾙﾄ,ﾅﾙﾄ,名詞-普通名詞-一般,1
合っ,アッ,動詞-非自立可能,1
叱ら,シカラ,動詞-一般,1
友達,トモダチ,名詞-普通名詞-一般,1
危険,キケン,名詞-普通名詞-形状詞可能,1
危ねぇ,アブネー,形容詞-一般,1
ﾎﾟｰｽﾞ,ﾎﾟｰｽﾞ,名詞-普通名詞-一般,1
勝利,ショーリ,名詞-普通名詞-サ変可能,1
奏で,カナデ,動詞-一般,1
奏でろ,カナデロ,動詞-一般,1
始まっ,ハジマッ,動詞-一般,1
始まり,ハジマリ,名詞-普通名詞-一般,1
得る,ウル,動詞-非自立可能,1
得,エ,動詞-非自立可能,1
徐々,ジョジョ,名詞-普通名詞-一般,1
後悔,コーカイ,名詞-普通名詞-サ変可能,1
ｵｰﾌﾟﾆﾝｸﾞﾃｰﾏ,ｵｰﾌﾟﾆﾝｸﾞﾃｰﾏ,名詞-普通名詞-一般,1
ｺﾝﾄﾛｰﾙ,ｺﾝﾄﾛｰﾙ,名詞-普通名詞-一般,1
強く,ツヨク,形容詞-一般,1
強い,ツヨイ,形容詞-一般,1
弱,ジャク,接尾辞-名詞的-一般,1
弱,ジャク,名詞-普通名詞-一般,1
廃虚,ハイキョ,名詞-普通名詞-一般,1
平気,ヘーキ,名詞-普通名詞-形状詞可能,1
ｻｸﾗ,ｻｸﾗ,名詞-普通名詞-一般,1
帰っ,カエッ,動詞-一般,1
尽くし,ツクシ,動詞-非自立可能,1
寝ろ,ネロ,動詞-一般,1
家族,カゾク,名詞-普通名詞-一般,1
嫌わ,キラワ,動詞-一般,1
始まる,ハジマル,動詞-一般,1
手応え,テゴタエ,名詞-普通名詞-一般,1
昨日,キノー,名詞-普通名詞-副詞可能,1
打ち捨て,ウチステ,動詞-一般,1
痛い,イタイ,形容詞-一般,1
話し,ハナシ,動詞-一般,1
神,カミ,名詞-普通名詞-一般,1
確か,タシカ,形状詞-一般,1
破れる,ヤブレル,動詞-一般,1
誘い,サソイ,名詞-普通名詞-一般,1
知っ,シッ,動詞-一般,1
相手,アイテ,名詞-普通名詞-一般,1
追っかけ,オッカケ,動詞-一般,1
相,アイ,接頭辞,1
送っ,オクッ,動詞-一般,1
通る,トール,動詞-一般,1
突く,ツク,動詞-一般,1
連れ戻し,ツレモドシ,動詞-一般,1
加減,カゲン,名詞-普通名詞-サ変可能,1
生きる,イキル,動詞-一般,1
遅い,オソイ,形容詞-一般,1
生き,イキ,動詞-一般,1
獅子,シシ,名詞-普通名詞-一般,1
無礼,ブレー,名詞-普通名詞-形状詞可能,1
無理やり,ムリヤリ,副詞,1
溶け合う,トケアウ,動詞-一般,1
違う,チガウ,動詞-一般,1
話さ,ハナサ,動詞-一般,1
童,ワラベ,名詞-普通名詞-一般,1
折れる,オレル,動詞-一般,1
腐る,クサル,動詞-一般,1
行っ,イッ,動詞-非自立可能,1
解放,カイホー,名詞-普通名詞-サ変可能,1
言う,ユー,動詞-一般,1
行か,イカ,動詞-非自立可能,1
言わ,イワ,動詞-一般,1
苦しめる,クルシメル,動詞-一般,1
苦しかっ,クルシカッ,形容詞-一般,1
自由,ジユー,名詞-普通名詞-形状詞可能,1
自来,ジライ,名詞-普通名詞-一般,1
言葉,コトバ,名詞-普通名詞-一般,1
聞か,キカ,動詞-一般,1
笑う,ワラウ,動詞-一般,1
考え,カンガエ,動詞-一般,1
羅,ラ,名詞-普通名詞-一般,1
縛ら,シバラ,動詞-一般,1
綱手,ツナデ,名詞-普通名詞-一般,1
続け,ツズケ,動詞-非自立可能,1
許し,ユルシ,動詞-一般,1
結局,ケッキョク,名詞-普通名詞-副詞可能,1
組,クミ,名詞-普通名詞-助数詞可能,1
終わら,オワラ,動詞-非自立可能,1
糸,イト,名詞-普通名詞-一般,1
野郎,ヤロー,名詞-普通名詞-一般,1
長く,ナガク,形容詞-一般,1
間,アイダ,名詞-普通名詞-副詞可能,1
教え,オシエ,動詞-一般,1
根性,コンジョー,名詞-普通名詞-一般,1
来る,クル,動詞-非自立可能,1
首根,クビネ,名詞-普通名詞-一般,1
来,コ,動詞-非自立可能,1
最高,サイコー,名詞-普通名詞-形状詞可能,1
曲がり,マガリ,名詞-普通名詞-一般,1
明るい,アカルイ,形容詞-一般,1
鬼,オニ,名詞-普通名詞-一般,1
新しい,アタラシー,形容詞-一般,1
散れ,チレ,動詞-一般,1
麺,メン,名詞-普通名詞-一般,1
限ら,カギラ,動詞-一般,1
攻撃,コーゲキ,名詞-普通名詞-サ変可能,1
揺れる,ユレル,動詞-一般,1
麻呂,マロ,代名詞,1
黙っ,ダマッ,動詞-一般,1
１,１,名詞-数詞,1
探そう,サガソー,動詞-一般,1
捨て,ステ,動詞-一般,1
捜し,サガシ,動詞-一般,1
抜け,ヌケ,動詞-非自立可能,1
３,３,名詞-数詞,1
食べよ,タベヨ,動詞-一般,1
楽しかっ,タノシカッ,形容詞-一般,1
楽しく,タノシク,形容詞-一般,1
構う,カマウ,動詞-一般,1
渦,ウズ,名詞-普通名詞-一般,1
涙,ナミダ,名詞-普通名詞-サ変可能,1
響こう,ヒビコー,動詞-一般,1
泣き声,ナキゴエ,名詞-普通名詞-一般,1
