surface,reading,pos,frequency
｡,｡,記号-一般,164
た,タ,助動詞,117
の,ノ,助詞-格助詞,116
),,補助記号-括弧閉,111
(,,補助記号-括弧開,99
に,ニ,助詞-格助詞,94
は,ワ,助詞-係助詞,78
が,ガ,助詞-格助詞,74
て,テ,助詞-接続助詞,73
を,オ,助詞-格助詞,72
だ,ダ,助動詞,69
？,,補助記号-句点,64
も,モ,助詞-係助詞,54
！,,補助記号-句点,51
♬,,補助記号-一般,46
よ,ヨ,助詞-終助詞,41
し,シ,動詞-非自立可能,38
と,ト,助詞-格助詞,37
で,デ,助詞-格助詞,35
ん,ン,助詞-準体助詞,35
の,ノ,助詞-準体助詞,34
…,,補助記号-一般,33
って,ッテ,助詞-副助詞,31
何,ナン,代名詞,29
里,サト,名詞-普通名詞-一般,29
ば,バ,助詞-接続助詞,28
起爆,キバク,名詞-普通名詞-一般,27
札,サツ,名詞-普通名詞-一般,24
ｼｶﾏﾙ,ｼｶﾏﾙ,名詞-普通名詞-一般,23
～,,補助記号-一般,23
こと,コト,名詞-普通名詞-一般,22
か,カ,助詞-副助詞,21
な,ナ,助動詞,20
どう,ドー,副詞,19
…｡,…｡,記号-一般,18
か,カ,助詞-終助詞,17
て,テ,助動詞,17
それ,ソレ,代名詞,16
仕掛け,シカケ,動詞-一般,15
に,ニ,助動詞,15
ノ,ノ,助詞-格助詞,14
木,キ,名詞-普通名詞-一般,14
な,ナ,助詞-終助詞,14
陽炎,カゲロー,名詞-普通名詞-一般,12
ゲン,ゲン,名詞-普通名詞-一般,12
前,マエ,名詞-普通名詞-副詞可能,12
ノウ,ノー,名詞-普通名詞-一般,12
わし,ワシ,代名詞,12
年,ネン,名詞-普通名詞-助数詞可能,12
てる,テル,助動詞,11
ね,ネ,助詞-終助詞,11
葉,ハ,名詞-普通名詞-一般,11
｡(,｡(,記号-一般,11
じゃ,ジャ,助動詞,11
30,30,名詞-数詞,11
〈,,補助記号-括弧開,10
そう,ソー,副詞,10
せ,セ,助動詞,10
ない,ナイ,助動詞,10
ない,ナイ,形容詞-非自立可能,10
綱手,ツナデ,名詞-普通名詞-一般,10
だっ,ダッ,助動詞,10
これ,コレ,代名詞,10
紹介,ショーカイ,名詞-普通名詞-サ変可能,10
状,ジョー,接尾辞-名詞的-一般,10
あっ,アッ,動詞-非自立可能,10
〉,,補助記号-括弧閉,10
生徒,セート,名詞-普通名詞-一般,10
ｹﾞﾝﾉｳ,ｹﾞﾝﾉｳ,名詞-普通名詞-一般,10
ちゃん,チャン,接尾辞-名詞的-一般,9
です,デス,助動詞,9
られ,ラレ,助動詞,9
ねえ,ネー,助動詞,9
たち,タチ,接尾辞-名詞的-一般,9
から,カラ,助詞-接続助詞,9
この,コノ,連体詞,9
あっ,アッ,感動詞-一般,9
ﾁｮｳｼﾞ,ﾁｮｳｼﾞ,名詞-普通名詞-一般,9
いう,ユー,動詞-一般,8
今,イマ,名詞-普通名詞-副詞可能,8
だろう,ダロー,助動詞,8
誰,ダレ,代名詞,8
君,クン,接尾辞-名詞的-一般,8
爆発,バクハツ,名詞-普通名詞-サ変可能,8
が,ガ,助詞-接続助詞,8
い,イ,動詞-非自立可能,8
じゃ,ジャ,助詞-格助詞,8
れ,レ,助動詞,8
もう,モー,副詞,8
けど,ケド,助詞-接続助詞,8
じい,ジー,名詞-普通名詞-一般,8
ここ,ココ,代名詞,8
さ,サ,動詞-非自立可能,8
やっ,ヤッ,動詞-非自立可能,7
その,ソノ,連体詞,7
いる,イル,動詞-非自立可能,7
俺,オレ,代名詞,7
ぞ,ゾ,助詞-終助詞,7
じゃあ,ジャー,助詞-格助詞,6
する,スル,動詞-非自立可能,6
ナルト,ナルト,名詞-固有名詞-人名-名,6
消え,キエ,動詞-一般,6
の,ノ,記号-一般,6
停戦,テーセン,名詞-普通名詞-サ変可能,6
だけ,ダケ,助詞-副助詞,6
昔,ムカシ,名詞-普通名詞-副詞可能,6
い,イ,記号-一般,6
たら,タラ,助動詞,6
言っ,イッ,動詞-一般,5
