surface,reading,pos,frequency
｡,｡,記号-一般,155
！,,補助記号-句点,103
),,補助記号-括弧閉,101
(,,補助記号-括弧開,97
の,ノ,助詞-格助詞,86
だ,ダ,助動詞,73
は,ワ,助詞-係助詞,68
を,オ,助詞-格助詞,57
に,ニ,助詞-格助詞,56
て,テ,助詞-接続助詞,53
た,タ,助動詞,51
ナルト,ナルト,名詞-固有名詞-人名-名,46
～,,補助記号-一般,41
？,,補助記号-句点,41
よ,ヨ,助詞-終助詞,41
ｲﾙｶ,ｲﾙｶ,名詞-普通名詞-一般,38
…,,補助記号-一般,37
♬,,補助記号-一般,34
ん,ン,助詞-準体助詞,33
が,ガ,助詞-格助詞,31
も,モ,助詞-係助詞,30
し,シ,動詞-非自立可能,29
で,デ,助詞-格助詞,25
って,ッテ,助詞-副助詞,23
俺,オレ,代名詞,22
》,,補助記号-括弧閉,21
何,ナン,代名詞,21
な,ナ,助動詞,21
《,,補助記号-括弧開,21
ﾐｽﾞｷ,ﾐｽﾞｷ,名詞-普通名詞-一般,20
お前,オマエ,代名詞,20
イルカ,イルカ,名詞-普通名詞-一般,18
ば,バ,助詞-接続助詞,17
じゃ,ジャ,助動詞,17
火影,ホカゲ,名詞-普通名詞-一般,16
な,ナ,助詞-終助詞,16
こと,コト,名詞-普通名詞-一般,15
術,ジュツ,名詞-普通名詞-一般,15
と,ト,助詞-格助詞,14
先生,センセー,名詞-普通名詞-一般,13
',',記号-一般,13
か,カ,助詞-終助詞,13
これ,コレ,代名詞,12
.,,補助記号-句点,12
里,サト,名詞-普通名詞-一般,12
巻物,マキモノ,名詞-普通名詞-一般,12
ハァ,ハー,感動詞-一般,11
それ,ソレ,代名詞,11
ない,ナイ,形容詞-非自立可能,11
する,スル,動詞-非自立可能,11
忍,オシ,名詞-固有名詞-地名-一般,10
…｡,…｡,記号-一般,10
t,t,名詞-普通名詞-一般,10
その,ソノ,連体詞,10
やっ,ヤッ,動詞-非自立可能,10
Don,Don,名詞-普通名詞-一般,9
認め,ミトメ,動詞-一般,9
ミズキ,ミズキ,名詞-普通名詞-一般,9
封印,フーイン,名詞-普通名詞-サ変可能,9
か,カ,助詞-副助詞,9
の,ノ,助詞-準体助詞,9
この,コノ,連体詞,9
卒業,ソツギョー,名詞-普通名詞-サ変可能,9
さ,サ,助詞-終助詞,8
様,サマ,接尾辞-名詞的-一般,8
あの,アノ,感動詞-フィラー,8
１,１,名詞-数詞,8
て,テ,助動詞,8
から,カラ,助詞-接続助詞,8
れ,レ,助動詞,7
