surface,reading,pos,frequency
｡,｡,記号-一般,161
！,,補助記号-句点,77
の,ノ,助詞-格助詞,63
),,補助記号-括弧閉,60
♬,,補助記号-一般,58
(,,補助記号-括弧開,53
に,ニ,助詞-格助詞,51
だ,ダ,助動詞,50
は,ワ,助詞-係助詞,48
？,,補助記号-句点,46
よ,ヨ,助詞-終助詞,45
…,,補助記号-一般,43
～,,補助記号-一般,41
が,ガ,助詞-格助詞,40
》,,補助記号-括弧閉,38
た,タ,助動詞,36
《,,補助記号-括弧開,33
サスケ,サスケ,名詞-固有名詞-人名-名,32
て,テ,助詞-接続助詞,30
の,ノ,助詞-準体助詞,27
ナルト,ナルト,名詞-固有名詞-人名-名,27
な,ナ,助動詞,24
って,ッテ,助詞-副助詞,24
も,モ,助詞-係助詞,23
で,デ,助詞-格助詞,22
君,クン,接尾辞-名詞的-一般,21
何,ナン,代名詞,21
を,オ,助詞-格助詞,21
と,ト,助詞-格助詞,20
か,カ,助詞-終助詞,20
し,シ,動詞-非自立可能,19
な,ナ,助詞-終助詞,19
ん,ン,助詞-準体助詞,18
班,ハン,名詞-普通名詞-一般,17
俺,オレ,代名詞,17
ば,バ,助詞-接続助詞,16
こと,コト,名詞-普通名詞-一般,15
私,ワタクシ,代名詞,15
ちゃん,チャン,接尾辞-名詞的-一般,14
から,カラ,助詞-接続助詞,13
',',記号-一般,13
お前,オマエ,代名詞,12
.,,補助記号-句点,12
サクラ,サクラ,名詞-普通名詞-一般,12
ｲﾙｶ,ｲﾙｶ,名詞-普通名詞-一般,11
から,カラ,助詞-格助詞,11
か,カ,助詞-副助詞,10
いい,イー,形容詞-非自立可能,10
ない,ナイ,助動詞,10
わ,ワ,助詞-終助詞,10
～｡,～｡,記号-一般,10
t,t,名詞-普通名詞-一般,10
ない,ナイ,形容詞-非自立可能,10
じゃ,ジャ,助動詞,9
Don,Don,名詞-普通名詞-一般,9
ん,ン,感動詞-フィラー,9
～,カラ,助詞-格助詞,9
…｡,…｡,記号-一般,9
に,ニ,助動詞,9
い,イ,記号-一般,8
なる,ナル,動詞-非自立可能,8
なっ,ナッ,動詞-非自立可能,8
さ,サ,助詞-終助詞,8
生徒,セート,名詞-普通名詞-一般,8
えっ,エッ,感動詞-一般,7
ん,ン,助詞-格助詞,7
する,スル,動詞-非自立可能,7
あんた,アンタ,代名詞,7
の,ノ,記号-一般,7
あっ,アッ,感動詞-一般,7
もう,モー,副詞,7
て,テ,助動詞,7
同じ,オナジ,連体詞,7
てる,テル,助動詞,7
だけ,ダケ,助詞-副助詞,7
ハァ,ハー,感動詞-一般,7
ウザい,ウザイ,形容詞-一般,7
サクラ,サクラ,名詞-固有名詞-人名-名,7
so,so,名詞-普通名詞-一般,6
the,the,名詞-普通名詞-一般,6
きょう,キョー,名詞-普通名詞-副詞可能,6
そう,ソー,副詞,6
はぁ,ハー,感動詞-一般,6
たら,タラ,助動詞,6
ね,ネ,助詞-終助詞,6
先生,センセー,名詞-普通名詞-一般,6
こんな,コンナ,連体詞,6
you,you,名詞-普通名詞-一般,6
ん,ン,感動詞-一般,6
の,ノ,助詞-終助詞,6
だっ,ダッ,助動詞,6
｡(,｡(,記号-一般,5
ねえ,ネー,形容詞-非自立可能,5
ヤツ,ヤツ,名詞-普通名詞-一般,5
あたし,アタシ,代名詞,5
もん,モン,名詞-普通名詞-一般,5
あ,,補助記号-一般,5
ｶｶｼ,ｶｶｼ,名詞-普通名詞-一般,5
どう,ドー,副詞,5
クッソ,クッソ,名詞-普通名詞-一般,5
っ,,補助記号-一般,5
to,to,名詞-普通名詞-一般,5
ぞ,ゾ,助詞-終助詞,5
なろ,ナロ,動詞-非自立可能,5
一緒,イッショ,名詞-普通名詞-サ変可能,5
１,１,名詞-数詞,5
しゃ,シャ,記号-一般,4
し,シ,助詞-接続助詞,4
おなか,オナカ,名詞-普通名詞-一般,4
ちょっと,チョット,副詞,4
ず,ズ,助動詞,4
せっかく,セッカク,副詞,4
おはよう,オハヨー,感動詞-一般,4
うち,ウチ,名詞-普通名詞-副詞可能,4
それ,ソレ,代名詞,4
そんな,ソンナ,連体詞,4
たち,タチ,接尾辞-名詞的-一般,4
で,デ,助動詞,4
そう,ソー,形状詞-助動詞語幹,4
やっ,ヤッ,動詞-非自立可能,4
これ,コレ,代名詞,4
よう,ヨー,形状詞-助動詞語幹,4
い,イ,動詞-非自立可能,4
卒業,ソツギョー,名詞-普通名詞-サ変可能,4
次,ツギ,名詞-普通名詞-一般,4
葉,ハ,名詞-普通名詞-一般,4
術,ジュツ,名詞-普通名詞-一般,4
忍者,ニンジャ,名詞-普通名詞-一般,4
ドベ,ドベ,名詞-普通名詞-一般,4
誰,ダレ,代名詞,4
ノ,ノ,助詞-格助詞,4
木,キ,名詞-普通名詞-一般,4
ｼｶﾏﾙ,ｼｶﾏﾙ,名詞-普通名詞-一般,4
痛い,イタイ,形容詞-一般,3
たく,タク,助動詞,3
ごはん,ゴハン,名詞-普通名詞-一般,3
たい,タイ,助動詞,3
ｻｸﾗ,ｻｸﾗ,名詞-普通名詞-一般,3
気,キ,名詞-普通名詞-一般,3
猿飛,サルトビ,名詞-固有名詞-人名-姓,3
隣,トナリ,名詞-普通名詞-一般,3
音,オト,名詞-普通名詞-一般,3
｡《,｡《,記号-一般,3
さ,サ,接尾辞-名詞的-一般,3
親,オヤ,名詞-普通名詞-一般,3
認め,ミトメ,動詞-一般,3
３,３,名詞-数詞,3
１人,ヒトリ,名詞-普通名詞-副詞可能,3
説明,セツメー,名詞-普通名詞-サ変可能,3
組む,クム,動詞-一般,3
なんて,ナンテ,助詞-副助詞,3
心,シン,接尾辞-名詞的-一般,3
デコ,デコ,名詞-普通名詞-一般,3
また,マタ,副詞,3
どこ,ドコ,代名詞,3
まで,マデ,助詞-副助詞,3
もらい,モライ,動詞-非自立可能,3
この,コノ,連体詞,3
です,デス,助動詞,3
できる,デキル,動詞-非自立可能,3
やる,ヤル,動詞-非自立可能,3
れ,レ,助動詞,3
れる,レル,助動詞,3
ったら,ッタラ,助詞-副助詞,3
ため,タメ,名詞-普通名詞-副詞可能,3
バカ,バカ,名詞-普通名詞-形状詞可能,3
フッ,フッ,副詞,3
下る,クダル,動詞-一般,3
丸,マル,接尾辞-名詞的-一般,3
人,ヒト,名詞-普通名詞-一般,3
以上,イジョー,名詞-普通名詞-副詞可能,3
会,カイ,名詞-普通名詞-一般,3
分身,ブンシン,名詞-普通名詞-一般,3
化け,バケ,動詞-一般,3
女,オンナ,名詞-普通名詞-一般,3
影,カゲ,名詞-普通名詞-一般,3
ﾋﾅﾀ,ﾋﾅﾀ,名詞-普通名詞-一般,3
ぇ,,補助記号-一般,3
try,try,名詞-普通名詞-一般,3
いつ,イツ,代名詞,3
I,I,名詞-普通名詞-一般,3
right,right,名詞-普通名詞-一般,3
dry,dry,名詞-普通名詞-一般,3
live,live,名詞-普通名詞-一般,3
き,キ,動詞-非自立可能,3
re,re,名詞-普通名詞-一般,3
wise,wise,名詞-普通名詞-一般,3
お,オ,接頭辞,3
組,クミ,名詞-普通名詞-助数詞可能,2
いる,イル,動詞-非自立可能,2
ある,アル,動詞-非自立可能,2
いく,イク,動詞-非自立可能,2
end,end,名詞-普通名詞-一般,2
胸,ムネ,名詞-普通名詞-一般,2
腹,ハラ,名詞-普通名詞-一般,2
チッ,チッ,副詞,2
down,down,名詞-普通名詞-一般,2
なんか,ナンカ,助詞-副助詞,2
チャーミング,チャーミング,形状詞-一般,2
行こう,イコー,動詞-非自立可能,2
なら,ナラ,助動詞,2
シャイ,シャイ,形状詞-一般,2
でき,デキ,動詞-非自立可能,2
でしょ,デショ,助動詞,2
フン,フン,名詞-普通名詞-一般,2
と,ト,助詞-接続助詞,2
言わ,イワ,動詞-一般,2
とき,トキ,名詞-普通名詞-副詞可能,2
とこ,トコ,名詞-普通名詞-一般,2
フフッ,フフッ,感動詞-一般,2
or,or,名詞-普通名詞-一般,2
んな,ンナ,連体詞,2
うぅ,ウー,感動詞-一般,2
う,ウ,感動詞-フィラー,2
見,ミ,動詞-非自立可能,2
なく,ナク,形容詞-非自立可能,2
広い,ヒロイ,形容詞-一般,2
スマイル,スマイル,名詞-普通名詞-一般,2
一族,イチゾク,名詞-普通名詞-一般,2
思っ,オモッ,動詞-一般,2
大変,タイヘン,形状詞-一般,2
《｢,《｢,記号-一般,2
カカシ,カカシ,名詞-普通名詞-一般,2
オ,オ,接頭辞,2
やっ,ヤッ,助動詞,2
〉,,補助記号-括弧閉,2
やっと,ヤット,副詞,2
〈,,補助記号-括弧開,2
yourselfin,yourselfin,名詞-普通名詞-一般,2
your,your,名詞-普通名詞-一般,2
早く,ハヤク,形容詞-一般,2
わがまま,ワガママ,名詞-普通名詞-形状詞可能,2
わけ,ワケ,名詞-普通名詞-一般,2
will,will,名詞-普通名詞-一般,2
本当,ホントー,名詞-普通名詞-一般,2
ァ,,補助記号-一般,2
あ,ア,感動詞-フィラー,2
あ,ア,感動詞-一般,2
教室,キョーシツ,名詞-普通名詞-一般,2
生,セー,接尾辞-名詞的-一般,2
シカマル,シカマル,名詞-固有名詞-人名-名,2
ほどき,ホドキ,動詞-一般,2
思わ,オモワ,動詞-一般,2
急,キュー,名詞-普通名詞-形状詞可能,2
悪ぃ,ワリー,形容詞-一般,2
コレ,コレ,代名詞,2
coz,coz,名詞-普通名詞-一般,2
キス,キス,名詞-普通名詞-サ変可能,2
cry,cry,名詞-普通名詞-一般,2
あいつ,アイツ,代名詞,2
物音,モノオト,名詞-普通名詞-一般,2
戻る,モドル,動詞-一般,2
準備,ジュンビ,名詞-普通名詞-サ変可能,2
め,メ,接尾辞-名詞的-一般,2
目,メ,名詞-普通名詞-一般,2
うずまき,ウズマキ,名詞-普通名詞-一般,2
んて,ンテ,接続詞,2
