surface,reading,pos,frequency
≪,,補助記号-一般,3
きょう,キョー,名詞-普通名詞-副詞可能,3
さっき,サッキ,名詞-普通名詞-副詞可能,3
ﾃﾝﾃﾝ,ﾃﾝﾃﾝ,名詞-普通名詞-一般,3
絶対,ゼッタイ,名詞-普通名詞-副詞可能,3
自分,ジブン,名詞-普通名詞-一般,3
言っ,イッ,動詞-一般,3
風,カゼ,名詞-普通名詞-一般,2
雨,アメ,名詞-普通名詞-一般,2
サビ,サビ,名詞-普通名詞-一般,2
オカリナ,オカリナ,名詞-普通名詞-一般,2
降っ,フッ,動詞-一般,2
ん,ン,感動詞-一般,2
飛ん,トン,動詞-一般,2
歪ん,ユガン,動詞-一般,2
鍵,カギ,名詞-普通名詞-一般,2
ハァ,ハー,感動詞-一般,2
あ,ア,感動詞-フィラー,2
避難,ヒナン,名詞-普通名詞-サ変可能,2
辺,ヘン,名詞-普通名詞-一般,2
ユラユラ,ユラユラ,副詞,2
身元,ミモト,名詞-普通名詞-一般,2
一緒,イッショ,名詞-普通名詞-サ変可能,2
責任,セキニン,名詞-普通名詞-一般,2
上がっ,アガッ,動詞-一般,2
ノ,ノ,助詞-格助詞,2
い,イ,助詞-終助詞,2
１,１,名詞-数詞,2
やっ,ヤッ,助動詞,2
ﾌｷ,ﾌｷ,名詞-普通名詞-一般,2
ﾅﾙﾄ,ﾅﾙﾄ,名詞-普通名詞-一般,2
まで,マデ,助詞-副助詞,2
みせる,ミセル,動詞-非自立可能,2
みたい,ミタイ,形状詞-助動詞語幹,2
｣,｣,記号-一般,2
もし,モシ,副詞,2
｢,｢,記号-一般,2
もらっ,モラッ,動詞-非自立可能,2
もん,モン,名詞-普通名詞-一般,2
いう,イウ,動詞-一般,2
２,２,名詞-数詞,2
やっと,ヤット,副詞,2
やめろ,ヤメロ,動詞-一般,2
やれ,ヤレ,感動詞-一般,2
やろう,ヤロー,動詞-非自立可能,2
ゆけ,ユケ,動詞-非自立可能,2
よかっ,ヨカッ,形容詞-非自立可能,2
２人,フタリ,名詞-普通名詞-副詞可能,2
ら,ラ,接尾辞-名詞的-一般,2
らしい,ラシー,助動詞,2
誰,ダレ,代名詞,2
中,チュー,接尾辞-名詞的-副詞可能,2
話,ハナシ,名詞-普通名詞-サ変可能,2
今,イマ,名詞-普通名詞-副詞可能,2
仕事,シゴト,名詞-普通名詞-サ変可能,2
寝,ネ,動詞-一般,2
少し,スコシ,副詞,2
岩,イワ,名詞-普通名詞-一般,2
答え,コタエ,名詞-普通名詞-一般,2
帰り,カエリ,名詞-普通名詞-一般,2
笑っ,ワラッ,動詞-一般,2
待ち,マチ,動詞-一般,2
待っ,マッ,動詞-一般,2
