surface,reading,romaji,pos,frequency
｡,｡,｡,記号-一般,115
(,,(,補助記号-括弧開,95
),,),補助記号-括弧閉,95
の,ノ,no,助詞-格助詞,75
♬,,♬,補助記号-一般,62
！,,!,補助記号-句点,52
だ,ダ,da,助動詞,51
に,ニ,ni,助詞-格助詞,48
～,,~,補助記号-一般,47
を,オ,wo,助詞-格助詞,45
た,タ,ta,助動詞,44
が,ガ,ga,助詞-格助詞,43
も,モ,mo,助詞-係助詞,42
《,,<<,補助記号-括弧開,39
》,,>>,補助記号-括弧閉,39
…,,…,補助記号-一般,37
は,ワ,ha,助詞-係助詞,37
？,,？,補助記号-句点,34
て,テ,te,助詞-接続助詞,34
影,カゲ,kage,名詞-普通名詞-一般,33
ﾃﾏﾘ,ﾃﾏﾘ,temari,名詞-普通名詞-一般,29
よ,ヨ,yo,助詞-終助詞,27
の,ノ,no,助詞-準体助詞,22
で,デ,de,助詞-格助詞,22
って,ッテ,tte,助詞-副助詞,18
ハァ,ハー,haa,感動詞-一般,18
何,ナン,nani,代名詞,17
シカマル,シカマル,shikamaru,名詞-固有名詞-人名-名,15
な,ナ,na,助詞-終助詞,15
ｼｶﾏﾙ,ｼｶﾏﾙ,shikamaru,名詞-普通名詞-一般,15
な,ナ,na,助動詞,14
と,ト,to,助詞-格助詞,14
ｱｽﾏ,ｱｽﾏ,asuma,名詞-普通名詞-一般,13
ない,ナイ,nai,形容詞-非自立可能,13
ない,ナイ,nai,助動詞,13
この,コノ,kono,連体詞,12
か,カ,ka,助詞-副助詞,12
て,テ,te,助動詞,12
し,シ,shi,動詞-非自立可能,11
ね,ネ,ne,助詞-終助詞,11
ん,ン,n,助詞-準体助詞,11
こと,コト,koto,名詞-普通名詞-一般,11
試合,シアイ,shiai,名詞-普通名詞-サ変可能,10
か,カ,ka,助詞-終助詞,10
ヤツ,ヤツ,yatsu,名詞-普通名詞-一般,9
いつ,イツ,itsu,代名詞,9
あっ,アッ,atsu,感動詞-一般,9
あいつ,アイツ,aitsu,代名詞,8
いい,イー,ii,形容詞-非自立可能,8
い,イ,i,記号-一般,8
てる,テル,teru,助動詞,8
自分,ジブン,jibun,名詞-普通名詞-一般,8
し,シ,shi,助詞-接続助詞,7
手,テ,te,名詞-普通名詞-助数詞可能,7
ねえ,ネー,nee,助動詞,7
ﾁｮｳｼﾞ,ﾁｮｳｼﾞ,chouji,名詞-普通名詞-一般,7
に,ニ,ni,助動詞,7
もう,モー,mou,副詞,7
の,ノ,no,記号-一般,7
まで,マデ,made,助詞-副助詞,7
ば,バ,ba,助詞-接続助詞,7
けど,ケド,kedo,助詞-接続助詞,6
の,ノ,no,助詞-終助詞,6
なっ,ナッ,natsu,動詞-非自立可能,6
中,ナカ,naka,名詞-普通名詞-副詞可能,6
する,スル,suru,動詞-非自立可能,6
そう,ソー,sou,副詞,6
どう,ドー,dou,副詞,6
フッ,フッ,futsu,副詞,6
で,デ,de,助動詞,6
だっ,ダッ,datsu,助動詞,6
から,カラ,kara,助詞-格助詞,6
!,,!,補助記号-句点,6
あれ,アレ,are,代名詞,6
?,,?,補助記号-句点,6
女,オンナ,onna,名詞-普通名詞-一般,6
じゃ,ジャ,ja,助動詞,5
距離,キョリ,kyori,名詞-普通名詞-一般,5
真似,マネ,mane,名詞-普通名詞-サ変可能,5
限界,ゲンカイ,genkai,名詞-普通名詞-一般,5
穴,アナ,ana,名詞-普通名詞-一般,5
さ,サ,sa,接尾辞-名詞的-一般,5
術,ジュツ,jutsu,名詞-普通名詞-一般,5
戦略,センリャク,senryaku,名詞-普通名詞-一般,5
中,チュー,naka,接尾辞-名詞的-副詞可能,5
やる気,ヤルキ,yaru,名詞-普通名詞-一般,5
と,ト,to,助詞-接続助詞,5
テマリ,テマリ,temari,名詞-普通名詞-一般,5
ん,ン,n,助詞-格助詞,5
〈,,<,補助記号-括弧開,5
会場,カイジョー,kaijou,名詞-普通名詞-一般,5
〉,,>,補助記号-括弧閉,5
･,･,･,記号-一般,5
俺,オレ,ore,代名詞,5
やる,ヤル,yaru,動詞-非自立可能,5
相手,アイテ,aite,名詞-普通名詞-一般,5
から,カラ,kara,助詞-接続助詞,5
攻撃,コーゲキ,kougeki,名詞-普通名詞-サ変可能,5
言っ,イッ,itsutsu,動詞-一般,4
計算,ケーサン,keisan,名詞-普通名詞-サ変可能,4
ぇ,,e,補助記号-一般,4
これ,コレ,kore,代名詞,4
その,ソノ,sono,連体詞,4
ここ,ココ,koko,代名詞,4
よう,ヨー,you,形状詞-助動詞語幹,4
たり,タリ,tari,助詞-副助詞,4
伸ばし,ノバシ,nobashi,動詞-一般,4
わけ,ワケ,wake,名詞-普通名詞-一般,4
今,イマ,ima,名詞-普通名詞-副詞可能,4
なんて,ナンテ,nante,助詞-副助詞,4
で,デ,de,助詞-接続助詞,3
られる,ラレル,rareru,助動詞,3
みんな,ミンナ,minna,名詞-普通名詞-副詞可能,3
サスケ,サスケ,sasuke,名詞-固有名詞-人名-名,3
あの,アノ,ano,感動詞-フィラー,3
ギブ,ギブ,gibu,名詞-普通名詞-一般,3
紅,クレナイ,kurenai,名詞-普通名詞-一般,3
まさか,マサカ,masaka,副詞,3
アップ,アップ,appu,名詞-普通名詞-サ変可能,3
れ,レ,re,助動詞,3
ｹﾞﾝﾏ,ｹﾞﾝﾏ,genma,名詞-普通名詞-一般,3
せ,セ,se,助動詞,3
立ち上がっ,タチアガッ,tachiaga,動詞-一般,3
いか,イカ,ika,動詞-非自立可能,3
ぜ,ゼ,ze,助詞-終助詞,3
形,カタチ,katachi,名詞-普通名詞-一般,3
待っ,マッ,matsu,動詞-一般,3
へ,エ,he,助詞-格助詞,3
切れ者,キレモノ,kire,名詞-普通名詞-一般,3
なぁ,ナー,naa,助詞-終助詞,3
使っ,ツカッ,tsukatsu,動詞-一般,3
が,ガ,ga,助詞-接続助詞,3
めんど,メンド,mendo,名詞-普通名詞-形状詞可能,3
200,200,200,名詞-数詞,3
なんか,ナンカ,nanka,助詞-副助詞,3
むだ,ムダ,muda,名詞-普通名詞-形状詞可能,3
先,サキ,saki,名詞-普通名詞-副詞可能,3
世界,セカイ,sekai,名詞-普通名詞-一般,3
ある,アル,aru,動詞-非自立可能,3
＜,,＜,補助記号-括弧開,3
見,ミ,ken,動詞-非自立可能,3
一,イチ,ichi,名詞-数詞,3
次,ツギ,tsugi,名詞-普通名詞-一般,3
やっ,ヤッ,yatsu,動詞-非自立可能,3
Oh,Oh,Oh,名詞-普通名詞-一般,3
え,エ,e,感動詞-一般,3
あんた,アンタ,anta,代名詞,3
Yeah,Yeah,Yeah,名詞-普通名詞-一般,3
さ,サ,sa,助詞-終助詞,3
気,キ,ki,名詞-普通名詞-一般,3
ねえ,ネー,nee,形容詞-非自立可能,3
＞,,＞,補助記号-括弧閉,3
ナルト,ナルト,naruto,名詞-固有名詞-人名-名,3
あの,アノ,ano,連体詞,3
っ,,tsu,補助記号-一般,3
ほら,ホラ,hora,感動詞-一般,3
だけ,ダケ,dake,助詞-副助詞,3
壁,カベ,kabe,名詞-普通名詞-一般,2
何,ナン,nani,名詞-数詞,2
みたい,ミタイ,mitai,形状詞-助動詞語幹,2
変わっ,カワッ,kawa,動詞-一般,2
まぁ,マー,maa,副詞,2
外側,ソトガワ,sotogawa,名詞-普通名詞-一般,2
落ち,オチ,ochi,動詞-一般,2
度,ド,do,名詞-普通名詞-助数詞可能,2
ほぼ,ホボ,hobo,副詞,2
行っ,イッ,itsu,動詞-非自立可能,2
はず,ハズ,hazu,名詞-普通名詞-一般,2
大事,ダイジ,daiji,形状詞-一般,2
天才,テンサイ,tensai,名詞-普通名詞-一般,2
少し,スコシ,sukoshi,副詞,2
好き,スキ,suki,形状詞-一般,2
将棋,ショーギ,shougi,名詞-普通名詞-一般,2
大した,タイシタ,taishita,連体詞,2
わ,ワ,wa,助詞-終助詞,2
回,カイ,kai,名詞-普通名詞-助数詞可能,2
歓声,カンセー,kansei,名詞-普通名詞-一般,2
チッ,チッ,chitsu,副詞,2
テスト,テスト,tesuto,名詞-普通名詞-サ変可能,2
満々,マンマン,manman,形状詞-タリ,2
分身,ブンシン,bunshin,名詞-普通名詞-一般,2
技,ワザ,waza,名詞-普通名詞-一般,2
パラシュート,パラシュート,parashuuto,名詞-普通名詞-一般,2
歩き,アルキ,aruki,動詞-一般,2
分かっ,ワカッ,waka,動詞-一般,2
出し,ダシ,dashi,動詞-非自立可能,2
楽しみ,タノシミ,tanoshimi,名詞-普通名詞-一般,2
もともと,モトモト,motomoto,副詞,2
上着,ウワギ,uwagi,名詞-普通名詞-一般,2
捕まえる,ツカマエル,tsukama,動詞-一般,2
期待,キタイ,kitai,名詞-普通名詞-サ変可能,2
時間,ジカン,jikan,名詞-普通名詞-助数詞可能,2
時,トキ,toki,名詞-普通名詞-副詞可能,2
以上,イジョー,ijou,名詞-普通名詞-副詞可能,2
伏線,フクセン,fukusen,名詞-普通名詞-一般,2
伸びる,ノビル,nobi,動詞-一般,2
体,カラダ,karada,名詞-普通名詞-一般,2
男,オトコ,otoko,名詞-普通名詞-一般,2
癖,クセ,kuse,名詞-普通名詞-一般,2
目,メ,me,名詞-普通名詞-一般,2
目玉,メダマ,medama,名詞-普通名詞-一般,2
線,セン,sen,接尾辞-名詞的-一般,2
絶対,ゼッタイ,zettai,名詞-普通名詞-副詞可能,2
やさし,ヤサシ,yasashi,形容詞-一般,2
やら,ヤラ,yara,助詞-副助詞,2
忍者,ニンジャ,ninja,名詞-普通名詞-一般,2
悲しみ,カナシミ,kanashimi,名詞-普通名詞-一般,2
戦,セン,sen,接尾辞-名詞的-一般,2
よう,ヨー,you,接尾辞-名詞的-一般,2
よく,ヨク,yoku,副詞,2
らし,ラシ,rashi,接尾辞-形容詞的,2
笑っ,ワラッ,waratsu,動詞-一般,2
作戦,サクセン,sakusen,名詞-普通名詞-一般,2
空,ソラ,sora,名詞-普通名詞-一般,2
力,チカラ,chikara,名詞-普通名詞-一般,2
前,マエ,mae,名詞-普通名詞-副詞可能,2
んな,ンナ,nna,連体詞,2
私,ワタクシ,watashi,代名詞,2
利用,リヨー,riyou,名詞-普通名詞-サ変可能,2
ゲーム,ゲーム,geemu,名詞-普通名詞-一般,2
決まっ,キマッ,kima,動詞-一般,2
はな,ハナ,hana,名詞-固有名詞-一般,2
ぬ,ヌ,nu,助動詞,2
えっ,エッ,etsu,感動詞-一般,2
い,イ,i,動詞-非自立可能,2
ちょっと,チョット,chotto,副詞,2
超,チョー,chou,接頭辞,2
だろ,ダロ,daro,助動詞,2
～,カラ,~,助詞-格助詞,2
ため,タメ,tame,名詞-普通名詞-副詞可能,2
いう,ユー,iu,動詞-一般,2
いく,イク,iku,動詞-非自立可能,2
いや,イヤ,iya,感動詞-一般,2
いる,イル,iru,動詞-非自立可能,2
ＩＱ,アイキュー,I,名詞-普通名詞-一般,2
え,エ,e,感動詞-フィラー,2
それ,ソレ,sore,代名詞,2
そう,ソー,sou,形状詞-助動詞語幹,2
遊び,アソビ,asobi,名詞-普通名詞-一般,2
て,テ,te,助詞-副助詞,2
しん,シン,shin,動詞-一般,2
食べる,タベル,tabe,動詞-一般,2
しろ,シロ,shiro,動詞-非自立可能,2
野郎,ヤロー,yarou,名詞-普通名詞-一般,2
しっかり,シッカリ,shikkari,副詞,2
音,オト,oto,名詞-普通名詞-一般,2
さん,サン,san,接尾辞-名詞的-一般,2
け,ケ,ke,助詞-終助詞,2
さっき,サッキ,sakki,名詞-普通名詞-副詞可能,2
なれ,ナレ,nare,動詞-非自立可能,2
さあ,サー,saa,感動詞-一般,2
さ,サ,sa,接頭辞,2
さ,サ,sa,動詞-非自立可能,2
こら,コラ,kora,感動詞-一般,2
読ん,ヨン,yon,動詞-一般,2
迷い,マヨイ,mayoi,動詞-一般,2
です,デス,desu,助動詞,2
見上げ,ミアゲ,miage,動詞-一般,2
あ,ア,a,感動詞-一般,2
ﾌﾞｰｲﾝｸﾞ,ﾌﾞｰｲﾝｸﾞ,bu゜ingu,名詞-普通名詞-一般,2
あぁ,アー,aa,感動詞-一般,2
とこ,トコ,toko,名詞-普通名詞-一般,2
見せ,ミセ,mise,動詞-非自立可能,2
ｶﾝｸﾛｳ,ｶﾝｸﾛｳ,kankurou,名詞-普通名詞-一般,2
ﾎﾟﾃﾁ,ﾎﾟﾃﾁ,ho,名詞-普通名詞-一般,2
なら,ナラ,nara,助動詞,2
10,10,10,名詞-数詞,2
あ,,a,補助記号-一般,2
ながら,ナガラ,nagara,助詞-接続助詞,2
なるほど,ナルホド,naruhodo,副詞,2
なる,ナル,naru,動詞-非自立可能,2
飛び降り,トビオリ,tobiori,動詞-一般,1
日,ヒ,nichi,名詞-普通名詞-副詞可能,1
頑張っ,ガンバッ,ganbatsu,動詞-一般,1
日,ニチ,nichi,名詞-普通名詞-助数詞可能,1
頑張れ,ガンバレ,ganbare,動詞-一般,1
飛び出,トビデ,tobi,動詞-一般,1
黄瀬,キセ,kise,名詞-固有名詞-人名-姓,1
届か,トドカ,todoka,動詞-一般,1
高,タカ,taka,形容詞-一般,1
駒,コマ,koma,名詞-普通名詞-一般,1
散漫,サンマン,sanman,名詞-普通名詞-形状詞可能,1
ﾅﾚｰｼｮﾝ,ﾅﾚｰｼｮﾝ,nare゜shon,名詞-普通名詞-一般,1
映る,ウツル,utsuru,動詞-一般,1
ﾅﾙﾄ,ﾅﾙﾄ,naruto,名詞-普通名詞-一般,1
帝,ミカド,mikado,名詞-普通名詞-一般,1
敦,アツシ,atsushi,名詞-固有名詞-人名-名,1
鳥もち,トリモチ,tori,名詞-普通名詞-一般,1
待ち,マチ,machi,動詞-一般,1
音,オン,oto,名詞-普通名詞-一般,1
面積,メンセキ,menseki,名詞-普通名詞-一般,1
楽しむ,タノシム,tanoshi,動詞-一般,1
際,サイ,kiwa,名詞-普通名詞-副詞可能,1
隠れ,カクレ,kakure,動詞-一般,1
楽しく,タノシク,tanoshiku,形容詞-一般,1
極め,キワメ,kiwame,動詞-一般,1
隣,トナリ,tonari,名詞-普通名詞-一般,1
離せ,ハナセ,hanase,動詞-一般,1
来,コ,rai,動詞-非自立可能,1
本選,ホンセン,honsen,名詞-普通名詞-一般,1
家,カ,ie,接尾辞-名詞的-一般,1
寝,ネ,ne,動詞-一般,1
雲,クモ,kumo,名詞-普通名詞-一般,1
青峰,セーホー,seihou,名詞-固有名詞-人名-名,1
木,キ,ki,名詞-普通名詞-一般,1
面,メン,men,名詞-普通名詞-助数詞可能,1
最後,サイゴ,saigo,名詞-普通名詞-一般,1
黒鉛,コクエン,kokuen,名詞-普通名詞-一般,1
摺り替え,スリカエ,suri,動詞-一般,1
﻿,﻿,﻿,補助記号-一般,1
接近,セッキン,sekkin,名詞-普通名詞-サ変可能,1
思っ,オモッ,omotsu,動詞-一般,1
成績,セーセキ,seiseki,名詞-普通名詞-一般,1
成功,セーコー,seikou,名詞-普通名詞-サ変可能,1
感じ,カンジ,kanji,名詞-普通名詞-一般,1
ｴﾝﾃﾞｨﾝｸﾞﾃｰﾏ,ｴﾝﾃﾞｨﾝｸﾞﾃｰﾏ,endingute゜ma,名詞-普通名詞-一般,1
意味,イミ,imi,名詞-普通名詞-サ変可能,1
惜,オシ,seki,形容詞-一般,1
彼,カレ,kare,代名詞,1
急ぐ,イソグ,isogu,動詞-一般,1
思考,シコー,shikou,名詞-普通名詞-サ変可能,1
思う,オモウ,omou,動詞-一般,1
掘り進ん,ホリススン,hori,動詞-一般,1
応え,コタエ,kotae,動詞-一般,1
｢,｢,｢,記号-一般,1
忍法,ニンポー,ninpou,名詞-普通名詞-一般,1
征,ススム,sei,名詞-固有名詞-人名-名,1
｣,｣,｣,記号-一般,1
得意,トクイ,tokui,名詞-普通名詞-形状詞可能,1
後ろ,ウシロ,ushiro,名詞-普通名詞-一般,1
待て,マテ,mate,動詞-一般,1
ｲｽﾞﾓ,ｲｽﾞﾓ,izumo,名詞-普通名詞-一般,1
ｺﾃﾂ,ｺﾃﾂ,kotetsu,名詞-普通名詞-一般,1
戦う,タタカウ,tatakau,動詞-一般,1
当たり,アタリ,atari,名詞-普通名詞-一般,1
扇子,センス,sensu,名詞-普通名詞-一般,1
ｱｶﾃﾞﾐｰ,ｱｶﾃﾞﾐｰ,akademi゜,名詞-普通名詞-一般,1
１,１,1,名詞-数詞,1
１人,ヒトリ,1,名詞-普通名詞-副詞可能,1
掘り,ホリ,hori,名詞-普通名詞-一般,1
捕まる,ツカマル,tsukama,動詞-一般,1
５,５,5,名詞-数詞,1
捕まえ,ツカマエ,tsukama,動詞-一般,1
持っ,モッ,motsu,動詞-一般,1
常,ツネ,tsune,名詞-普通名詞-一般,1
年,ネン,nen,名詞-普通名詞-助数詞可能,1
拝借,ハイシャク,haishaku,名詞-普通名詞-サ変可能,1
ﾃﾝﾃﾝ,ﾃﾝﾃﾝ,tenten,名詞-普通名詞-一般,1
広がっ,ヒロガッ,hiroga,動詞-一般,1
ＭＹ,マイ,M,名詞-普通名詞-一般,1
手前,テマエ,temae,名詞-普通名詞-一般,1
Ｓｏ,Ｓｏ,S,名詞-普通名詞-一般,1
隙,スキ,geki,名詞-普通名詞-一般,1
ｍ,ｍ,m,名詞-普通名詞-一般,1
強い,ツヨイ,tsuyoi,形容詞-一般,1
次,ジ,tsugi,接頭辞,1
決める,キメル,kime,動詞-一般,1
陽動,ヨードー,youdou,名詞-普通名詞-一般,1
正体,ショータイ,shoutai,名詞-普通名詞-一般,1
誘導,ユードー,yuudou,名詞-普通名詞-サ変可能,1
縮め,チジメ,chijime,動詞-一般,1
練る,ネル,neru,動詞-一般,1
練っ,ネッ,netsu,動詞-一般,1
線,セン,sen,名詞-普通名詞-一般,1
緑,ミドリ,midori,名詞-普通名詞-一般,1
誰,ダレ,dare,代名詞,1
結構,ケッコー,kekkou,副詞,1
負ける,マケル,make,動詞-一般,1
赤司,アカシ,akashi,名詞-固有名詞-人名-姓,1
組む,クム,kumu,動詞-一般,1
起きる,オキル,oki,動詞-一般,1
終わっ,オワッ,owa,動詞-非自立可能,1
紫原,シハラ,shihara,名詞-固有名詞-人名-姓,1
素敵,ステキ,suteki,形状詞-一般,1
足り,タリ,tari,動詞-一般,1
足元,アシモト,ashimoto,名詞-普通名詞-一般,1
軍師,グンシ,gunshi,名詞-普通名詞-一般,1
簡単,カンタン,kantan,形状詞-一般,1
範囲,ハンイ,han'i,名詞-普通名詞-一般,1
筆記,ヒッキ,hikki,名詞-普通名詞-サ変可能,1
笑顔,エガオ,egao,名詞-普通名詞-一般,1
輝かしい,カガヤカシー,kagayakashii,形容詞-一般,1
誘い込む,サソイコム,sasoi,動詞-一般,1
考え,カンガエ,kangae,動詞-一般,1
誉め,ホメ,home,動詞-一般,1
言わ,イワ,iwa,動詞-一般,1
見え,ミエ,mie,動詞-一般,1
見し,ミシ,mishi,動詞-非自立可能,1
表面,ヒョーメン,hyoumen,名詞-普通名詞-一般,1
子,コ,ko,名詞-普通名詞-一般,1
表,ヒョー,omote,名詞-普通名詞-一般,1
衝突,ショートツ,shoutotsu,名詞-普通名詞-サ変可能,1
見せかけ,ミセカケ,mise,動詞-一般,1
見抜い,ミヌイ,minui,動詞-一般,1
行く,イク,iku,動詞-非自立可能,1
観客,カンキャク,kankyaku,名詞-普通名詞-一般,1
試験,シケン,shiken,名詞-普通名詞-サ変可能,1
詰め,ツメ,tsume,名詞-普通名詞-一般,1
興奮,コーフン,koufun,名詞-普通名詞-サ変可能,1
自由,ジユー,jiyuu,名詞-普通名詞-形状詞可能,1
詰まる,ツマル,tsuma,動詞-一般,1
腕,ウデ,ude,名詞-普通名詞-一般,1
脇役,ワキヤク,wakiyaku,名詞-普通名詞-一般,1
能力,ノーリョク,nouryoku,名詞-普通名詞-一般,1
詰み,ツミ,tsumi,名詞-普通名詞-一般,1
背後,ハイゴ,haigo,名詞-普通名詞-一般,1
聞こえ,キコエ,kiko,動詞-一般,1
詰め,ズメ,tsume,接尾辞-名詞的-一般,1
近づき,チカズキ,chikazu,動詞-一般,1
立てる,タテル,tate,動詞-一般,1
追いかけ,オイカケ,oi,動詞-一般,1
闘牛,トーギュー,tougyuu,名詞-普通名詞-一般,1
現在,ゲンザイ,genzai,名詞-普通名詞-副詞可能,1
班,ハン,han,名詞-普通名詞-一般,1
鉛筆,エンピツ,enpitsu,名詞-普通名詞-一般,1
王手,オーテ,oute,名詞-普通名詞-一般,1
物,モノ,mono,名詞-普通名詞-サ変可能,1
開始,カイシ,kaishi,名詞-普通名詞-サ変可能,1
間,アイダ,kan,名詞-普通名詞-副詞可能,1
