surface,reading,romaji,pos,frequency
｡,｡,｡,記号-一般,134
),,),補助記号-括弧閉,126
(,,(,補助記号-括弧開,120
を,オ,wo,助詞-格助詞,83
の,ノ,no,助詞-格助詞,78
は,ワ,ha,助詞-係助詞,64
♬,,♬,補助記号-一般,58
に,ニ,ni,助詞-格助詞,57
た,タ,ta,助動詞,53
！,,!,補助記号-句点,52
て,テ,te,助詞-接続助詞,47
が,ガ,ga,助詞-格助詞,40
～,,~,補助記号-一般,36
…,,…,補助記号-一般,34
？,,？,補助記号-句点,33
よ,ヨ,yo,助詞-終助詞,28
も,モ,mo,助詞-係助詞,27
星,ホシ,hoshi,名詞-普通名詞-一般,25
で,デ,de,助詞-格助詞,25
だ,ダ,da,助動詞,25
の,ノ,no,助詞-準体助詞,22
ば,バ,ba,助詞-接続助詞,21
し,シ,shi,動詞-非自立可能,21
です,デス,desu,助動詞,21
ﾅﾂﾋ,ﾅﾂﾋ,natsuhi,名詞-普通名詞-一般,20
ネジ,ネジ,neji,名詞-普通名詞-一般,20
ない,ナイ,nai,形容詞-非自立可能,19
な,ナ,na,助動詞,19
こと,コト,koto,名詞-普通名詞-一般,18
って,ッテ,tte,助詞-副助詞,18
《,,<<,補助記号-括弧開,17
修業,シュギョー,shugyou,名詞-普通名詞-サ変可能,17
》,,>>,補助記号-括弧閉,17
と,ト,to,助詞-格助詞,17
マル,マル,maru,名詞-普通名詞-一般,16
ス,ス,su,接頭辞,16
…｡,…｡,…,記号-一般,16
リー,リー,rii,名詞-固有名詞-人名-一般,15
ｱｶﾎｼ,ｱｶﾎｼ,akahoshi,名詞-普通名詞-一般,14
か,カ,ka,助詞-副助詞,14
里,サト,sato,名詞-普通名詞-一般,13
か,カ,ka,助詞-終助詞,12
様,サマ,sama,接尾辞-名詞的-一般,12
何,ナン,nani,代名詞,12
チャクラ,チャクラ,chakura,名詞-普通名詞-一般,11
どう,ドー,dou,副詞,10
その,ソノ,sono,連体詞,10
ﾎｸﾄ,ﾎｸﾄ,hokuto,名詞-普通名詞-一般,10
アカホシ,アカホシ,akahoshi,名詞-普通名詞-一般,10
､,､,､,記号-一般,10
に,ニ,ni,助動詞,9
い,イ,i,動詞-非自立可能,9
ナルト,ナルト,naruto,名詞-固有名詞-人名-名,9
ん,ン,n,助詞-準体助詞,9
今,イマ,ima,名詞-普通名詞-副詞可能,9
ﾃﾝﾃﾝ,ﾃﾝﾃﾝ,tenten,名詞-普通名詞-一般,9
いる,イル,iru,動詞-非自立可能,9
ミ,ミ,mi,接頭辞,8
する,スル,suru,動詞-非自立可能,8
ヅラ,ズラ,zura,名詞-普通名詞-一般,8
俺,オレ,ore,代名詞,8
〉,,>,補助記号-括弧閉,8
忍,シノブ,nin,名詞-固有名詞-人名-名,8
ね,ネ,ne,助詞-終助詞,8
この,コノ,kono,連体詞,8
〈,,<,補助記号-括弧開,8
で,デ,de,助動詞,7
じゃ,ジャ,ja,助動詞,7
いい,イー,ii,形容詞-非自立可能,7
ﾐﾂﾞﾗ,ﾐﾂﾞﾗ,mizura,名詞-普通名詞-一般,7
＞,,＞,補助記号-括弧閉,7
もう,モー,mou,副詞,7
＜,,＜,補助記号-括弧開,7
あの,アノ,ano,感動詞-フィラー,7
そう,ソー,sou,副詞,6
音,オト,oto,名詞-普通名詞-一般,6
ん,ン,n,助動詞,6
ぞ,ゾ,zo,助詞-終助詞,6
お前,オマエ,o,代名詞,6
てる,テル,teru,助動詞,6
たち,タチ,tachi,接尾辞-名詞的-一般,6
えっ,エッ,etsu,感動詞-一般,6
ハァ,ハー,haa,感動詞-一般,6
君,クン,kun,接尾辞-名詞的-一般,6
から,カラ,kara,助詞-格助詞,6
ませ,マセ,mase,助動詞,5
なぜ,ナゼ,naze,副詞,5
!,,!,補助記号-句点,5
よう,ヨー,you,形状詞-助動詞語幹,5
そんな,ソンナ,sonna,連体詞,5
?,,?,補助記号-句点,5
ｽﾏﾙ,ｽﾏﾙ,sumaru,名詞-普通名詞-一般,5
｡(,｡(,(,記号-一般,5
誰,ダレ,dare,代名詞,5
見,ミ,ken,動詞-非自立可能,5
それ,ソレ,sore,代名詞,5
目,メ,me,接尾辞-名詞的-一般,5
あいつ,アイツ,aitsu,代名詞,5
忍,シノブ,nin,名詞-固有名詞-人名-姓,5
ため,タメ,tame,名詞-普通名詞-副詞可能,5
大丈夫,ダイジョーブ,daijoubu,形状詞-一般,5
前,マエ,mae,名詞-普通名詞-副詞可能,5
僕,ボク,boku,代名詞,5
な,ナ,na,助詞-終助詞,5
ナツヒ,ナツヒ,natsuhi,名詞-普通名詞-一般,5
れ,レ,re,助動詞,5
ない,ナイ,nai,助動詞,5
でき,デキ,deki,動詞-非自立可能,4
マスク,マスク,masuku,名詞-普通名詞-一般,4
なら,ナラ,nara,助動詞,4
なる,ナル,naru,動詞-非自立可能,4
ｼｿｳ,ｼｿｳ,shisou,名詞-普通名詞-一般,4
鈴,スズ,suzu,名詞-普通名詞-一般,4
者,モノ,mono,名詞-普通名詞-一般,4
目,メ,me,名詞-普通名詞-一般,4
母,ハハ,haha,名詞-普通名詞-一般,4
忍,オシ,nin,名詞-固有名詞-地名-一般,4
守る,マモル,mamoru,動詞-一般,4
孔雀,クジャク,kujaku,名詞-普通名詞-一般,4
妙法,ミョーホー,myouhou,名詞-普通名詞-一般,4
地獄谷,ジゴクタニ,jigokudani,名詞-固有名詞-人名-姓,4
咆哮,ホーコー,houkou,名詞-普通名詞-サ変可能,4
力,チカラ,chikara,名詞-普通名詞-一般,4
体,カラダ,karada,名詞-普通名詞-一般,4
人,ニン,nin,接尾辞-名詞的-一般,4
われわれ,ワレワレ,wareware,代名詞,4
ら,ラ,ra,接尾辞-名詞的-一般,4
まで,マデ,made,助詞-副助詞,4
ます,マス,masu,助動詞,4
ねえ,ネー,nee,助動詞,4
ず,ズ,zu,助動詞,4
ﾖﾀｶ,ﾖﾀｶ,yotaka,名詞-普通名詞-一般,4
ある,アル,aru,動詞-非自立可能,4
いう,ユー,iu,動詞-一般,4
これ,コレ,kore,代名詞,4
３,３,3,名詞-数詞,3
ノ,ノ,no,助詞-格助詞,3
あっ,アッ,atsu,感動詞-一般,3
獣,ジュー,kemono,接尾辞-名詞的-一般,3
ヒッ,ヒッ,hitsu,感動詞-一般,3
っ,,tsu,補助記号-一般,3
現れ,アラワレ,araware,動詞-一般,3
１人,ヒトリ,1,名詞-普通名詞-副詞可能,3
て,テ,te,助動詞,3
フフフ,フフフ,fufufu,感動詞-一般,3
みんな,ミンナ,minna,名詞-普通名詞-副詞可能,3
テンテン,テンテン,tenten,形状詞-タリ,3
隠れ,カクレ,kakure,名詞-普通名詞-一般,3
分かっ,ワカッ,waka,動詞-一般,3
木,キ,ki,名詞-普通名詞-一般,3
星影,ホシカゲ,hoshikage,名詞-普通名詞-一般,3
苦しい,クルシー,kurushii,形容詞-一般,3
戸,ト,ko,名詞-普通名詞-一般,3
より,ヨリ,yori,助詞-格助詞,3
いや,イヤ,iya,感動詞-一般,3
まだ,マダ,mada,副詞,3
まし,マシ,mashi,助動詞,3
ああ,アー,aa,感動詞-一般,3
くれ,クレ,kure,動詞-非自立可能,3
気,キ,ki,名詞-普通名詞-一般,3
また,マタ,mata,副詞,3
三,サン,san,名詞-数詞,3
まま,ママ,mama,名詞-普通名詞-副詞可能,3
代,ダイ,dai,名詞-普通名詞-助数詞可能,3
手,テ,te,名詞-普通名詞-助数詞可能,3
父,チチ,chichi,名詞-普通名詞-一般,3
共,トモ,tomo,名詞-普通名詞-一般,2
葉,ハ,ha,名詞-普通名詞-一般,2
や,ヤ,ya,助詞-副助詞,2
ほか,ホカ,hoka,名詞-普通名詞-副詞可能,2
新た,アラタ,arata,形状詞-一般,2
やら,ヤラ,yara,助詞-副助詞,2
行く,イク,iku,動詞-非自立可能,2
行け,イケ,ike,動詞-非自立可能,2
術,ジュツ,jutsu,名詞-普通名詞-一般,2
やら,ヤラ,yara,動詞-非自立可能,2
が,ガ,ga,助詞-接続助詞,2
ましょう,マショー,mashou,助動詞,2
もらい,モライ,morai,動詞-非自立可能,2
もの,モノ,mono,名詞-普通名詞-サ変可能,2
分かる,ワカル,waka,動詞-一般,2
きっと,キット,kitto,副詞,2
みる,ミル,miru,動詞-非自立可能,2
