surface,reading,pos,frequency
！,,補助記号-句点,140
),,補助記号-括弧閉,132
(,,補助記号-括弧開,126
｡,｡,記号-一般,77
の,ノ,助詞-格助詞,74
♬,,補助記号-一般,56
は,ワ,助詞-係助詞,51
～,,補助記号-一般,47
て,テ,助詞-接続助詞,42
に,ニ,助詞-格助詞,41
が,ガ,助詞-格助詞,40
を,オ,助詞-格助詞,34
…,,補助記号-一般,32
も,モ,助詞-係助詞,32
だ,ダ,助動詞,30
忍,オシ,名詞-固有名詞-地名-一般,27
？,,補助記号-句点,24
た,タ,助動詞,22
ノ,ノ,助詞-格助詞,20
木,キ,名詞-普通名詞-一般,20
葉,ハ,名詞-普通名詞-一般,19
》,,補助記号-括弧閉,17
ハァ,ハー,感動詞-一般,17
《,,補助記号-括弧開,17
じゃ,ジャ,助動詞,16
と,ト,助詞-格助詞,16
丸,マル,接尾辞-名詞的-一般,15
で,デ,助詞-格助詞,14
猿飛,サルトビ,名詞-固有名詞-人名-姓,12
うわっ,ウワッ,感動詞-一般,12
太,フトシ,名詞-固有名詞-人名-名,12
ｶﾞﾏﾌﾞﾝ,ｶﾞﾏﾌﾞﾝ,名詞-普通名詞-一般,12
お前,オマエ,代名詞,12
か,カ,助詞-終助詞,12
術,ジュツ,名詞-普通名詞-一般,12
Right,Right,名詞-普通名詞-一般,12
ない,ナイ,助動詞,12
里,サト,名詞-普通名詞-一般,11
我,ワガ,連体詞,10
うっ,ウッ,感動詞-一般,10
愛,アイ,名詞-普通名詞-一般,10
羅,ラ,名詞-普通名詞-一般,10
ん,ン,助詞-準体助詞,10
な,ナ,助詞-終助詞,9
し,シ,動詞-非自立可能,9
の,ノ,助詞-準体助詞,9
俺,オレ,代名詞,9
今,イマ,名詞-普通名詞-副詞可能,9
…｡,…｡,記号-一般,9
ない,ナイ,形容詞-非自立可能,9
大蛇,オロチ,名詞-普通名詞-一般,8
忍,シノブ,名詞-固有名詞-人名-名,8
ぬ,ヌ,助動詞,8
度,ド,名詞-普通名詞-助数詞可能,8
何,ナン,名詞-数詞,8
この,コノ,連体詞,8
よ,ヨ,助詞-終助詞,8
まで,マデ,助詞-副助詞,7
い,イ,動詞-非自立可能,7
１,１,名詞-数詞,7
それ,ソレ,代名詞,7
いる,イル,動詞-非自立可能,7
ん,ン,助詞-格助詞,7
行く,イク,動詞-非自立可能,6
な,ナ,助動詞,6
ここ,ココ,代名詞,6
now,now,名詞-普通名詞-一般,6
Fighting,Fighting,名詞-普通名詞-一般,6
３,３,名詞-数詞,6
どう,ドー,副詞,6
Dreamers,Dreamers,名詞-普通名詞-一般,6
たち,タチ,接尾辞-名詞的-一般,6
ぞ,ゾ,助詞-終助詞,6
here,here,名詞-普通名詞-一般,6
Oli,Oli,名詞-普通名詞-一般,6
｡(,｡(,記号-一般,5
これ,コレ,代名詞,5
ｲﾙｶ,ｲﾙｶ,名詞-普通名詞-一般,5
から,カラ,助詞-格助詞,5
か,カ,助詞-副助詞,5
２,２,名詞-数詞,5
敵,テキ,名詞-普通名詞-一般,5
う,ウ,感動詞-フィラー,5
うぅ,ウー,感動詞-一般,5
何,ナン,代名詞,5
私,ワタクシ,代名詞,5
き,キ,動詞-非自立可能,5
三,サン,名詞-数詞,5
うわ,ウワ,感動詞-一般,5
音,オト,名詞-普通名詞-一般,5
忍,シノブ,名詞-固有名詞-人名-姓,4
ず,ズ,助動詞,4
力,チカラ,名詞-普通名詞-一般,4
まだ,マダ,副詞,4
じゃ,ジャ,助詞-格助詞,4
コレ,コレ,名詞-普通名詞-一般,4
わし,ワシ,代名詞,4
です,デス,助動詞,4
だろ,ダロ,助動詞,4
守る,マモル,動詞-一般,4
!,,補助記号-句点,4
う,ウ,感動詞-一般,4
第,ダイ,接頭辞,4
６,６,名詞-数詞,4
‼,,補助記号-一般,4
おう,オー,感動詞-一般,4
漏れる,モレル,動詞-一般,4
あっ,アッ,感動詞-一般,4
段階,ダンカイ,名詞-普通名詞-一般,4
ある,アル,動詞-非自立可能,4
野望,ヤボー,名詞-普通名詞-一般,4
避難,ヒナン,名詞-普通名詞-サ変可能,4
?,,補助記号-句点,4
一,イチ,名詞-数詞,3
一人,ヒトリ,名詞-普通名詞-副詞可能,3
ライナー,ライナー,名詞-普通名詞-一般,3
だけ,ダケ,助詞-副助詞,3
ちゃん,チャン,接尾辞-名詞的-一般,3
代,ダイ,名詞-普通名詞-助数詞可能,3
鳴き声,ナキゴエ,名詞-普通名詞-一般,3
そう,ソー,副詞,3
鶴,ツル,名詞-固有名詞-人名-名,3
チャクラ,チャクラ,名詞-普通名詞-一般,3
あなた,アナタ,代名詞,3
シノ,シノ,名詞-普通名詞-一般,3
で,デ,助動詞,3
あんた,アンタ,代名詞,3
ガキ,ガキ,名詞-普通名詞-一般,3
あぁ,アー,感動詞-一般,3
ぶっ放せ,ブッパナセ,動詞-一般,3
Bang,Bang,名詞-普通名詞-一般,3
Burn,Burn,名詞-普通名詞-一般,3
ﾁｮｳｻﾞ,ﾁｮｳｻﾞ,名詞-普通名詞-一般,3
に,ニ,助動詞,3
Like,Like,名詞-普通名詞-一般,3
もう,モー,副詞,3
やめろ,ヤメロ,動詞-一般,3
など,ナド,助詞-副助詞,3
よう,ヨー,形状詞-助動詞語幹,3
a,a,名詞-普通名詞-一般,3
れる,レル,助動詞,3
～,カラ,助詞-格助詞,3
５,５,名詞-数詞,3
ァ,,補助記号-一般,3
オヤジ,オヤジ,名詞-普通名詞-一般,3
腕,ウデ,名詞-普通名詞-一般,3
あ,ア,感動詞-一般,3
のう,ノー,助詞-終助詞,3
変化,ヘンカ,名詞-普通名詞-サ変可能,3
心,ココロ,名詞-普通名詞-サ変可能,3
目,メ,接尾辞-名詞的-一般,3
吉,キチ,名詞-普通名詞-一般,3
火,ヒ,名詞-普通名詞-一般,3
我慢,ガマン,名詞-普通名詞-サ変可能,3
させ,サセ,助動詞,3
分かっ,ワカッ,動詞-一般,3
子ども,コドモ,名詞-普通名詞-一般,3
排除,ハイジョ,名詞-普通名詞-サ変可能,3
守,マモル,名詞-固有名詞-人名-名,3
影,カゲ,名詞-普通名詞-一般,3
砂,スナ,名詞-普通名詞-一般,3
弾丸,ダンガン,名詞-普通名詞-一般,3
夢,ユメ,名詞-普通名詞-一般,3
状態,ジョータイ,名詞-普通名詞-一般,2
よく,ヨク,副詞,2
照らし,テラシ,動詞-一般,2
れ,レ,助動詞,2
ら,ラ,接尾辞-名詞的-一般,2
･,･,記号-一般,2
ｳﾄﾞﾝ,ｳﾄﾞﾝ,名詞-普通名詞-一般,2
ん,ン,助動詞,2
ｶｶｼ,ｶｶｼ,名詞-普通名詞-一般,2
４,４,名詞-数詞,2
よっしゃ,ヨッシャ,感動詞-一般,2
信じる,シンジル,動詞-一般,2
消え,キエ,動詞-一般,2
早く,ハヤク,形容詞-一般,2
ば,バ,助詞-接続助詞,2
ﾊﾟｯｸﾝ,ﾊﾟｯｸﾝ,名詞-普通名詞-一般,2
最後,サイゴ,名詞-普通名詞-一般,2
ぶった斬っ,ブッタギッ,動詞-一般,2
暗部,アンブ,名詞-普通名詞-一般,2
まさか,マサカ,副詞,2
時間,ジカン,名詞-普通名詞-助数詞可能,2
ﾅﾙﾄ,ﾅﾙﾄ,名詞-普通名詞-一般,2
ｶﾞﾏ,ｶﾞﾏ,名詞-普通名詞-一般,2
残念,ザンネン,形状詞-一般,2
まま,ママ,名詞-普通名詞-副詞可能,2
戦い,タタカイ,動詞-一般,2
やっ,ヤッ,動詞-非自立可能,2
殺さ,コロサ,動詞-一般,2
忍術,ニンジュツ,名詞-普通名詞-一般,2
ゆく,ユク,動詞-非自立可能,2
ん,ン,感動詞-フィラー,2
ガイ,ガイ,名詞-普通名詞-一般,2
目指し,メザシ,動詞-一般,2
人,ヒト,名詞-普通名詞-一般,2
両腕,リョーウデ,名詞-普通名詞-一般,2
霊媒,レーバイ,名詞-普通名詞-一般,2
中,チュー,接尾辞-名詞的-副詞可能,2
中,ナカ,名詞-普通名詞-副詞可能,2
限界,ゲンカイ,名詞-普通名詞-一般,2
長い,ナガイ,形容詞-一般,2
縛り,シバリ,名詞-普通名詞-一般,2
起き,オキ,動詞-一般,2
オラ,オラ,代名詞,2
出す,ダス,動詞-非自立可能,2
先,サキ,名詞-普通名詞-副詞可能,2
以上,イジョー,名詞-普通名詞-副詞可能,2
体,タイ,名詞-普通名詞-助数詞可能,2
見,ミ,動詞-非自立可能,2
僕,ボク,代名詞,2
自分,ジブン,名詞-普通名詞-一般,2
止まら,トマラ,動詞-一般,2
高み,タカミ,名詞-普通名詞-一般,2
結べ,ムスベ,動詞-一般,2
夕顔,ユーガオ,名詞-固有名詞-地名-一般,2
崩し,クズシ,動詞-一般,2
完了,カンリョー,名詞-普通名詞-サ変可能,2
使え,ツカエ,動詞-一般,2
黒丸,クロマル,名詞-普通名詞-一般,2
サクラ,サクラ,名詞-固有名詞-人名-名,2
存在,ソンザイ,名詞-普通名詞-サ変可能,2
ダ,ダ,助動詞,2
チクショ,チクショ,名詞-普通名詞-一般,2
女,オンナ,名詞-普通名詞-一般,2
破れ,ヤブレ,動詞-一般,2
奇襲,キシュー,名詞-普通名詞-サ変可能,2
ハハハ,ハハハ,感動詞-一般,2
秘伝,ヒデン,名詞-普通名詞-一般,2
鳥,トリ,名詞-普通名詞-一般,2
バカ,バカ,名詞-普通名詞-形状詞可能,2
構わ,カマワ,動詞-一般,2
ﾓｴｷﾞ,ﾓｴｷﾞ,名詞-普通名詞-一般,2
いう,ユー,動詞-一般,2
the,the,名詞-普通名詞-一般,2
way,way,名詞-普通名詞-一般,2
あ,,補助記号-一般,2
ただ,タダ,名詞-普通名詞-一般,2
あいつ,アイツ,代名詞,2
なりふり,ナリフリ,名詞-普通名詞-一般,2
さぁ,サー,感動詞-一般,2
あり,アリ,動詞-非自立可能,2
じゃあ,ジャー,助詞-格助詞,2
くらい,クライ,助詞-副助詞,2
かげ,カゲ,名詞-普通名詞-一般,2
ど,ド,接頭辞,2
とる,トル,助動詞,2
いい,イー,形容詞-非自立可能,2
から,カラ,助詞-接続助詞,2
くぜ,クゼ,名詞-固有名詞-人名-姓,2
いえ,イエ,動詞-一般,2
とき,トキ,名詞-普通名詞-副詞可能,2
が,ガ,助詞-接続助詞,2
