surface,reading,romaji,pos,frequency
｡,｡,｡,記号-一般,110
！,,!,補助記号-句点,64
♬,,♬,補助記号-一般,62
は,ワ,ha,助詞-係助詞,62
だ,ダ,da,助動詞,58
),,),補助記号-括弧閉,57
の,ノ,no,助詞-格助詞,56
(,,(,補助記号-括弧開,51
に,ニ,ni,助詞-格助詞,50
た,タ,ta,助動詞,44
も,モ,mo,助詞-係助詞,43
て,テ,te,助詞-接続助詞,43
？,,？,補助記号-句点,42
が,ガ,ga,助詞-格助詞,41
よ,ヨ,yo,助詞-終助詞,40
～,,~,補助記号-一般,39
と,ト,to,助詞-格助詞,30
…,,…,補助記号-一般,28
の,ノ,no,助詞-準体助詞,27
で,デ,de,助詞-格助詞,24
って,ッテ,tte,助詞-副助詞,24
お前,オマエ,o,代名詞,21
し,シ,shi,動詞-非自立可能,21
を,オ,wo,助詞-格助詞,20
俺,オレ,ore,代名詞,19
何,ナン,nani,代名詞,19
ん,ン,n,助詞-準体助詞,19
＜,,＜,補助記号-括弧開,16
＞,,＞,補助記号-括弧閉,16
サスケ,サスケ,sasuke,名詞-固有名詞-人名-名,15
な,ナ,na,助動詞,15
て,テ,te,助動詞,15
ナルト,ナルト,naruto,名詞-固有名詞-人名-名,14
ない,ナイ,nai,助動詞,14
な,ナ,na,助詞-終助詞,13
》,,>>,補助記号-括弧閉,13
か,カ,ka,助詞-副助詞,13
こと,コト,koto,名詞-普通名詞-一般,13
君,クン,kun,接尾辞-名詞的-一般,13
じゃ,ジャ,ja,助動詞,12
いい,イー,ii,形容詞-非自立可能,12
に,ニ,ni,助動詞,12
《,,<<,補助記号-括弧開,12
それ,ソレ,sore,代名詞,11
ば,バ,ba,助詞-接続助詞,11
から,カラ,kara,助詞-接続助詞,10
…｡,…｡,…,記号-一般,9
あっ,アッ,atsu,感動詞-一般,9
ねえ,ネー,nee,形容詞-非自立可能,9
の,ノ,no,助詞-終助詞,8
てる,テル,teru,助動詞,8
よう,ヨー,you,形状詞-助動詞語幹,8
チョウジ,チョージ,chouji,名詞-普通名詞-一般,8
ｼｶﾏﾙ,ｼｶﾏﾙ,shikamaru,名詞-普通名詞-一般,8
見える,ミエル,mie,動詞-一般,7
か,カ,ka,助詞-終助詞,7
ない,ナイ,nai,形容詞-非自立可能,7
綱手,ツナデ,tsunade,名詞-普通名詞-一般,7
わ,ワ,wa,助詞-終助詞,7
今,イマ,ima,名詞-普通名詞-副詞可能,7
い,イ,i,記号-一般,7
する,スル,suru,動詞-非自立可能,7
リー,リー,rii,名詞-固有名詞-人名-一般,7
たい,タイ,tai,助動詞,7
この,コノ,kono,連体詞,6
の,ノ,no,記号-一般,6
から,カラ,kara,助詞-格助詞,6
思っ,オモッ,omotsu,動詞-一般,6
