surface,reading,pos,frequency
｡,｡,記号-一般,178
),,補助記号-括弧閉,122
(,,補助記号-括弧開,112
の,ノ,助詞-格助詞,80
！,,補助記号-句点,78
だ,ダ,助動詞,75
は,ワ,助詞-係助詞,74
に,ニ,助詞-格助詞,66
て,テ,助詞-接続助詞,64
？,,補助記号-句点,64
♬,,補助記号-一般,57
た,タ,助動詞,46
を,オ,助詞-格助詞,43
…,,補助記号-一般,42
～,,補助記号-一般,41
試験,シケン,名詞-普通名詞-サ変可能,34
よ,ヨ,助詞-終助詞,34
も,モ,助詞-係助詞,34
忍,オシ,名詞-固有名詞-地名-一般,33
と,ト,助詞-格助詞,29
し,シ,動詞-非自立可能,29
中忍,チューニン,名詞-普通名詞-一般,29
な,ナ,助詞-終助詞,28
って,ッテ,助詞-副助詞,27
ん,ン,助詞-準体助詞,27
》,,補助記号-括弧閉,24
な,ナ,助動詞,23
《,,補助記号-括弧開,23
か,カ,助詞-終助詞,22
が,ガ,助詞-格助詞,22
何,ナン,代名詞,22
サスケ,サスケ,名詞-固有名詞-人名-名,19
ば,バ,助詞-接続助詞,19
俺,オレ,代名詞,19
の,ノ,助詞-準体助詞,18
ない,ナイ,形容詞-非自立可能,18
たち,タチ,接尾辞-名詞的-一般,18
１,１,名詞-数詞,17
か,カ,助詞-副助詞,17
で,デ,助詞-格助詞,16
お前,オマエ,代名詞,16
君,クン,接尾辞-名詞的-一般,15
ノ,ノ,助詞-格助詞,15
木,キ,名詞-普通名詞-一般,15
どう,ドー,副詞,14
ない,ナイ,助動詞,14
葉,ハ,名詞-普通名詞-一般,14
',',記号-一般,13
こと,コト,名詞-普通名詞-一般,13
に,ニ,助動詞,12
この,コノ,連体詞,12
じゃ,ジャ,助動詞,12
.,,補助記号-句点,12
丸,マル,接尾辞-名詞的-一般,12
ｶｶｼ,ｶｶｼ,名詞-普通名詞-一般,11
…｡,…｡,記号-一般,11
２,２,名詞-数詞,11
あっ,アッ,感動詞-一般,10
ね,ネ,助詞-終助詞,10
リー,リー,名詞-固有名詞-人名-一般,10
３,３,名詞-数詞,10
t,t,名詞-普通名詞-一般,10
Don,Don,名詞-普通名詞-一般,9
ちゃん,チャン,接尾辞-名詞的-一般,9
です,デス,助動詞,9
わ,ワ,助詞-終助詞,8
猿飛,サルトビ,名詞-固有名詞-人名-姓,8
が,ガ,助詞-接続助詞,8
いる,イル,動詞-非自立可能,8
ナルト,ナルト,名詞-固有名詞-人名-名,8
カカシ,カカシ,名詞-普通名詞-一般,8
あなた,アナタ,代名詞,8
から,カラ,助詞-接続助詞,7
お,オ,接頭辞,7
あ,ア,感動詞-一般,7
こいつ,コイツ,代名詞,7
あの,アノ,感動詞-フィラー,7
!,,補助記号-句点,7
する,スル,動詞-非自立可能,7
名,ナ,名詞-普通名詞-一般,7
?,,補助記号-句点,7
