surface,reading,pos,frequency
｡,｡,記号-一般,96
！,,補助記号-句点,73
♬,,補助記号-一般,55
),,補助記号-括弧閉,50
て,テ,助詞-接続助詞,49
(,,補助記号-括弧開,49
は,ワ,助詞-係助詞,45
が,ガ,助詞-格助詞,34
の,ノ,助詞-格助詞,33
…,,補助記号-一般,31
を,オ,助詞-格助詞,31
》,,補助記号-括弧閉,27
《,,補助記号-括弧開,26
？,,補助記号-句点,26
～,,補助記号-一般,25
た,タ,助動詞,24
だ,ダ,助動詞,24
忍,シノブ,名詞-固有名詞-人名-名,23
に,ニ,助詞-格助詞,22
よ,ヨ,助詞-終助詞,20
ナルト,ナルト,名詞-固有名詞-人名-名,19
サスケ,サスケ,名詞-固有名詞-人名-名,15
君,クン,接尾辞-名詞的-一般,15
ハァ,ハー,感動詞-一般,15
あっ,アッ,感動詞-一般,14
この,コノ,連体詞,13
し,シ,動詞-非自立可能,13
と,ト,助詞-格助詞,13
で,デ,助詞-格助詞,12
ね,ネ,助詞-終助詞,12
も,モ,助詞-係助詞,12
ない,ナイ,形容詞-非自立可能,11
どう,ドー,副詞,11
…｡,…｡,記号-一般,11
わ,ワ,助詞-終助詞,10
何,ナン,代名詞,10
の,ノ,助詞-準体助詞,10
って,ッテ,助詞-副助詞,10
な,ナ,助詞-終助詞,10
じゃ,ジャ,助動詞,9
か,カ,助詞-副助詞,9
な,ナ,助動詞,9
ん,ン,助詞-準体助詞,8
から,カラ,助詞-接続助詞,8
する,スル,動詞-非自立可能,8
に,ニ,助動詞,8
ｱﾝｺ,ｱﾝｺ,名詞-普通名詞-一般,8
ば,バ,助詞-接続助詞,8
か,カ,助詞-終助詞,7
!,,補助記号-句点,7
いい,イー,形容詞-非自立可能,7
?,,補助記号-句点,7
俺,オレ,代名詞,7
うわ,ウワ,感動詞-一般,7
こいつ,コイツ,代名詞,6
が,ガ,助詞-接続助詞,6
こと,コト,名詞-普通名詞-一般,6
てる,テル,助動詞,6
なっ,ナッ,動詞-非自立可能,6
で,デ,助動詞,6
ねえ,ネー,形容詞-非自立可能,5
ない,ナイ,助動詞,5
合言葉,アイコトバ,名詞-普通名詞-一般,5
巻物,マキモノ,名詞-普通名詞-一般,5
３,３,名詞-数詞,5
､,､,記号-一般,5
