surface,reading,pos,frequency
),,補助記号-括弧閉,145
(,,補助記号-括弧開,145
！,,補助記号-句点,124
｡,｡,記号-一般,93
の,ノ,助詞-格助詞,83
♬,,補助記号-一般,70
だ,ダ,助動詞,65
…,,補助記号-一般,50
て,テ,助詞-接続助詞,49
は,ワ,助詞-係助詞,48
キバ,キバ,名詞-固有名詞-一般,48
～,,補助記号-一般,45
赤丸,アカマル,名詞-普通名詞-一般,44
た,タ,助動詞,41
を,オ,助詞-格助詞,40
に,ニ,助詞-格助詞,39
が,ガ,助詞-格助詞,37
＞,,補助記号-括弧閉,33
＜,,補助記号-括弧開,33
《,,補助記号-括弧開,32
》,,補助記号-括弧閉,32
で,デ,助詞-格助詞,29
と,ト,助詞-格助詞,26
？,,補助記号-句点,25
左近,サコン,名詞-普通名詞-一般,23
も,モ,助詞-係助詞,21
ほえ声,ホエゴエ,名詞-普通名詞-一般,21
俺,オレ,代名詞,18
君,キミ,代名詞,17
よ,ヨ,助詞-終助詞,16
の,ノ,助詞-準体助詞,16
何,ナン,代名詞,15
音,オト,名詞-普通名詞-一般,13
か,カ,助詞-終助詞,13
右近,ウコン,名詞-普通名詞-一般,13
牙,キバ,名詞-普通名詞-一般,13
ぜ,ゼ,助詞-終助詞,12
うわっ,ウワッ,感動詞-一般,11
あっ,アッ,感動詞-一般,11
ん,ン,助詞-準体助詞,11
に,ニ,助動詞,11
って,ッテ,助詞-副助詞,10
し,シ,動詞-非自立可能,10
な,ナ,助動詞,10
てる,テル,助動詞,10
!,,補助記号-句点,10
うっ,ウッ,感動詞-一般,10
?,,補助記号-句点,10
僕,ボク,代名詞,9
いい,イー,形容詞-非自立可能,9
な,ナ,助詞-終助詞,9
お前,オマエ,代名詞,9
ば,バ,助詞-接続助詞,9
やる,ヤル,動詞-非自立可能,8
だけ,ダケ,助詞-副助詞,8
じゃ,ジャ,助動詞,8
この,コノ,連体詞,8
ｼｶﾏﾙ,ｼｶﾏﾙ,名詞-普通名詞-一般,8
まで,マデ,助詞-副助詞,7
する,スル,動詞-非自立可能,7
から,カラ,助詞-格助詞,7
これ,コレ,代名詞,7
ねえ,ネー,形容詞-非自立可能,7
はじめて,ハジメテ,副詞,7
笛,フエ,名詞-普通名詞-一般,7
鳴き声,ナキゴエ,名詞-普通名詞-一般,7
･,･,記号-一般,6
できる,デキル,動詞-非自立可能,6
どう,ドー,副詞,6
それ,ソレ,代名詞,6
か,カ,助詞-副助詞,6
て,テ,助動詞,6
こと,コト,名詞-普通名詞-一般,6
が,ガ,助詞-接続助詞,6
から,カラ,助詞-接続助詞,5
ここ,ココ,代名詞,5
