surface,reading,romaji,pos,frequency
！,,!,補助記号-句点,121
｡,｡,｡,記号-一般,108
の,ノ,no,助詞-格助詞,96
),,),補助記号-括弧閉,88
(,,(,補助記号-括弧開,83
は,ワ,ha,助詞-係助詞,83
を,オ,wo,助詞-格助詞,78
に,ニ,ni,助詞-格助詞,66
て,テ,te,助詞-接続助詞,66
♬,,♬,補助記号-一般,60
だ,ダ,da,助動詞,59
た,タ,ta,助動詞,51
～,,~,補助記号-一般,46
…,,…,補助記号-一般,45
が,ガ,ga,助詞-格助詞,44
？,,？,補助記号-句点,34
里,サト,sato,名詞-普通名詞-一般,30
星,ホシ,hoshi,名詞-普通名詞-一般,28
も,モ,mo,助詞-係助詞,26
の,ノ,no,助詞-準体助詞,26
で,デ,de,助詞-格助詞,26
よ,ヨ,yo,助詞-終助詞,25
アカホシ,アカホシ,akahoshi,名詞-普通名詞-一般,24
って,ッテ,tte,助詞-副助詞,23
俺,オレ,ore,代名詞,22
ば,バ,ba,助詞-接続助詞,22
し,シ,shi,動詞-非自立可能,20
な,ナ,na,助動詞,20
何,ナン,nani,代名詞,18
忍,オシ,nin,名詞-固有名詞-地名-一般,18
と,ト,to,助詞-格助詞,17
か,カ,ka,助詞-終助詞,17
たち,タチ,tachi,接尾辞-名詞的-一般,15
ない,ナイ,nai,形容詞-非自立可能,15
お前,オマエ,o,代名詞,15
＜,,＜,補助記号-括弧開,14
うっ,ウッ,utsu,感動詞-一般,13
ら,ラ,ra,接尾辞-名詞的-一般,13
＞,,＞,補助記号-括弧閉,13
…｡,…｡,…,記号-一般,13
様,サマ,sama,接尾辞-名詞的-一般,13
ｱｶﾎｼ,ｱｶﾎｼ,akahoshi,名詞-普通名詞-一般,12
な,ナ,na,助詞-終助詞,11
ない,ナイ,nai,助動詞,11
〈,,<,補助記号-括弧開,10
､,､,､,記号-一般,10
こと,コト,koto,名詞-普通名詞-一般,10
これ,コレ,kore,代名詞,10
〉,,>,補助記号-括弧閉,10
いる,イル,iru,動詞-非自立可能,9
僕,ボク,boku,代名詞,9
に,ニ,ni,助動詞,9
今,イマ,ima,名詞-普通名詞-副詞可能,9
マル,マル,maru,名詞-普通名詞-一般,9
そう,ソー,sou,副詞,9
ス,ス,su,接頭辞,9
ぞ,ゾ,zo,助詞-終助詞,9
ん,ン,n,助詞-準体助詞,9
みんな,ミンナ,minna,名詞-普通名詞-副詞可能,9
母,ハハ,haha,名詞-普通名詞-一般,9
見,ミ,ken,動詞-非自立可能,8
綱手,ツナデ,tsunade,名詞-普通名詞-一般,8
修業,シュギョー,shugyou,名詞-普通名詞-サ変可能,7
力,チカラ,chikara,名詞-普通名詞-一般,7
ネジ,ネジ,neji,名詞-普通名詞-一般,7
なる,ナル,naru,動詞-非自立可能,7
スマル,スマル,sumaru,名詞-普通名詞-一般,7
ぬ,ヌ,nu,助動詞,7
!,,!,補助記号-句点,7
?,,?,補助記号-句点,7
目,メ,me,接尾辞-名詞的-一般,7
ある,アル,aru,動詞-非自立可能,7
その,ソノ,sono,連体詞,6
それ,ソレ,sore,代名詞,6
星影,ホシカゲ,hoshikage,名詞-普通名詞-一般,6
か,カ,ka,助詞-副助詞,6
あの,アノ,ano,感動詞-フィラー,6
ヅラ,ズラ,zura,名詞-普通名詞-一般,6
ｽﾏﾙ,ｽﾏﾙ,sumaru,名詞-普通名詞-一般,6
ハハハハ,ハハハハ,hahahaha,感動詞-一般,6
ヤツ,ヤツ,yatsu,名詞-普通名詞-一般,6
ﾎｸﾄ,ﾎｸﾄ,hokuto,名詞-普通名詞-一般,6
ミ,ミ,mi,接頭辞,6
３,３,3,名詞-数詞,6
い,イ,i,動詞-非自立可能,6
で,デ,de,助動詞,6
する,スル,suru,動詞-非自立可能,5
ホクト,ホクト,hokuto,名詞-普通名詞-一般,5
この,コノ,kono,連体詞,5
まし,マシ,mashi,助動詞,5
忍,シノブ,nin,名詞-固有名詞-人名-名,5
｡(,｡(,(,記号-一般,5
１,１,1,名詞-数詞,5
チャクラ,チャクラ,chakura,名詞-普通名詞-一般,5
ます,マス,masu,助動詞,5
ナルト,ナルト,naruto,名詞-固有名詞-人名-名,5
代,ダイ,dai,名詞-普通名詞-助数詞可能,5
など,ナド,nado,助詞-副助詞,5
われ,ワレ,ware,代名詞,5
うわ,ウワ,uwa,感動詞-一般,5
から,カラ,kara,助詞-接続助詞,5
ん,ン,n,助動詞,5
お,オ,o,接頭辞,5
負け,マケ,make,動詞-一般,4
死,シ,shi,名詞-普通名詞-一般,4
じゃ,ジャ,ja,助動詞,4
努力,ドリョク,doryoku,名詞-普通名詞-サ変可能,4
いう,ユー,iu,動詞-一般,4
あぁ,アー,aa,感動詞-一般,4
だけ,ダケ,dake,助詞-副助詞,4
中,ナカ,naka,名詞-普通名詞-副詞可能,4
もの,モノ,mono,名詞-普通名詞-サ変可能,4
あれ,アレ,are,代名詞,4
なっ,ナッ,natsu,動詞-非自立可能,4
《,,<<,補助記号-括弧開,4
先,サキ,saki,名詞-普通名詞-副詞可能,4
です,デス,desu,助動詞,4
だっ,ダッ,datsu,助動詞,4
もう,モー,mou,副詞,4
三,サン,san,名詞-数詞,4
フッ,フッ,futsu,副詞,4
まだ,マダ,mada,副詞,4
手,テ,te,名詞-普通名詞-助数詞可能,4
ｼｿｳ,ｼｿｳ,shisou,名詞-普通名詞-一般,4
》,,>>,補助記号-括弧閉,4
ｼｽﾞﾈ,ｼｽﾞﾈ,shizune,名詞-普通名詞-一般,4
ﾅﾂﾋ,ﾅﾂﾋ,natsuhi,名詞-普通名詞-一般,4
たら,タラ,tara,助動詞,4
者,モノ,mono,名詞-普通名詞-一般,4
待て,マテ,mate,動詞-一般,4
なかっ,ナカッ,nakatsu,助動詞,4
あ,ア,a,感動詞-フィラー,4
やり,ヤリ,yari,動詞-非自立可能,4
どう,ドー,dou,副詞,4
ちゃん,チャン,chan,接尾辞-名詞的-一般,4
あ,,a,補助記号-一般,3
じゃ,ジャ,ja,助詞-格助詞,3
事件,ジケン,jiken,名詞-普通名詞-一般,3
キバ,キバ,kiba,名詞-固有名詞-一般,3
人,ニン,nin,接尾辞-名詞的-一般,3
野郎,ヤロー,yarou,名詞-普通名詞-一般,3
あり,アリ,ari,動詞-非自立可能,3
皆,ミナ,mina,名詞-普通名詞-副詞可能,3
せ,セ,se,助動詞,3
てる,テル,teru,助動詞,3
つもり,ツモリ,tsumori,名詞-普通名詞-一般,3
わ,ワ,wa,助詞-終助詞,3
あれ,アレ,are,動詞-非自立可能,3
本当,ホントー,hontou,名詞-普通名詞-一般,3
我慢,ガマン,gaman,名詞-普通名詞-サ変可能,3
き,キ,ki,動詞-非自立可能,3
者,シャ,mono,接尾辞-名詞的-一般,3
が,ガ,ga,助詞-接続助詞,3
から,カラ,kara,助詞-格助詞,3
私,ワタクシ,watashi,代名詞,3
おさ,オサ,osa,名詞-普通名詞-一般,3
忍者,ニンジャ,ninja,名詞-普通名詞-一般,3
ねえ,ネー,nee,助動詞,3
様子,ヨース,yousu,名詞-普通名詞-一般,3
おい,オイ,oi,感動詞-一般,3
気持ち,キモチ,kimochi,名詞-普通名詞-一般,3
ﾐﾂﾞﾗ,ﾐﾂﾞﾗ,mizura,名詞-普通名詞-一般,3
生き,イキ,iki,動詞-一般,3
以上,イジョー,ijou,名詞-普通名詞-副詞可能,3
思う,オモウ,omou,動詞-一般,3
子ども,コドモ,kodomo,名詞-普通名詞-一般,3
しまっ,シマッ,shimatsu,動詞-非自立可能,3
子,コ,ko,名詞-普通名詞-一般,3
変,ヘン,hen,名詞-普通名詞-形状詞可能,3
任務,ニンム,ninmu,名詞-普通名詞-一般,3
言う,イウ,iu,動詞-一般,3
で,デ,de,助詞-接続助詞,3
言っ,イッ,itsutsu,動詞-一般,3
全員,ゼンイン,zen'in,名詞-普通名詞-副詞可能,3
られ,ラレ,rare,助動詞,3
さ,サ,sa,動詞-非自立可能,3
へ,エ,he,助詞-格助詞,2
より,ヨリ,yori,助詞-格助詞,2
ね,ネ,ne,助詞-終助詞,2
やっ,ヤッ,yatsu,動詞-非自立可能,2
鼓動,コドー,kodou,名詞-普通名詞-サ変可能,2
やっと,ヤット,yatto,副詞,2
よかっ,ヨカッ,yokatsu,形容詞-非自立可能,2
よう,ヨー,you,形状詞-助動詞語幹,2
＞＜,,＞,補助記号-ＡＡ-顔文字,2
ﾃﾝﾃﾝ,ﾃﾝﾃﾝ,tenten,名詞-普通名詞-一般,2
まま,ママ,mama,名詞-普通名詞-副詞可能,2
の,ノ,no,助詞-終助詞,2
まで,マデ,made,助詞-副助詞,2
ませ,マセ,mase,助動詞,2
やる,ヤル,yaru,動詞-非自立可能,2
２,２,2,名詞-数詞,2
目,メ,me,名詞-普通名詞-一般,2
われわれ,ワレワレ,wareware,代名詞,2
飛び出し,トビダシ,tobidashi,動詞-一般,2
君,クン,kun,接尾辞-名詞的-一般,2
咆哮,ホーコー,houkou,名詞-普通名詞-サ変可能,2
夢,ユメ,yume,名詞-普通名詞-一般,2
守る,マモル,mamoru,動詞-一般,2
年,ネン,nen,名詞-普通名詞-助数詞可能,2
心,ココロ,kokoro,名詞-普通名詞-サ変可能,2
忘れ,ワスレ,wasure,動詞-非自立可能,2
思い,オモイ,omoi,名詞-普通名詞-一般,2
思っ,オモッ,omotsu,動詞-一般,2
愛する,アイスル,aisu,動詞-一般,2
操る,アヤツル,ayatsuru,動詞-一般,2
続け,ツズケ,tsuzuke,動詞-非自立可能,2
終え,オエ,oe,動詞-非自立可能,2
時,トキ,toki,名詞-普通名詞-副詞可能,2
材料,ザイリョー,zairyou,名詞-普通名詞-一般,2
確か,タシカ,tashika,形状詞-一般,2
死ん,シン,shin,動詞-一般,2
砕い,クダイ,kudai,動詞-一般,2
泣き声,ナキゴエ,naki,名詞-普通名詞-一般,2
火影,ホカゲ,hokage,名詞-普通名詞-一般,2
白眼,ハクガン,hakugan,名詞-普通名詞-一般,2
裏切る,ウラギル,uragiru,動詞-一般,2
勝手,カッテ,katte,名詞-普通名詞-形状詞可能,2
前,マエ,mae,名詞-普通名詞-副詞可能,2
ハハハ,ハハハ,hahaha,感動詞-一般,2
音,オト,oto,名詞-普通名詞-一般,2
隠れ里,カクレザト,kakure,名詞-普通名詞-一般,2
隠れ,カクレ,kakure,名詞-普通名詞-一般,2
鈴,スズ,suzu,名詞-普通名詞-一般,2
違う,チガウ,chigau,動詞-一般,2
ナツヒ,ナツヒ,natsuhi,名詞-普通名詞-一般,2
赤丸,アカマル,akamaru,名詞-普通名詞-一般,2
ナツヒボシ,ナツヒボシ,natsuhiboshi,名詞-普通名詞-一般,2
ハァ,ハー,haa,感動詞-一般,2
ミヅラ,ミヅラ,mizura,名詞-普通名詞-一般,2
分かっ,ワカッ,waka,動詞-一般,2
下忍,ゲニン,genin,名詞-普通名詞-一般,2
会える,アエル,ae,動詞-一般,2
体,カラダ,karada,名詞-普通名詞-一般,2
責任,セキニン,sekinin,名詞-普通名詞-一般,2
依頼,イライ,irai,名詞-普通名詞-サ変可能,2
診察,シンサツ,shinsatsu,名詞-普通名詞-サ変可能,2
許さ,ユルサ,yurusa,動詞-一般,2
入れ,イレ,ire,動詞-一般,2
共,トモ,tomo,名詞-普通名詞-一般,2
