surface,reading,romaji,pos,frequency
｡,｡,｡,記号-一般,90
),,),補助記号-括弧閉,72
(,,(,補助記号-括弧開,71
♬,,♬,補助記号-一般,71
は,ワ,ha,助詞-係助詞,55
の,ノ,no,助詞-格助詞,48
を,オ,wo,助詞-格助詞,42
に,ニ,ni,助詞-格助詞,38
た,タ,ta,助動詞,35
～,,~,補助記号-一般,33
？,,？,補助記号-句点,32
だ,ダ,da,助動詞,31
て,テ,te,助詞-接続助詞,31
…,,…,補助記号-一般,29
！,,!,補助記号-句点,27
と,ト,to,助詞-格助詞,24
《,,<<,補助記号-括弧開,24
》,,>>,補助記号-括弧閉,24
が,ガ,ga,助詞-格助詞,24
も,モ,mo,助詞-係助詞,22
し,シ,shi,動詞-非自立可能,22
リー,リー,rii,名詞-固有名詞-人名-一般,17
ｶｶｼ,ｶｶｼ,kakashi,名詞-普通名詞-一般,15
で,デ,de,助詞-格助詞,14
愛,アイ,ai,名詞-普通名詞-一般,14
羅,ラ,ra,名詞-普通名詞-一般,14
我,ワガ,ware,連体詞,14
の,ノ,no,助詞-準体助詞,13
よ,ヨ,yo,助詞-終助詞,13
ば,バ,ba,助詞-接続助詞,12
か,カ,ka,助詞-副助詞,12
君,クン,kun,接尾辞-名詞的-一般,12
こと,コト,koto,名詞-普通名詞-一般,11
って,ッテ,tte,助詞-副助詞,11
サスケ,サスケ,sasuke,名詞-固有名詞-人名-名,11
そう,ソー,sou,副詞,10
ん,ン,n,助詞-格助詞,10
この,コノ,kono,連体詞,10
あっ,アッ,atsu,感動詞-一般,10
ん,ン,n,助詞-準体助詞,10
俺,オレ,ore,代名詞,9
カカシ,カカシ,kakashi,名詞-普通名詞-一般,9
か,カ,ka,助詞-終助詞,9
ガイ,ガイ,gai,名詞-普通名詞-一般,9
何,ナン,nani,代名詞,9
ない,ナイ,nai,助動詞,9
砂,スナ,suna,名詞-普通名詞-一般,9
どう,ドー,dou,副詞,9
言っ,イッ,itsutsu,動詞-一般,8
な,ナ,na,助動詞,8
ない,ナイ,nai,形容詞-非自立可能,8
いい,イー,ii,形容詞-非自立可能,8
あいつ,アイツ,aitsu,代名詞,7
…｡,…｡,…,記号-一般,7
体術,タイジュツ,taijutsu,名詞-普通名詞-一般,7
する,スル,suru,動詞-非自立可能,7
＜,,＜,補助記号-括弧開,7
＞,,＞,補助記号-括弧閉,7
それ,ソレ,sore,代名詞,6
の,ノ,no,記号-一般,6
で,デ,de,助詞-接続助詞,6
ハァ,ハー,haa,感動詞-一般,6
な,ナ,na,助詞-終助詞,6
だけ,ダケ,dake,助詞-副助詞,6
自分,ジブン,jibun,名詞-普通名詞-一般,6
て,テ,te,助動詞,6
先生,センセー,sensei,名詞-普通名詞-一般,6
に,ニ,ni,助動詞,6
い,イ,i,記号-一般,6
で,デ,de,助動詞,5
ぞ,ゾ,zo,助詞-終助詞,5
ため,タメ,tame,名詞-普通名詞-副詞可能,5
から,カラ,kara,助詞-格助詞,5
あの,アノ,ano,感動詞-フィラー,5
ヤツ,ヤツ,yatsu,名詞-普通名詞-一般,5
まで,マデ,made,助詞-副助詞,5
〈,,<,補助記号-括弧開,5
いう,ユー,iu,動詞-一般,5
いつ,イツ,itsu,代名詞,5
じゃ,ジャ,ja,助動詞,5
暗部,アンブ,anbu,名詞-普通名詞-一般,4
ｶﾝｸﾛｳ,ｶﾝｸﾛｳ,kankurou,名詞-普通名詞-一般,4
今,イマ,ima,名詞-普通名詞-副詞可能,4
ん,ン,n,助動詞,4
:,,:,補助記号-一般,4
君,キミ,kun,代名詞,4
その,ソノ,sono,連体詞,4
試合,シアイ,shiai,名詞-普通名詞-サ変可能,4
〉,,>,補助記号-括弧閉,4
いる,イル,iru,動詞-非自立可能,4
手,テ,te,名詞-普通名詞-助数詞可能,4
さ,サ,sa,接尾辞-名詞的-一般,4
ｼｶﾏﾙ,ｼｶﾏﾙ,shikamaru,名詞-普通名詞-一般,4
てる,テル,teru,助動詞,4
体,カラダ,karada,名詞-普通名詞-一般,4
お前,オマエ,o,代名詞,4
僕,ボク,boku,代名詞,4
ね,ネ,ne,助詞-終助詞,4
スピード,スピード,supiido,名詞-普通名詞-一般,4
もう,モー,mou,副詞,4
誰,ダレ,dare,代名詞,3
たち,タチ,tachi,接尾辞-名詞的-一般,3
