surface,reading,pos,frequency
｡,｡,記号-一般,101
),,補助記号-括弧閉,92
(,,補助記号-括弧開,86
！,,補助記号-句点,81
の,ノ,助詞-格助詞,67
♬,,補助記号-一般,66
だ,ダ,助動詞,64
～,,補助記号-一般,53
は,ワ,助詞-係助詞,49
…,,補助記号-一般,45
が,ガ,助詞-格助詞,40
に,ニ,助詞-格助詞,40
た,タ,助動詞,38
て,テ,助詞-接続助詞,37
よ,ヨ,助詞-終助詞,30
を,オ,助詞-格助詞,30
？,,補助記号-句点,26
キバ,キバ,名詞-固有名詞-一般,25
と,ト,助詞-格助詞,22
も,モ,助詞-係助詞,21
ｼｶﾏﾙ,ｼｶﾏﾙ,名詞-普通名詞-一般,21
で,デ,助詞-格助詞,20
何,ナン,代名詞,20
ネジ,ネジ,名詞-普通名詞-一般,18
し,シ,動詞-非自立可能,18
俺,オレ,代名詞,17
に,ニ,助動詞,15
チャクラ,チャクラ,名詞-普通名詞-一般,15
ん,ン,助詞-準体助詞,15
な,ナ,助詞-終助詞,14
チョウジ,チョージ,名詞-普通名詞-一般,13
あっ,アッ,感動詞-一般,13
が,ガ,助詞-接続助詞,13
の,ノ,助詞-準体助詞,12
か,カ,助詞-副助詞,12
《,,補助記号-括弧開,12
》,,補助記号-括弧閉,12
…｡,…｡,記号-一般,12
ﾁｮｳｼﾞ,ﾁｮｳｼﾞ,名詞-普通名詞-一般,12
って,ッテ,助詞-副助詞,11
こと,コト,名詞-普通名詞-一般,11
〉,,補助記号-括弧閉,11
壁,カベ,名詞-普通名詞-一般,11
〈,,補助記号-括弧開,11
ぜ,ゼ,助詞-終助詞,11
お前,オマエ,代名詞,11
ある,アル,動詞-非自立可能,10
て,テ,助動詞,10
ハァ,ハー,感動詞-一般,10
よう,ヨー,形状詞-助動詞語幹,9
この,コノ,連体詞,9
か,カ,助詞-終助詞,9
な,ナ,助動詞,9
から,カラ,助詞-格助詞,8
シカマル,シカマル,名詞-固有名詞-人名-名,8
ねえ,ネー,助動詞,8
次郎,ジロー,名詞-固有名詞-人名-名,7
くれ,クレ,動詞-非自立可能,7
赤丸,アカマル,名詞-普通名詞-一般,7
言っ,イッ,動詞-一般,7
だけ,ダケ,助詞-副助詞,7
ぞ,ゾ,助詞-終助詞,7
!,,補助記号-句点,7
坊,ボー,接尾辞-名詞的-一般,7
いる,イル,動詞-非自立可能,7
?,,補助記号-句点,7
れ,レ,助動詞,6
ヤマ,ヤマ,名詞-普通名詞-一般,6
から,カラ,助詞-接続助詞,6
ば,バ,助詞-接続助詞,6
こんな,コンナ,連体詞,6
敵,テキ,名詞-普通名詞-一般,6
くっそ,クッソ,感動詞-一般,6
ゴロ,ゴロ,名詞-普通名詞-一般,6
｡(,｡(,記号-一般,6
ない,ナイ,形容詞-非自立可能,6
見える,ミエル,動詞-一般,6
サスケ,サスケ,名詞-固有名詞-人名-名,6
僕,ボク,代名詞,6
作戦,サクセン,名詞-普通名詞-一般,5
じゃ,ジャ,助動詞,5
ん,ン,感動詞-フィラー,5
たち,タチ,接尾辞-名詞的-一般,5
どう,ドー,副詞,5
もう,モー,副詞,5
それ,ソレ,代名詞,5
で,デ,助動詞,5
ここ,ココ,代名詞,5
ない,ナイ,助動詞,5
丸,マル,接尾辞-名詞的-一般,5
おい,オイ,感動詞-一般,5
ヤツ,ヤツ,名詞-普通名詞-一般,5
ら,ラ,接尾辞-名詞的-一般,5
いい,イー,形容詞-非自立可能,4
まま,ママ,名詞-普通名詞-副詞可能,4
する,スル,動詞-非自立可能,4
牙,キバ,名詞-普通名詞-一般,4
中,ナカ,名詞-普通名詞-副詞可能,4
と,ト,助詞-接続助詞,4
やる,ヤル,動詞-非自立可能,4
･,･,記号-一般,4
ほえ声,ホエゴエ,名詞-普通名詞-一般,4
あの,アノ,感動詞-フィラー,4
フン,フン,名詞-固有名詞-人名-一般,4
だろ,ダロ,助動詞,4
たら,タラ,助動詞,4
能力,ノーリョク,名詞-普通名詞-一般,4
バカ,バカ,名詞-普通名詞-形状詞可能,4
＜,,補助記号-括弧開,3
結界,ケッカイ,名詞-普通名詞-一般,3
木,キ,名詞-普通名詞-一般,3
わけ,ワケ,名詞-普通名詞-一般,3
だっ,ダッ,助動詞,3
その,ソノ,連体詞,3
てる,テル,助動詞,3
鬼,オニ,名詞-普通名詞-一般,3
場所,バショ,名詞-普通名詞-一般,3
薄い,ウスイ,形容詞-一般,3
たい,タイ,助動詞,3
術,ジュツ,名詞-普通名詞-一般,3
ん,ン,助詞-格助詞,3
てめぇ,テメー,代名詞,3
てろ,テロ,助動詞,3
ただ,タダ,名詞-普通名詞-一般,3
＞,,補助記号-括弧閉,3
黙っ,ダマッ,動詞-一般,3
ノ,ノ,助詞-格助詞,3
そう,ソー,副詞,3
い,イ,動詞-非自立可能,3
ねえ,ネー,形容詞-非自立可能,3
なる,ナル,動詞-非自立可能,3
仲間,ナカマ,名詞-普通名詞-一般,3
なっ,ナッ,動詞-非自立可能,3
ﾅﾙﾄ,ﾅﾙﾄ,名詞-普通名詞-一般,3
音,オト,名詞-普通名詞-一般,3
フン,フン,名詞-普通名詞-一般,3
通,トーリ,名詞-普通名詞-助数詞可能,3
フフ,フフ,感動詞-一般,3
見,ミ,動詞-非自立可能,3
これ,コレ,代名詞,3
いう,ユー,動詞-一般,3
絶対,ゼッタイ,名詞-普通名詞-副詞可能,3
ナルト,ナルト,名詞-固有名詞-人名-名,3
童,ワラベ,名詞-普通名詞-一般,3
出し,ダシ,動詞-非自立可能,3
食っ,クッ,動詞-一般,3
少し,スコシ,副詞,3
箇所,カショ,名詞-普通名詞-助数詞可能,3
じゃ,ジャ,助詞-格助詞,3
吸い取ら,スイトラ,動詞-一般,2
命,イノチ,名詞-普通名詞-一般,2
まで,マデ,助詞-副助詞,2
危険,キケン,名詞-普通名詞-形状詞可能,2
土,ツチ,名詞-普通名詞-一般,2
まだ,マダ,副詞,2
まさか,マサカ,副詞,2
はぁ,ハー,感動詞-一般,2
めんどく,メンドク,形容詞-一般,2
はな,ハナ,名詞-固有名詞-一般,2
はな,ハナ,名詞-普通名詞-一般,2
みんな,ミンナ,名詞-普通名詞-副詞可能,2
参っ,マイッ,動詞-非自立可能,2
白眼,ハクガン,名詞-普通名詞-一般,2
直り,ナオリ,動詞-一般,2
