surface,reading,romaji,pos,frequency
｡,｡,｡,記号-一般,135
！,,!,補助記号-句点,80
♬,,♬,補助記号-一般,73
(,,(,補助記号-括弧開,71
),,),補助記号-括弧閉,71
の,ノ,no,助詞-格助詞,70
は,ワ,ha,助詞-係助詞,61
に,ニ,ni,助詞-格助詞,57
が,ガ,ga,助詞-格助詞,57
～,,~,補助記号-一般,52
て,テ,te,助詞-接続助詞,50
た,タ,ta,助動詞,50
を,オ,wo,助詞-格助詞,46
…,,…,補助記号-一般,46
だ,ダ,da,助動詞,42
君,キミ,kun,代名詞,29
と,ト,to,助詞-格助詞,28
で,デ,de,助詞-格助詞,27
も,モ,mo,助詞-係助詞,22
よ,ヨ,yo,助詞-終助詞,22
丸,マル,maru,接尾辞-名詞的-一般,20
な,ナ,na,助動詞,20
大蛇,オロチ,orochi,名詞-普通名詞-一般,20
？,,？,補助記号-句点,19
僕,ボク,boku,代名詞,19
し,シ,shi,動詞-非自立可能,17
ｼｶﾏﾙ,ｼｶﾏﾙ,shikamaru,名詞-普通名詞-一般,16
の,ノ,no,助詞-準体助詞,16
それ,ソレ,sore,代名詞,16
麻呂,マロ,maro,代名詞,14
サスケ,サスケ,sasuke,名詞-固有名詞-人名-名,12
な,ナ,na,助詞-終助詞,11
この,コノ,kono,連体詞,11
俺,オレ,ore,代名詞,11
ん,ン,n,助詞-準体助詞,10
多,オーノ,ta,名詞-固有名詞-人名-姓,10
か,カ,ka,助詞-終助詞,10
由也,ヨシヤ,yoshiya,名詞-固有名詞-人名-名,10
こと,コト,koto,名詞-普通名詞-一般,10
お前,オマエ,o,代名詞,10
に,ニ,ni,助動詞,9
キバ,キバ,kiba,名詞-固有名詞-一般,9
様,サマ,sama,接尾辞-名詞的-一般,9
《,,<<,補助記号-括弧開,9
だけ,ダケ,dake,助詞-副助詞,9
》,,>>,補助記号-括弧閉,9
あっ,アッ,atsu,感動詞-一般,9
赤丸,アカマル,akamaru,名詞-普通名詞-一般,9
ない,ナイ,nai,助動詞,8
ねえ,ネー,nee,助動詞,8
か,カ,ka,助詞-副助詞,8
どう,ドー,dou,副詞,8
じゃ,ジャ,ja,助動詞,8
体,カラダ,karada,名詞-普通名詞-一般,8
今,イマ,ima,名詞-普通名詞-副詞可能,8
肉体,ニクタイ,nikutai,名詞-普通名詞-一般,7
術,ジュツ,jutsu,名詞-普通名詞-一般,7
する,スル,suru,動詞-非自立可能,7
?,,?,補助記号-句点,7
!,,!,補助記号-句点,7
何,ナン,nani,代名詞,7
ナルト,ナルト,naruto,名詞-固有名詞-人名-名,7
ねえ,ネー,nee,形容詞-非自立可能,7
これ,コレ,kore,代名詞,7
はじめて,ハジメテ,hajimete,副詞,7
器,ウツワ,utsuwa,名詞-普通名詞-一般,7
あなた,アナタ,anata,代名詞,6
わ,ワ,wa,助詞-終助詞,6
そう,ソー,sou,副詞,6
ｶﾌﾞﾄ,ｶﾌﾞﾄ,kabuto,名詞-普通名詞-一般,6
＞,,＞,補助記号-括弧閉,6
くれ,クレ,kure,動詞-非自立可能,6
ため,タメ,tame,名詞-普通名詞-副詞可能,6
ら,ラ,ra,接尾辞-名詞的-一般,6
＜,,＜,補助記号-括弧開,6
やる,ヤル,yaru,動詞-非自立可能,6
ば,バ,ba,助詞-接続助詞,6
あの,アノ,ano,感動詞-フィラー,6
ね,ネ,ne,助詞-終助詞,6
なんて,ナンテ,nante,助詞-副助詞,5
って,ッテ,tte,助詞-副助詞,5
一人,ヒトリ,hitori,名詞-普通名詞-副詞可能,5
なっ,ナッ,natsu,動詞-非自立可能,5
仲間,ナカマ,nakama,名詞-普通名詞-一般,5
ﾅﾙﾄ,ﾅﾙﾄ,naruto,名詞-普通名詞-一般,5
が,ガ,ga,助詞-接続助詞,5
うぅ,ウー,uu,感動詞-一般,5
い,イ,i,動詞-非自立可能,5
くそ,クソ,kuso,名詞-普通名詞-一般,4
あ,ア,a,感動詞-一般,4
すべて,スベテ,subete,名詞-普通名詞-副詞可能,4
ここ,ココ,koko,代名詞,4
彼,カレ,kare,代名詞,4
やがっ,ヤガッ,yagatsu,助動詞,4
命,イノチ,inochi,名詞-普通名詞-一般,4
しゃべれ,シャベレ,shabere,動詞-一般,4
君,クン,kun,接尾辞-名詞的-一般,4
左近,サコン,sakon,名詞-普通名詞-一般,4
野郎,ヤロー,yarou,名詞-普通名詞-一般,4
れ,レ,re,助動詞,4
任務,ニンム,ninmu,名詞-普通名詞-一般,4
たら,タラ,tara,助動詞,4
いる,イル,iru,動詞-非自立可能,4
もう,モー,mou,副詞,4
的,テキ,teki,接尾辞-形状詞的,4
しゃべっ,シャベッ,shabetsu,動詞-一般,4
あいつ,アイツ,aitsu,代名詞,4
から,カラ,kara,助詞-格助詞,4
･,･,･,記号-一般,4
言葉,コトバ,kotoba,名詞-普通名詞-一般,4
小隊,ショータイ,shoutai,名詞-普通名詞-一般,4
少し,スコシ,sukoshi,副詞,4
ぬ,ヌ,nu,助動詞,4
まま,ママ,mama,名詞-普通名詞-副詞可能,4
長,チョー,chou,接尾辞-名詞的-一般,3
言う,イウ,iu,動詞-一般,3
なかっ,ナカッ,nakatsu,助動詞,3
ちゃ,チャ,cha,助詞-接続助詞,3
手,テ,te,名詞-普通名詞-助数詞可能,3
だっ,ダッ,datsu,助動詞,3
やっ,ヤッ,yatsu,動詞-非自立可能,3
命令,メーレー,meirei,名詞-普通名詞-サ変可能,3
ヤツ,ヤツ,yatsu,名詞-普通名詞-一般,3
なく,ナク,naku,助動詞,3
使命,シメー,shimei,名詞-普通名詞-一般,3
ない,ナイ,nai,形容詞-非自立可能,3
くそっ,クソッ,kusotsu,感動詞-一般,3
使え,ツカエ,tsukae,動詞-一般,3
です,デス,desu,助動詞,3
動い,ウゴイ,ugoi,動詞-一般,3
うっ,ウッ,utsu,感動詞-一般,3
き,キ,ki,動詞-非自立可能,3
ども,ドモ,domo,接尾辞-名詞的-一般,3
時間,ジカン,jikan,名詞-普通名詞-助数詞可能,3
て,テ,te,助動詞,3
ほえ声,ホエゴエ,hoe,名詞-普通名詞-一般,3
もはや,モハヤ,mohaya,副詞,3
てめぇ,テメー,temee,代名詞,3
笑っ,ワラッ,waratsu,動詞-一般,3
何,ナン,nani,名詞-数詞,3
思っ,オモッ,omotsu,動詞-一般,3
遅,オソ,chi,形容詞-一般,3
なら,ナラ,nara,助動詞,3
けど,ケド,kedo,助詞-接続助詞,3
いい,イー,ii,形容詞-非自立可能,3
バカ,バカ,baka,名詞-普通名詞-形状詞可能,3
人,ニン,nin,接尾辞-名詞的-一般,3
そして,ソシテ,soshite,接続詞,3
その,ソノ,sono,連体詞,3
犠牲,ギセー,gisei,名詞-普通名詞-一般,3
いう,ユー,iu,動詞-一般,3
欲し,ホッシ,hosshi,動詞-一般,3
ず,ズ,zu,助動詞,3
ぞ,ゾ,zo,助詞-終助詞,3
ある,アル,aru,動詞-非自立可能,3
あれ,アレ,are,代名詞,3
男,オトコ,otoko,名詞-普通名詞-一般,3
不死,フシ,fushi,名詞-普通名詞-一般,2
敵,テキ,teki,名詞-普通名詞-一般,2
へ,エ,he,助詞-格助詞,2
不安,フアン,fuan,名詞-普通名詞-形状詞可能,2
新しい,アタラシー,atarashii,形容詞-一般,2
元,モト,moto,名詞-普通名詞-一般,2
先,サキ,saki,名詞-普通名詞-副詞可能,2
まし,マシ,mashi,助動詞,2
ナメる,ナメル,name,動詞-一般,2
よう,ヨー,you,形状詞-助動詞語幹,2
ノ,ノ,no,助詞-格助詞,2
ハァ,ハー,haa,感動詞-一般,2
うわ,ウワ,uwa,感動詞-一般,2
また,マタ,mata,接続詞,2
持っ,モッ,motsu,動詞-一般,2
の,ノ,no,助詞-終助詞,2
葉,ハ,ha,名詞-普通名詞-一般,2
フン,フン,fun,名詞-固有名詞-人名-一般,2
お,オ,o,感動詞-一般,2
死,シ,shi,名詞-普通名詞-一般,2
フン,フン,fun,感動詞-一般,2
ねえ,ネー,nee,助詞-終助詞,2
ヘッ,ヘッ,hetsu,感動詞-一般,2
行く,イク,iku,動詞-非自立可能,2
ませ,マセ,mase,助動詞,2
チャクラ,チャクラ,chakura,名詞-普通名詞-一般,2
まだ,マダ,mada,副詞,2
まで,マデ,made,助詞-副助詞,2
よし,ヨシ,yoshi,名詞-普通名詞-一般,2
あの,アノ,ano,連体詞,2
真,シン,makoto,名詞-普通名詞-一般,2
最も,モットモ,mottomo,副詞,2
確か,タシカ,tashika,形状詞-一般,2
木,キ,ki,名詞-普通名詞-一般,2
わけ,ワケ,wake,名詞-普通名詞-一般,2
ん,ン,n,助動詞,2
やがれ,ヤガレ,yagare,助動詞,2
ん,ン,n,助詞-格助詞,2
いや,イヤ,iya,感動詞-一般,2
ん,ン,n,感動詞-一般,2
猿飛,サルトビ,sarutobi,名詞-固有名詞-人名-姓,2
カブト,カブト,kabuto,名詞-普通名詞-一般,2
等,トー,nado,接尾辞-名詞的-一般,2
ゴミ,ゴミ,gomi,名詞-普通名詞-一般,2
来,キ,rai,動詞-非自立可能,2
シカマル,シカマル,shikamaru,名詞-固有名詞-人名-名,2
早く,ハヤク,hayaku,形容詞-一般,2
来い,コイ,koi,動詞-非自立可能,2
両腕,リョーウデ,ryouude,名詞-普通名詞-一般,2
世の中,ヨノナカ,yononaka,名詞-普通名詞-一般,2
次,ツギ,tsugi,名詞-普通名詞-一般,2
行け,イケ,ike,動詞-非自立可能,2
こりゃ,コリャ,korya,代名詞,2
ちまう,チマウ,chimau,助動詞,2
影,カゲ,kage,名詞-普通名詞-一般,2
どおり,ドーリ,doori,名詞-普通名詞-助数詞可能,2
転生,テンショー,tenshou,名詞-普通名詞-サ変可能,2
くそ,クソ,kuso,接頭辞,2
せ,セ,se,助動詞,2
こそ,コソ,koso,助詞-係助詞,2
