surface,reading,romaji,pos,frequency
さっき,サッキ,sakki,名詞-普通名詞-副詞可能,3
～,カラ,~,助詞-格助詞,3
もん,モン,mon,助詞-終助詞,2
行く,イク,iku,動詞-非自立可能,2
今,イマ,ima,名詞-普通名詞-副詞可能,2
さ,サ,sa,動詞-非自立可能,2
さて,サテ,sate,接続詞,2
ぐっ,グッ,gutsu,副詞,2
｣｡,｣｡,｣｡,記号-一般,2
早く,ハヤク,hayaku,形容詞-一般,2
ごめん,ゴメン,gomen,名詞-普通名詞-一般,2
まで,マデ,made,助詞-副助詞,2
敵,テキ,teki,名詞-普通名詞-一般,2
まだ,マダ,mada,副詞,2
言っ,イッ,itsutsu,動詞-一般,2
菓子,カシ,kashi,名詞-普通名詞-一般,2
許せ,ユルセ,yuruse,動詞-一般,2
｡(,｡(,(,記号-一般,2
負け,マケ,make,動詞-一般,2
赤丸,アカマル,akamaru,名詞-普通名詞-一般,2
散れ,チレ,chire,動詞-一般,2
あれ,アレ,are,代名詞,2
ひと,ヒト,hito,名詞-普通名詞-一般,2
撃,ゲキ,geki,接尾辞-名詞的-一般,2
100,100,100,名詞-数詞,2
命,イノチ,inochi,名詞-普通名詞-一般,2
たまに,タマニ,tamani,副詞,2
苦労,クロー,kurou,名詞-普通名詞-サ変形状詞可能,2
ヘッヘヘ,ヘッヘヘ,hehhehe,名詞-普通名詞-一般,2
大切,タイセツ,taisetsu,形状詞-一般,2
こいつ,コイツ,koitsu,代名詞,2
バイ,バイ,bai,名詞-普通名詞-一般,2
チッ,チッ,chitsu,副詞,2
こう,コー,kou,副詞,2
フン,フン,fun,名詞-固有名詞-人名-一般,2
牙,キバ,kiba,名詞-普通名詞-一般,2
特等,トクトー,tokutou,名詞-普通名詞-一般,2
ここ,ココ,koko,代名詞,2
シェイク,シェーク,shieiku,名詞-固有名詞-人名-一般,2
殺し,コロシ,koroshi,動詞-一般,2
ヘッ,ヘッ,hetsu,感動詞-一般,2
サスケ,サスケ,sasuke,名詞-固有名詞-人名-名,2
いつ,イツ,itsu,代名詞,2
腕,ウデ,ude,名詞-普通名詞-一般,2
発,ハツ,hatsu,接尾辞-名詞的-一般,2
カケラ,カケラ,kakera,名詞-普通名詞-一般,2
ポテチ,ポテチ,potechi,名詞-普通名詞-一般,2
ん,ン,n,感動詞-フィラー,2
死ぬ,シヌ,shinu,動詞-一般,2
れる,レル,reru,助動詞,2
等,トー,nado,接尾辞-名詞的-一般,2
様,サマ,sama,接尾辞-名詞的-一般,2
終わり,オワリ,owari,名詞-普通名詞-一般,2
やん,ヤン,yan,動詞-非自立可能,2
一,イチ,ichi,名詞-数詞,2
ｸﾅｲ,ｸﾅｲ,kunai,名詞-普通名詞-一般,2
信じ合える,シンジアエル,shinji,動詞-一般,2
しろ,シロ,shiro,動詞-非自立可能,2
ほえ声,ホエゴエ,hoe,名詞-普通名詞-一般,2
じゃ,ジャ,ja,助動詞,2
なぁ,ナー,naa,助詞-終助詞,2
隊長,タイチョー,taichou,名詞-普通名詞-一般,2
彫る,ホル,horu,動詞-一般,2
あぁ,アー,aa,感動詞-一般,2
影,カゲ,kage,名詞-普通名詞-一般,2
ところ,トコロ,tokoro,名詞-普通名詞-副詞可能,2
そ,ソ,so,副詞,2
そう,ソー,sou,形状詞-助動詞語幹,2
で,デ,de,助詞-接続助詞,2
で,デ,de,助動詞,2
そこ,ソコ,soko,代名詞,2
てめぇ,テメー,temee,代名詞,2
想い,オモイ,omoi,名詞-普通名詞-一般,2
て,テ,te,助動詞,2
前,マエ,mae,名詞-普通名詞-副詞可能,2
力,チカラ,chikara,名詞-普通名詞-一般,2
食らえ,クラエ,kura,動詞-一般,2
恨み,ウラミ,urami,名詞-普通名詞-一般,2
勝っ,カッ,katsu,動詞-一般,2
駒,コマ,koma,名詞-普通名詞-一般,2
ちまう,チマウ,chimau,助動詞,2
くる,クル,kuru,動詞-非自立可能,2
たい,タイ,tai,助動詞,2
きっと,キット,kitto,副詞,2
扱い,アツカイ,atsukai,名詞-普通名詞-一般,2
くれる,クレル,kureru,動詞-非自立可能,2
好き,スキ,suki,形状詞-一般,2
優しい,ヤサシー,yasashii,形容詞-一般,2
すべて,スベテ,subete,名詞-普通名詞-副詞可能,2
遅い,オソイ,osoi,形容詞-一般,2
掌,テノヒラ,tenohira,名詞-普通名詞-一般,2
なら,ナラ,nara,助動詞,2
なんて,ナンテ,nante,助詞-副助詞,2
ね,ネ,ne,助詞-終助詞,2
君,キミ,kun,代名詞,2
倍,バイ,bai,名詞-普通名詞-助数詞可能,2
ナルト,ナルト,naruto,名詞-固有名詞-人名-名,2
なれ,ナレ,nare,動詞-非自立可能,2
え,エ,e,感動詞-一般,2
鈍感,ドンカン,donkan,名詞-普通名詞-形状詞可能,2
の,ノ,no,助詞-終助詞,2
恐ろしい,オソロシー,osoroshii,形容詞-一般,1
決まり,キマリ,kima,名詞-普通名詞-一般,1
待てよ,マテヨ,mate,動詞-一般,1
役,ヤク,yaku,名詞-普通名詞-一般,1
姿,スガタ,sugata,名詞-普通名詞-一般,1
悲しみ,カナシミ,kanashimi,名詞-普通名詞-一般,1
残り,ノコリ,nokori,名詞-普通名詞-一般,1
後,ゴ,nochi,接尾辞-名詞的-副詞可能,1
段,ダン,dan,名詞-普通名詞-助数詞可能,1
残る,ノコル,nokoru,動詞-一般,1
待て,マテ,mate,動詞-一般,1
恨む,ウラム,uramu,動詞-一般,1
数,カズ,kazu,名詞-普通名詞-一般,1
探そう,サガソー,sagaso,動詞-一般,1
搾り取る,シボリトル,shibori,動詞-一般,1
残ら,ノコラ,nokora,動詞-一般,1
汚,オ,o,接頭辞,1
廃虚,ハイキョ,haikyo,名詞-普通名詞-一般,1
持つ,モツ,motsu,動詞-一般,1
死ね,シネ,shine,動詞-一般,1
安心,アンシン,anshin,名詞-普通名詞-サ変形状詞可能,1
持っ,モッ,motsu,動詞-一般,1
昨日,キノー,kinou,名詞-普通名詞-副詞可能,1
抜け,ヌケ,nuke,動詞-非自立可能,1
指,ユビ,yubi,名詞-普通名詞-一般,1
最高,サイコー,saikou,名詞-普通名詞-形状詞可能,1
打ち捨て,ウチステ,uchi,動詞-一般,1
早まる,ハヤマル,hayama,動詞-一般,1
捕まえ,ツカマエ,tsukama,動詞-一般,1
左近,サコン,sakon,名詞-普通名詞-一般,1
左手,ヒダリテ,hidarite,名詞-普通名詞-一般,1
揺れる,ユレル,yure,動詞-一般,1
方法,ホーホー,houhou,名詞-普通名詞-一般,1
岩,イワ,iwa,名詞-普通名詞-一般,1
感じる,カンジル,kanji,動詞-一般,1
来,キ,rai,動詞-非自立可能,1
料理,リョーリ,ryouri,名詞-普通名詞-サ変可能,1
少ない,スクナイ,sukunai,形容詞-一般,1
文句,モンク,monku,名詞-普通名詞-一般,1
横取り,ヨコドリ,yokodori,名詞-普通名詞-サ変可能,1
あと,アト,ato,名詞-普通名詞-副詞可能,1
止,トメ,shi,名詞-普通名詞-一般,1
将棋,ショーギ,shougi,名詞-普通名詞-一般,1
昇,ノボリ,noboru,名詞-固有名詞-人名-姓,1
意地,イジ,iji,名詞-普通名詞-一般,1
けど,ケド,kedo,接続詞,1
河,カワ,kawa,名詞-普通名詞-一般,1
隠れる,カクレル,kakure,動詞-一般,1
食らっ,クラッ,kura,動詞-一般,1
食らう,クラウ,kura,動詞-一般,1
食べる,タベル,tabe,動詞-一般,1
食べよ,タベヨ,tabe,動詞-一般,1
食べ,タベ,tabe,動詞-一般,1
食い物,クイモノ,kuimono,名詞-普通名詞-一般,1
風,カゼ,kaze,名詞-普通名詞-一般,1
頬,ホー,hoo,名詞-普通名詞-一般,1
頂き,イタダキ,itadaki,動詞-非自立可能,1
陰気,インキ,inki,形状詞-一般,1
骨,ホネ,hone,名詞-普通名詞-一般,1
降参,コーサン,kousan,名詞-普通名詞-サ変可能,1
関節,カンセツ,kansetsu,名詞-普通名詞-一般,1
間違い,マチガイ,machigai,名詞-普通名詞-一般,1
長年,ナガネン,naganen,名詞-普通名詞-副詞可能,1
野郎,ヤロー,yarou,名詞-普通名詞-一般,1
重い,オモイ,omoi,形容詞-一般,1
選ん,エラン,eran,動詞-一般,1
連携,レンケー,renkei,名詞-普通名詞-サ変可能,1
連中,レンチュー,renchuu,名詞-普通名詞-一般,1
食わ,クワ,kuwa,動詞-一般,1
髄,ズイ,zui,名詞-普通名詞-一般,1
追跡,ツイセキ,tsuiseki,名詞-普通名詞-サ変可能,1
｢,｢,｢,記号-一般,1
ﾎﾟﾃﾄﾁｯﾌﾟｽ,ﾎﾟﾃﾄﾁｯﾌﾟｽ,ho,名詞-普通名詞-一般,1
ﾎﾟｰｽﾞ,ﾎﾟｰｽﾞ,ho,名詞-普通名詞-一般,1
ﾅﾙﾄ,ﾅﾙﾄ,naruto,名詞-普通名詞-一般,1
ﾁｰﾑ,ﾁｰﾑ,chi゜mu,名詞-普通名詞-一般,1
)《｢,)《｢,),記号-一般,1
10,10,10,名詞-数詞,1
ｵｰﾌﾟﾆﾝｸﾞﾃｰﾏ,ｵｰﾌﾟﾆﾝｸﾞﾃｰﾏ,o゜fu,名詞-普通名詞-一般,1
ｴﾝﾃﾞｨﾝｸﾞﾃｰﾏ,ｴﾝﾃﾞｨﾝｸﾞﾃｰﾏ,endingute゜ma,名詞-普通名詞-一般,1
･,･,･,記号-一般,1
99,99,99,名詞-数詞,1
高級,コーキュー,koukyuu,名詞-普通名詞-形状詞可能,1
around,around,around,名詞-普通名詞-一般,1
round,round,round,名詞-普通名詞-一般,1
６,６,6,名詞-数詞,1
５,５,5,名詞-数詞,1
２人,フタリ,2,名詞-普通名詞-副詞可能,1
あ,,a,補助記号-一般,1
鹿,シカ,shika,名詞-普通名詞-一般,1
鳴らす,ナラス,nara,動詞-一般,1
鬼,オニ,oni,名詞-普通名詞-一般,1
通,トーリ,toori,名詞-普通名詞-助数詞可能,1
追っ,オッ,otsu,動詞-一般,1
泣い,ナイ,nai,動詞-一般,1
痛,ツー,tsuu,接尾辞-名詞的-一般,1
約束,ヤクソク,yakusoku,名詞-普通名詞-サ変可能,1
笑う,ワラウ,warau,動詞-一般,1
童,ワラベ,warabe,名詞-普通名詞-一般,1
立た,タタ,tata,動詞-一般,1
神,カミ,kami,名詞-普通名詞-一般,1
破れる,ヤブレル,yabure,動詞-一般,1
相手,アイテ,aite,名詞-普通名詞-一般,1
白眼,ハクガン,hakugan,名詞-普通名詞-一般,1
痛く,イタク,itaku,形容詞-一般,1
あっ,アッ,atsu,動詞-非自立可能,1
組ん,クン,kun,動詞-一般,1
由也,ヨシヤ,yoshiya,名詞-固有名詞-人名-名,1
生きる,イキル,iki,動詞-一般,1
猪,イノシシ,inoshishi,名詞-普通名詞-一般,1
父,チチ,chichi,名詞-普通名詞-一般,1
溶け合う,トケアウ,toke,動詞-一般,1
渦,ウズ,uzu,名詞-普通名詞-一般,1
渡さ,ワタサ,watasa,動詞-一般,1
涙,ナミダ,namida,名詞-普通名詞-サ変可能,1
泣き声,ナキゴエ,naki,名詞-普通名詞-一般,1
終わら,オワラ,owa,動詞-非自立可能,1
続け,ツズケ,tsuzuke,動詞-非自立可能,1
追いつけよ,オイツケヨ,oi,動詞-一般,1
親友,シンユー,shinyuu,名詞-普通名詞-一般,1
追いつけ,オイツケ,oi,動詞-一般,1
追いつく,オイツク,oi,動詞-一般,1
返し,カエシ,kaeshi,動詞-一般,1
足,アシ,ashi,名詞-普通名詞-一般,1
超,チョー,chou,接頭辞,1
赤,アカ,aka,名詞-普通名詞-一般,1
言葉,コトバ,kotoba,名詞-普通名詞-一般,1
言う,ユー,iu,動詞-一般,1
言う,イウ,iu,動詞-一般,1
見ん,ミン,min,動詞-非自立可能,1
苦しめる,クルシメル,kurushi,動詞-一般,1
ああ,アー,aa,感動詞-一般,1
見,ミ,ken,名詞-普通名詞-一般,1
あおむけ,アオムケ,aomuke,名詞-普通名詞-一般,1
行っ,イッ,itsu,動詞-非自立可能,1
奈良,ナラ,nara,名詞-固有名詞-地名-一般,1
蝶,チョー,chou,名詞-普通名詞-一般,1
蜘蛛,クモ,kumo,名詞-普通名詞-一般,1
薄汚い,ウスギタナイ,usugitanai,形容詞-一般,1
薄情,ハクジョー,hakujou,名詞-普通名詞-形状詞可能,1
行け,イケ,ike,動詞-非自立可能,1
何,ナン,nani,名詞-数詞,1
天気,テンキ,tenki,名詞-普通名詞-一般,1
なる,ナル,naru,助動詞,1
ふざける,フザケル,fuzakeru,動詞-一般,1
ひからび,ヒカラビ,hikarabi,動詞-一般,1
ばっか,バッカ,bakka,助詞-副助詞,1
はな,ハナ,hana,名詞-固有名詞-一般,1
のん,ノン,non,動詞-一般,1
の,ノ,no,記号-一般,1
ねえ,ネー,nee,形容詞-非自立可能,1
お,,o,補助記号-一般,1
おい,オイ,oi,感動詞-一般,1
なん,ナン,nan,代名詞,1
なっ,ナッ,natsu,感動詞-一般,1
やり,ヤリ,yari,動詞-非自立可能,1
なく,ナク,naku,形容詞-非自立可能,1
なく,ナク,naku,助動詞,1
ながら,ナガラ,nagara,助詞-接続助詞,1
おっ,オッ,otsu,名詞-普通名詞-一般,1
おっ,オッ,otsu,感動詞-一般,1
な,ナ,na,記号-一般,1
おとなしく,オトナシク,otonashiku,形容詞-一般,1
おもし,オモシ,omoshi,形容詞-一般,1
どんな,ドンナ,donna,連体詞,1
ども,ドモ,domo,接尾辞-名詞的-一般,1
ぶ,ブ,bu,記号-一般,1
へ,エ,he,助詞-格助詞,1
ほか,ホカ,hoka,名詞-普通名詞-副詞可能,1
ほしい,ホシー,hoshii,形容詞-非自立可能,1
やっぱ,ヤッパ,yappa,副詞,1
やっかい,ヤッカイ,yakkai,名詞-普通名詞-形状詞可能,1
やたら,ヤタラ,yatara,副詞,1
やすい,ヤスイ,yasui,接尾辞-形容詞的,1
やがて,ヤガテ,yagate,副詞,1
や,ヤ,ya,感動詞-一般,1
や,ヤ,ya,助詞-終助詞,1
や,ヤ,ya,助詞-副助詞,1
もらう,モラウ,morau,動詞-非自立可能,1
もう,モー,mou,副詞,1
めんどく,メンドク,mendoku,形容詞-一般,1
まれ,マレ,mare,形状詞-一般,1
まま,ママ,mama,名詞-普通名詞-副詞可能,1
ます,マス,masu,助動詞,1
まぁ,マー,maa,副詞,1
ま,マ,ma,記号-一般,1
ま,マ,ma,名詞-普通名詞-助数詞可能,1
ぽん,ポン,pon,接尾辞-名詞的-一般,1
ほら,ホラ,hora,感動詞-一般,1
ほほ,ホホ,hoho,名詞-普通名詞-一般,1
ほど,ホド,hodo,助詞-副助詞,1
どこ,ドコ,doko,代名詞,1
とどめ,トドメ,todome,名詞-普通名詞-一般,1
とて,トテ,tote,助詞-格助詞,1
ぐお,グオ,guo,感動詞-一般,1
せ,セ,se,助動詞,1
ず,ズ,zu,助動詞,1
すがり,スガリ,sugari,動詞-一般,1
じゃんけん,ジャンケン,janken,名詞-普通名詞-サ変可能,1
じゃ,ジャ,ja,接続詞,1
じゃ,ジャ,ja,助詞-格助詞,1
しよう,シヨー,shiyou,動詞-非自立可能,1
しゃしゃり出,シャシャリデ,shashari,動詞-一般,1
